date, pm25, o3, no2, so2, co, aqi
2017/11/13, , , , 13, , 
2017/12/10, , , , 36, , 
2017/12/11, , , , 37, , 
2017/12/12, , , , 35, , 
2017/12/13, , , , 36, , 
2017/12/14, , , , 35, , 
2017/12/15, , , , 36, , 
2017/12/16, , , , 36, , 
2017/12/17, , , , 36, , 
2017/12/18, , , , 38, , 
2017/12/19, , , , 44, , 
2017/9/9, , , , 15, , 
2017/9/10, , , , 13, , 
2019/5/23, , , , , , 
2019/5/24, , , , , , 
2019/5/25, , , , , , 
2019/5/26, , , , , , 
2019/5/27, , , , , , 
2019/5/28, , , , , , 
2019/5/29, , , , , , 
2019/5/30, , , , , , 
2019/5/31, , , , , , 
2019/6/1, , , , , , 
2019/6/2, , , , , , 
2019/6/3, , , , , , 
2019/6/4, , , , , , 
2019/6/15, , , , , , 
2019/6/16, , , , , , 
2019/6/17, , , , , , 
2019/6/18, , , , , , 
2019/6/19, , , , , , 
2019/6/20, , , , , , 
2019/6/21, , , , , , 
2019/6/22, , , , , , 
2019/6/23, , , , , , 
2019/6/24, , , , , , 
2019/6/25, , , , , , 
2019/6/26, , , , , , 
2015/12/6, , , , , 6, 
2015/12/7, , , , , 4, 
2015/12/8, , , , , 15, 122
2015/12/9, , , , , 15, 155
2015/12/10, , , , , 6, 
2015/12/11, , , , , 18, 
2015/12/12, , , , , 20, 
2015/12/16, , , , , 18, 
2015/10/7, , , , , , 117
2015/10/8, , , , , , 122
2015/10/9, , , , , , 144
2015/5/27, , , , , , 97
