date, pm25, aqi
2019/9/7, 30, 
2019/9/8, 55, 
2019/9/19, 153, 
2019/9/20, 140, 
2019/4/2, 39, 
2019/4/3, 23, 
2019/4/4, 29, 
2019/4/5, 35, 
2019/4/6, 33, 
2019/4/7, 28, 
2019/4/8, 30, 
2019/4/9, 31, 
2019/4/10, 29, 
2019/4/11, 31, 
2019/4/12, 29, 
2019/4/13, 29, 
2019/4/14, 30, 
2019/4/15, 25, 
2019/4/16, 33, 
2019/4/17, 23, 
2019/4/18, 26, 
2019/4/19, 33, 
2019/4/20, 21, 
2019/4/21, 23, 
2019/4/22, 23, 
2019/4/23, 31, 
2019/4/24, 30, 
2019/4/25, 27, 
2019/4/26, 35, 
2019/4/27, 33, 
2019/4/28, 31, 
2019/4/29, 31, 
2019/4/30, 27, 
2019/5/1, 31, 
2019/5/2, 31, 
2019/5/3, 29, 
2019/5/4, 23, 
2019/5/5, 28, 
2019/5/6, 26, 
2019/5/7, 27, 
2019/5/8, 29, 
2019/5/9, 26, 
2019/5/10, 38, 
2019/5/11, 29, 
2019/5/12, 42, 11
2019/5/13, 42, 
2019/5/14, 51, 
2019/5/15, 52, 
2019/5/16, 51, 
2019/5/17, 62, 
2019/5/18, 46, 
2019/5/19, 45, 
2019/5/20, 43, 
2019/5/21, 38, 
2019/5/22, 44, 
2019/5/23, 45, 
2019/5/24, 42, 
2019/5/25, 37, 
2019/5/26, 44, 
2019/5/27, 40, 
2019/5/28, 34, 
2019/5/29, 35, 
2019/5/30, 43, 
2019/5/31, 36, 
2019/6/1, 48, 
2019/6/2, 43, 
2019/6/3, 43, 
2019/6/4, 55, 
2019/6/5, 33, 
2019/6/6, 70, 
2019/6/10, 70, 
2019/6/11, 68, 
2019/6/12, 65, 
2019/6/13, 47, 
2019/6/14, 40, 
2019/6/15, 46, 
2019/6/16, 40, 
2019/6/17, 47, 
2019/6/18, 62, 
2019/6/19, 56, 
2019/6/20, 41, 
2019/6/21, 53, 
2019/6/22, 74, 
2019/6/23, 63, 
2019/6/24, 46, 
2019/6/25, 43, 
2019/6/26, 25, 
2019/7/1, 53, 
2019/1/2, 58, 
2019/1/3, 56, 
2019/1/4, 55, 
2019/1/5, 65, 
2019/1/6, 67, 
2019/1/7, 62, 
2019/1/8, 78, 
2019/1/9, 80, 
2019/1/10, 79, 
2019/1/11, 83, 
2019/1/12, 82, 
2019/1/13, 52, 11
2019/1/14, 61, 
2019/1/15, 51, 
2019/1/16, 15, 
2019/1/17, 35, 
2019/1/18, 36, 
2019/1/23, 75, 
2019/1/31, 13, 
2019/2/1, 13, 
2019/2/6, 13, 
2019/2/15, 13, 
2019/2/16, 13, 
2019/2/17, 13, 
2019/2/18, 13, 
2019/2/19, 13, 
2019/2/20, 13, 
2019/2/21, 13, 
2019/2/22, 13, 
2019/2/23, 13, 
2019/2/24, 13, 
2019/2/25, 13, 
2019/2/26, 13, 
2019/2/27, 13, 
2019/2/28, 13, 
2019/3/1, 13, 
2019/3/2, 13, 
2019/3/3, 13, 
2019/3/4, 13, 
2019/3/5, 13, 
2019/3/6, 13, 
2019/3/7, 13, 
2019/3/8, 13, 
2019/3/9, 23, 
2019/3/10, 21, 
2019/3/11, 17, 
2019/3/12, 15, 
2019/3/13, 26, 
2019/3/14, 26, 
2019/3/15, 20, 
2019/3/16, 30, 
2019/3/17, 13, 
2019/3/18, 26, 
2019/3/19, 20, 
2019/3/20, 23, 
2019/3/21, 24, 
2019/3/22, 25, 
2019/3/23, 20, 
2019/3/28, 13, 
2019/3/29, 18, 
2019/3/30, 36, 
2019/3/31, 32, 
2019/4/1, 32, 
2018/10/5, 47, 
2018/10/6, 37, 
2018/10/7, 30, 
2018/10/8, 30, 
2018/10/9, 27, 
2018/10/10, 30, 
2018/10/11, 30, 
2018/10/12, 30, 
2018/10/13, 32, 
2018/10/14, 17, 
2018/10/15, 22, 
2018/10/16, 33, 
2018/10/17, 47, 
2018/10/18, 40, 
2018/10/19, 43, 
2018/10/20, 28, 
2018/10/21, 32, 11
2018/10/22, 28, 
2018/10/23, 36, 
2018/10/24, 40, 
2018/10/26, 49, 
2018/10/27, 32, 
2018/11/8, 31, 
2018/11/9, 29, 
2018/11/10, 38, 
2018/11/11, 34, 
2018/11/12, 25, 
2018/11/13, 32, 
2018/11/14, 22, 
2018/11/15, 41, 
2018/11/16, 41, 
2018/11/17, 35, 
2018/11/18, 30, 
2018/11/19, 31, 
2018/11/20, 33, 
2018/11/21, 32, 
2018/11/22, 33, 
2018/11/23, 31, 
2018/11/24, 30, 
2018/11/25, 30, 
2018/11/26, 41, 
2018/11/27, 37, 
2018/11/28, 39, 
2018/11/29, 34, 
2018/11/30, 39, 
2018/12/1, 37, 
2018/12/2, 35, 
2018/12/3, 34, 
2018/12/4, 46, 
2018/12/5, 47, 
2018/12/6, 43, 
2018/12/7, 39, 
2018/12/8, 44, 
2018/12/9, 43, 
2018/12/10, 32, 
2018/12/11, 36, 
2018/12/12, 43, 
2018/12/13, 46, 
2018/12/14, 47, 
2018/12/15, 48, 
2018/12/16, 53, 11
2018/12/17, 51, 
2018/12/18, 53, 
2018/12/19, 48, 
2018/12/20, 46, 
2018/12/21, 46, 
2018/12/22, 48, 
2018/12/23, 41, 
2018/12/24, 40, 
2018/12/25, 46, 
2018/12/26, 47, 
2018/12/27, 48, 
2018/12/28, 45, 
2018/12/29, 50, 
2018/12/30, 51, 
2018/12/31, 50, 
2018/9/7, 71, 
2018/9/8, 70, 
2018/9/9, 66, 
2018/9/10, 62, 
2018/9/11, 66, 
2018/9/12, 63, 
2018/9/13, 44, 
2018/9/14, 52, 
2018/9/16, 24, 
2018/9/17, 42, 
2018/9/18, 56, 
2018/9/19, 41, 
2018/9/20, 76, 
2018/9/21, 121, 
2018/9/22, 125, 
2018/9/23, 43, 
2018/9/24, 25, 
2018/9/25, 35, 
2018/9/26, 34, 
2018/9/27, 62, 
2021/5/30, , 22
2021/6/6, , 22
2021/6/13, , 22
2021/1/11, , 22
2021/1/18, , 22
2021/1/25, , 22
2021/2/1, , 22
2021/2/8, , 22
2021/2/15, , 22
2021/2/22, , 22
2021/3/1, , 22
2021/3/8, , 22
2021/3/29, , 22
2020/10/5, , 22
2020/10/12, , 22
2020/10/19, , 22
2020/10/26, , 22
2020/11/2, , 22
2020/11/9, , 22
2020/11/16, , 22
2020/11/23, , 22
2020/11/30, , 22
2020/12/7, , 22
2020/12/14, , 22
2020/12/21, , 22
2020/12/28, , 22
2021/1/4, , 22
2020/7/6, , 22
2020/7/13, , 22
2020/7/20, , 22
2020/7/27, , 22
2020/8/3, , 22
2020/8/10, , 22
2020/8/17, , 22
2020/8/24, , 22
2020/8/31, , 22
2020/9/7, , 22
2020/9/14, , 22
2020/9/21, , 22
2020/9/28, , 22
2020/4/6, , 22
2020/4/13, , 22
2020/4/20, , 22
2020/4/27, , 22
2020/5/4, , 22
2020/5/11, , 22
2020/5/18, , 22
2020/5/25, , 22
2020/6/1, , 22
2020/6/8, , 22
2020/6/15, , 22
2020/6/22, , 22
2020/6/29, , 22
2020/1/12, , 22
2020/1/26, , 22
2020/2/2, , 22
2020/3/15, , 22
2020/3/22, , 22
2020/3/29, , 22
2020/4/5, , 22
2019/12/1, , 22
2019/12/15, , 22
2019/12/22, , 22
2019/9/15, , 22
2019/9/29, , 22
2019/6/9, , 11
2019/1/27, , 
2019/2/10, , 11
2019/3/24, , 
2018/11/4, , 
2018/7/2, , 11
2018/7/16, , 
2018/7/30, , 
2018/8/13, , 
2018/8/27, , 
2018/5/19, , 17
2018/5/20, , 17
2018/5/21, , 17
2018/5/22, , 14
2018/5/23, , 16
2018/5/24, , 14
2018/5/25, , 16
2018/5/26, , 12
2018/5/27, , 14
2018/5/28, , 15
2018/5/29, , 18
2018/5/30, , 16
2018/5/31, , 13
2018/6/1, , 18
2018/6/2, , 26
2018/6/3, , 34
2018/6/4, , 63
2018/6/5, , 58
2018/6/6, , 56
2018/6/7, , 62
2018/6/8, , 124
2018/6/9, , 67
2018/6/10, , 19
2018/6/13, , 76
2018/6/14, , 93
2018/6/15, , 78
2018/6/16, , 52
2018/6/17, , 14
2018/6/18, , 26
2018/6/19, , 43
2018/6/20, , 34
2018/6/21, , 13
2018/6/22, , 56
2018/6/23, , 31
2018/1/1, , 120
2017/4/3, , 54
2017/4/10, , 54
2017/5/1, , 54
2017/5/8, , 54
2017/5/26, , 120
2017/1/9, , 54
2017/1/2, , 54
2016/1/11, , 54
2016/1/4, , 54
2015/7/2, , 30
2015/7/3, , 33
2015/7/4, , 42
2015/7/5, , 63
2015/7/6, , 48
2015/7/7, , 17
2015/7/8, , 24
2015/7/15, , 28
2015/7/16, , 30
2015/5/10, , 40
2015/5/11, , 33
2015/5/12, , 28
2015/5/13, , 34
2015/5/14, , 24
2015/5/15, , 18
2015/5/16, , 13
2015/5/17, , 21
2015/5/18, , 23
2015/5/19, , 20
2015/5/20, , 31
2015/5/21, , 41
2015/5/22, , 49
2015/5/23, , 70
2015/5/24, , 84
2015/5/25, , 85
2015/5/26, , 63
2015/5/27, , 35
2015/5/28, , 15
2015/5/29, , 15
2015/5/30, , 26
2015/6/1, , 31
2015/6/2, , 18
2015/6/3, , 14
2015/6/5, , 18
2015/6/6, , 28
2015/6/7, , 47
2015/6/8, , 44
2015/6/9, , 52
2015/6/10, , 39
2015/6/11, , 36
2015/6/12, , 13
2015/6/13, , 21
2015/6/14, , 42
2015/6/15, , 64
2015/6/16, , 49
2015/6/17, , 62
2015/6/18, , 47
2015/6/19, , 59
2015/6/20, , 66
2015/6/21, , 42
2015/6/22, , 27
2015/6/23, , 23
2015/6/24, , 104
2015/6/25, , 87
2015/6/26, , 49
2015/6/27, , 22
2015/6/28, , 46
2015/6/29, , 42
2015/6/30, , 89
2015/7/1, , 37
