date, pm25, o3, no2, co
2023/4/2, 24, 35, 8, 3
2023/4/3, 31, 32, 14, 4
2023/4/4, 27, 24, 9, 3
2023/4/5, 22, 37, 5, 3
2023/4/6, 19, 34, 8, 3
2023/4/7, 22, 35, 13, 3
2023/4/8, 30, 39, 7, 3
2023/4/9, 47, 39, 5, 3
2023/4/10, 45, 35, 17, 5
2023/4/11, 41, 27, 13, 5
2023/4/12, 50, , , 
2023/1/3, 65, , 11, 3
2023/1/4, 50, , 10, 3
2023/1/5, 17, , 12, 4
2023/1/6, 29, , 19, 5
2023/1/7, 61, , 28, 6
2023/1/8, 101, , 22, 5
2023/1/9, 97, , 23, 6
2023/1/10, 92, , 22, 6
2023/1/11, 128, , 19, 5
2023/1/12, 117, , 10, 3
2023/1/13, 54, , 12, 3
2023/1/14, 40, , 6, 2
2023/1/15, 46, , 6, 3
2023/1/16, 41, , 16, 4
2023/1/17, 46, , 12, 4
2023/1/18, 34, , 10, 3
2023/1/19, 25, , 10, 3
2023/1/20, 21, , 9, 3
2023/1/21, 21, , 6, 3
2023/1/22, 33, , 11, 4
2023/1/23, 53, , 12, 4
2023/1/24, 51, , 16, 4
2023/1/25, 44, , 12, 4
2023/1/26, 50, , 11, 3
2023/1/27, 28, , 10, 3
2023/1/28, 36, , 9, 4
2023/1/29, 32, , 8, 3
2023/1/30, 30, , 14, 4
2023/1/31, 32, , 17, 4
2023/2/1, 30, , 17, 4
2023/2/2, 52, , 17, 4
2023/2/3, 49, , 13, 4
2023/2/4, 25, , 20, 6
2023/2/5, 42, , 16, 5
2023/2/6, 60, , 16, 4
2023/2/7, 69, , 14, 3
2023/2/8, 36, , 20, 4
2023/2/9, 35, , 19, 4
2023/2/10, 42, , 13, 3
2023/2/11, 21, , 10, 3
2023/2/12, 21, , 22, 4
2023/2/13, 50, , 13, 3
2023/2/14, 32, , 12, 3
2023/2/15, 41, , 11, 3
2023/2/16, 22, , 13, 3
2023/2/17, 18, , 15, 3
2023/2/18, 24, , 15, 3
2023/2/19, 46, , 15, 4
2023/2/20, 42, , 14, 3
2023/2/21, 35, , 13, 3
2023/2/22, 26, 29, 6, 3
2023/2/23, 13, 29, 7, 3
2023/2/24, 15, 16, 22, 4
2023/2/25, 32, 29, 12, 3
2023/2/26, 43, 37, 15, 3
2023/2/27, 41, 27, 20, 4
2023/2/28, 51, 24, 22, 4
2023/3/1, 43, 28, 10, 3
2023/3/2, 29, 27, 9, 3
2023/3/3, 30, 23, 12, 4
2023/3/4, 55, 33, 17, 4
