date, pm25, o3, no2, co
2023/4/2, 32, 29, 8, 
2023/4/3, 17, 28, 8, 
2023/4/4, 41, 28, , 
2023/4/5, 26, 27, 9, 
2023/4/6, 18, 24, 9, 
2023/4/7, 39, 29, , 
2023/4/8, 17, 28, , 
2023/4/9, 25, 30, , 
2023/4/10, 32, 37, , 
2023/4/11, 40, 33, , 
2023/4/12, 53, , , 
2023/1/3, 36, 15, 8, 
2023/1/4, 74, 23, 9, 
2023/1/5, 53, 23, 6, 
2023/1/6, 20, 17, 8, 
2023/1/7, 36, 23, 7, 
2023/1/8, 41, 22, , 
2023/1/9, 25, 18, 12, 
2023/1/10, 58, 19, 8, 
2023/1/11, 42, 19, 16, 
2023/1/12, 68, 21, 7, 
2023/1/13, 30, 21, 8, 
2023/1/14, 24, 23, 6, 
2023/1/15, 21, 24, 6, 
2023/1/16, 30, 24, 10, 
2023/1/17, 38, 22, 13, 
2023/1/18, 43, 23, 12, 
2023/1/19, 48, 23, 15, 
2023/1/20, 18, 23, , 
2023/1/21, 17, 22, , 
2023/1/22, 23, 19, 9, 
2023/1/23, 60, 20, 12, 
2023/1/24, 61, 21, , 
2023/1/25, 19, 23, 11, 
2023/1/26, 34, 23, 6, 
2023/1/27, 16, 22, 15, 
2023/1/28, 35, 22, 18, 
2023/1/29, 42, 21, 7, 
2023/1/30, 21, 21, 9, 
2023/1/31, 35, 22, 17, 
2023/2/1, 53, 22, 18, 
2023/2/2, 84, 25, 17, 
2023/2/3, 90, 25, 17, 
2023/2/4, 22, 19, , 
2023/2/5, 30, 21, 13, 
2023/2/6, 71, 21, 17, 
2023/2/7, 78, 25, 16, 
2023/2/8, 43, 25, 7, 
2023/2/9, 36, 21, 12, 
2023/2/10, 34, 21, 8, 
2023/2/11, 17, 24, 11, 
2023/2/12, 29, 23, 6, 
2023/2/13, 42, 23, 10, 
2023/2/14, 35, 22, 10, 
2023/2/15, 38, 24, 27, 
2023/2/16, 76, 22, , 
2023/2/17, 26, 23, 7, 
2023/2/18, 17, 23, 10, 
2023/2/19, 35, 24, 15, 
2023/2/20, 62, 23, 19, 
2023/2/21, 48, 23, 9, 
2023/2/22, 26, 24, , 
2023/2/23, 30, 24, , 
2023/2/24, 23, 23, , 
2023/2/25, 15, 23, , 
2023/2/26, 17, 24, , 
2023/2/27, 26, 24, , 
2023/2/28, 28, 25, , 
2023/3/1, 20, 25, , 
2023/3/2, 30, 25, 9, 
2023/3/3, 39, 25, , 
2023/3/4, 16, 24, , 
2023/3/5, 23, 27, , 
2023/3/6, 32, 28, , 
2023/3/7, 9, 23, , 
2023/3/8, 14, 21, , 
2023/3/9, 13, 24, , 
2023/3/10, 16, 26, , 
2023/3/11, 14, 27, , 
2023/3/12, 16, 26, , 
2023/3/13, 21, 27, , 
2023/3/14, 26, 27, 11, 
2023/3/15, 23, 27, 6, 
2023/3/16, 16, 29, , 
2023/3/17, 21, 29, , 
2023/3/18, 49, 26, , 
2023/3/19, 21, 24, , 
2023/3/20, 17, 31, 6, 
2023/3/21, 25, 28, 9, 
2023/3/22, 41, 26, 10, 
2023/3/23, 21, 25, 8, 
2023/3/24, 28, 24, 9, 
2023/3/25, 22, 25, , 
2023/3/26, 26, 25, , 
2023/3/27, 16, 27, , 
2023/3/28, 17, 27, , 
2023/3/29, 18, 30, , 
2023/3/30, 19, 29, , 
2023/3/31, 15, 31, 9, 
2023/4/1, 34, 29, 6, 
2022/10/2, 29, 19, , 
2022/10/3, 17, 20, , 
2022/10/4, 22, 19, 7, 
2022/10/5, 32, 25, 8, 
2022/10/6, 47, 25, 8, 
2022/10/7, 51, 20, 11, 
2022/10/8, 34, 18, , 
2022/10/9, 14, 15, , 
2022/10/10, 17, 12, , 
2022/10/11, 24, 19, 7, 
2022/10/12, 35, 23, 8, 
2022/10/13, 54, 27, 9, 
2022/10/14, 46, 23, 7, 
2022/10/15, 26, 21, 9, 
2022/10/16, 48, 17, , 
2022/10/17, 36, 15, , 
2022/10/18, 42, 18, , 
2022/10/19, 35, 14, , 
2022/10/20, 40, 14, , 
2022/10/21, 21, 22, 8, 
2022/10/22, 35, 29, 7, 
2022/10/23, 45, 26, , 
2022/10/24, 59, 23, 11, 
2022/10/25, 71, 14, 11, 
2022/10/26, 68, 11, 11, 
2022/10/27, 63, 18, 7, 
2022/10/28, 23, 18, , 
2022/10/29, 19, 17, , 
2022/10/30, 41, 20, 8, 
2022/10/31, 50, 20, 8, 
2022/11/1, 52, 16, 8, 
2022/11/2, 64, 20, 10, 
2022/11/3, 38, 16, 10, 
2022/11/4, 38, 25, 10, 
2022/11/5, 61, 23, 7, 
2022/11/6, 53, 21, , 
2022/11/7, 31, 20, , 
2022/11/8, 19, 22, , 
2022/11/9, 8, 19, 7, 
2022/11/10, 21, 17, 8, 
2022/11/11, 37, 11, 8, 
2022/11/12, 36, 19, , 
2022/11/13, 11, 18, , 
2022/11/14, 30, 19, , 
2022/11/15, 15, 18, , 
2022/11/16, 21, 15, , 
2022/11/17, 19, 20, , 
2022/11/18, 20, 19, 8, 
2022/11/19, 35, 15, 10, 
2022/11/20, 65, 19, , 
2022/11/21, 36, 20, 10, 
2022/11/22, 32, 19, 8, 
2022/11/23, 30, 21, 8, 
2022/11/24, 31, 18, 11, 
2022/11/25, 49, 21, 14, 
2022/11/26, 48, 18, 8, 
2022/11/27, 25, 17, 9, 
2022/11/28, 72, 21, 7, 
2022/11/29, 30, 19, 11, 
2022/11/30, 39, 17, 8, 
2022/12/1, 30, 25, , 
2022/12/2, 12, 22, 14, 
2022/12/3, 38, 17, 13, 
2022/12/4, 44, 22, 9, 
2022/12/5, 29, 18, 12, 
2022/12/6, 46, 19, 16, 
2022/12/7, 50, 20, 13, 
2022/12/8, 32, 26, , 
2022/12/9, 18, 22, , 
2022/12/10, 29, 23, , 
2022/12/11, 18, 21, , 
2022/12/12, 21, 20, , 
2022/12/13, 32, 23, , 
2022/12/14, 17, 24, , 
2022/12/15, 13, 21, , 
2022/12/16, 18, 21, , 
2022/12/17, 14, 23, , 
2022/12/18, 17, 21, 7, 
2022/12/19, 31, 19, 6, 
2022/12/20, 32, 18, , 
2022/12/21, 17, 18, 7, 
2022/12/22, 55, 17, 11, 
2022/12/23, 39, 20, , 
2022/12/24, 18, 19, , 
2022/12/25, 19, 21, , 
2022/12/26, 25, 21, , 
2022/12/27, 25, 21, , 
2022/12/28, 25, 19, , 
2022/12/29, 38, 15, 9, 
2022/12/30, 51, 17, 17, 
2022/12/31, 93, 18, 13, 
2023/1/1, 56, 18, 6, 
2023/1/2, 28, 17, , 
2022/7/2, 35, 22, , 
2022/7/3, 36, 16, , 
2022/7/4, 17, 15, , 
2022/7/5, 15, 20, , 
2022/7/6, 33, 18, , 
2022/7/7, 32, 21, , 
2022/7/8, 23, 18, , 
2022/7/9, 27, 16, , 
2022/7/10, 14, 22, , 
2022/7/11, 34, 25, , 
2022/7/12, 41, 25, , 
2022/7/13, 38, 17, , 
2022/7/14, 36, 15, , 
2022/7/15, 26, 19, , 
2022/7/16, 30, 29, , 
2022/7/17, 44, 27, , 
2022/7/18, 53, 33, , 
2022/7/19, 58, 25, , 
2022/7/20, 37, 21, , 
2022/7/21, 36, 28, , 
2022/7/22, 44, 23, , 
2022/7/23, 40, 28, , 
2022/7/24, 49, 28, , 
2022/7/25, 41, 23, , 
2022/7/26, 24, 18, , 
2022/7/27, 21, 23, , 
2022/7/28, 31, 24, , 
2022/7/29, 36, 19, , 
2022/7/30, 30, 11, , 
2022/7/31, 20, 20, , 
2022/8/1, 31, 28, , 
2022/8/2, 33, 18, , 
2022/8/3, 33, 20, , 
2022/8/4, 20, 27, , 
2022/8/5, 29, 16, , 
2022/8/6, 26, 21, , 
2022/8/7, 29, 23, , 
2022/8/8, 36, 17, , 
2022/8/9, 18, 19, , 
2022/8/10, 13, 18, , 
2022/8/11, 27, 19, , 
2022/8/12, 34, 11, , 
2022/8/13, 22, 13, , 
2022/8/14, 24, 16, , 
2022/8/15, 31, 24, , 
2022/8/16, 34, 18, , 
2022/8/17, 34, 17, , 
2022/8/18, 34, 14, , 
2022/8/19, 27, 20, , 
2022/8/20, 30, 26, , 
2022/8/21, 50, 28, , 
2022/8/22, 49, 23, , 
2022/8/23, 41, 16, , 
2022/8/24, 46, 19, , 
2022/8/25, 39, 17, , 
2022/8/26, 37, 13, , 
2022/8/27, 35, 17, , 
2022/8/28, 29, 21, , 
2022/8/29, 36, 25, , 
2022/8/30, 44, 26, , 
2022/8/31, 35, 22, , 
2022/9/1, 20, 12, , 
2022/9/2, 15, 19, , 
2022/9/3, 25, 19, , 
2022/9/4, 31, 11, , 
2022/9/5, 27, 18, , 
2022/9/6, 27, 16, , 
2022/9/7, 28, 21, , 
2022/9/8, 29, 21, 7, 
2022/9/9, 35, 17, 8, 
2022/9/10, 53, 24, , 
2022/9/11, 56, 27, , 
2022/9/12, 54, 24, , 
2022/9/13, 55, 19, 9, 
2022/9/14, 55, 17, , 
2022/9/15, 24, 14, , 
2022/9/16, 11, 17, , 
2022/9/17, 13, 16, , 
2022/9/18, 17, 16, , 
2022/9/19, 20, 14, , 
2022/9/20, 23, 13, , 
2022/9/21, 13, 14, , 
2022/9/22, 18, 14, , 
2022/9/23, 21, 18, , 
2022/9/24, 8, 16, , 
2022/9/25, 12, 12, , 
2022/9/26, 32, 10, 7, 
2022/9/27, 34, 13, 8, 
2022/9/28, 21, 12, , 
2022/9/29, 25, 15, , 
2022/9/30, 15, 16, , 
2022/10/1, 32, 15, , 
2022/4/2, 34, 28, , 
2022/4/3, 16, 28, , 
2022/4/4, 26, 29, , 
2022/4/5, 23, 28, 8, 
2022/4/6, 23, 29, 9, 
2022/4/7, 28, 27, 6, 
2022/4/8, 18, 23, 8, 
2022/4/9, 18, 23, 8, 
2022/4/10, 52, 21, , 
2022/4/11, 28, 23, , 
2022/4/12, 12, 26, 10, 
2022/4/13, 30, 27, 9, 
2022/4/14, 30, 25, 8, 
2022/4/15, 28, 29, , 
2022/4/16, 31, 25, , 
2022/4/17, 14, 21, , 
2022/4/18, 9, 25, , 
2022/4/19, 11, 23, , 
2022/4/20, 14, 24, , 
2022/4/21, 15, 25, , 
2022/4/22, 29, 27, , 
2022/4/23, 17, 31, , 
2022/4/24, 17, 25, , 
2022/4/25, 17, 24, , 
2022/4/26, 16, 21, 14, 
2022/4/27, 30, 17, 9, 
