date, pm25, pm10, o3, no2
2022/12/11, 85, 28, 17, 9
2022/12/12, 86, 44, 14, 11
2022/12/13, 100, , 12, 10
2022/12/14, 44, 30, 15, 15
2022/12/15, 66, 12, 11, 6
2022/12/16, 37, 17, 18, 6
2022/12/17, 53, 21, 12, 11
2022/12/18, 68, 9, 14, 3
2022/12/19, 50, 15, 20, 6
2022/12/20, 44, 14, 19, 6
2022/12/21, 40, 11, 21, 9
2022/12/22, 32, 21, 27, 6
2022/12/23, 50, 14, 26, 9
2022/12/24, 40, 12, 21, 7
2022/12/25, 35, 12, 11, 5
2022/12/26, 56, 13, 22, 8
2022/12/27, 46, 18, 13, 11
2022/12/28, 57, 15, 19, 8
2022/12/29, 47, 10, 23, 9
2022/12/30, 35, 9, 22, 7
2022/12/31, 32, 11, 19, 4
2023/1/1, 42, 17, 17, 2
2023/1/2, 53, 15, 24, 12
2022/7/2, 30, 10, 37, 5
2022/7/3, 29, 8, 31, 1
2022/7/4, 19, 14, 33, 2
2022/7/5, 29, 21, 41, 3
2022/7/6, 32, 23, 42, 3
2022/7/7, 31, 24, 32, 4
2022/7/8, 36, 16, 37, 3
2022/7/9, 30, 15, 39, 2
2022/7/10, 28, 13, 40, 2
2022/7/11, 32, 13, 42, 4
2022/7/12, 35, 13, 43, 4
2022/7/13, 25, 19, 45, 7
2022/7/14, 32, 14, 58, 4
2022/7/15, 37, 18, 54, 3
2022/7/16, 37, 13, 46, 2
2022/7/17, 35, 9, 51, 3
2022/7/18, 27, 18, 58, 7
2022/7/19, 38, 53, 36, 3
2022/7/20, 97, 19, 30, 2
2022/7/21, 29, 18, 38, 3
2022/7/22, 37, 22, 33, 2
2022/7/23, 34, 17, 45, 2
2022/7/24, 38, 11, 47, 2
2022/7/25, 30, 17, 34, 1
2022/7/26, 22, 14, 29, 2
2022/7/27, 24, 16, 37, 4
2022/7/28, 22, 16, 35, 3
2022/7/29, 24, 17, 33, 3
2022/7/30, 27, 7, 29, 2
2022/7/31, 17, 11, 34, 1
2022/8/1, 20, 15, 32, 2
2022/8/2, 29, 22, 44, 4
2022/8/3, 22, 23, 53, 7
2022/8/4, 29, 26, 35, 3
2022/8/5, 36, 24, 39, 2
2022/8/6, 32, 14, 49, 2
2022/8/7, 29, 11, 48, 1
2022/8/8, 38, 13, 50, 3
2022/8/9, 21, 23, 57, 4
2022/8/10, 42, 19, 59, 5
2022/8/11, 36, 24, 65, 6
2022/8/12, 48, 36, 60, 8
2022/8/13, 63, 24, 51, 2
2022/8/14, 53, 16, 33, 1
