date, pm25, o3, no2, co
2023/4/2, 14, 31, 6, 1
2023/4/3, 14, 32, 7, 1
2023/4/4, 12, 30, 5, 1
2023/4/5, 9, 33, 8, 1
2023/4/6, 12, 42, 7, 1
2023/4/7, 11, 39, 12, 1
2023/4/8, 24, 40, 11, 1
2023/4/9, 38, 42, 8, 1
2023/4/10, 25, 46, 8, 1
2023/4/11, 27, 25, 10, 1
2023/4/12, 26, , , 
2023/1/3, 15, 20, 19, 1
2023/1/4, 44, 20, 23, 3
2023/1/5, 32, 25, 14, 1
2023/1/6, 17, 17, 22, 2
2023/1/7, 25, 22, 17, 2
2023/1/8, 25, 28, 12, 1
2023/1/9, 17, 26, 15, 2
2023/1/10, 15, 25, 6, 
2023/1/11, 12, 21, 18, 2
2023/1/12, 16, 24, 20, 3
2023/1/13, 21, 14, 26, 5
2023/1/14, 35, 35, 13, 2
2023/1/15, 29, 25, 12, 1
2023/1/16, 16, 26, 15, 1
2023/1/17, 16, 26, 17, 1
2023/1/18, 37, 24, 9, 1
2023/1/19, 16, 17, 19, 2
2023/1/20, 26, 30, 7, 1
2023/1/21, 27, 28, 13, 1
2023/1/22, 26, 31, 13, 1
2023/1/23, 38, 29, 14, 1
2023/1/24, 23, 22, 16, 1
2023/1/25, 21, 14, 24, 2
2023/1/26, 51, 21, 23, 2
2023/1/27, 66, 21, 16, 1
2023/1/28, 28, 29, 14, 1
2023/1/29, 11, 27, 11, 1
2023/1/30, 21, 29, 12, 1
2023/1/31, 26, 24, 21, 2
2023/2/1, 35, 20, 30, 3
2023/2/2, 84, 21, 35, 5
2023/2/3, 105, 22, 36, 5
2023/2/4, 128, 27, 35, 4
2023/2/5, 137, 15, 34, 5
2023/2/6, 101, 26, 21, 2
2023/2/7, 34, 26, 21, 3
2023/2/8, 35, 27, 20, 3
2023/2/9, 48, 29, 15, 2
2023/2/10, 22, 26, 26, 3
2023/2/11, 47, 20, 32, 5
2023/2/12, 82, 32, 29, 4
2023/2/13, 84, 27, 35, 4
2023/2/14, 86, 31, 11, 1
2023/2/15, 16, 33, 9, 1
2023/2/16, 18, 30, 17, 2
2023/2/17, 29, 27, 24, 3
2023/2/18, 44, 30, 24, 3
2023/2/19, 69, 35, 16, 2
2023/2/20, 44, 20, 20, 2
2023/2/21, 24, 28, 13, 1
2023/2/22, 17, 30, 9, 1
2023/2/23, 16, 33, 11, 1
2023/2/24, 15, 38, 12, 1
2023/2/25, 12, 31, 22, 2
2023/2/26, 29, 44, 14, 2
2023/2/27, 33, 39, 1, 
2023/2/28, 9, 37, 4, 1
2023/3/1, 8, 37, 5, 1
2023/3/2, 16, 35, 7, 1
2023/3/3, 15, 34, 11, 1
2023/3/4, 19, 38, 9, 1
2023/3/5, 22, 39, 6, 1
2023/3/6, 17, 37, 7, 1
2023/3/7, 18, 36, 12, 1
2023/3/8, 35, 33, 16, 1
2023/3/9, 40, 37, 11, 1
2023/3/10, 21, 37, 2, 
2023/3/11, 16, 37, 9, 1
2023/3/12, 24, 31, 11, 1
2023/3/13, 37, 34, 12, 1
2023/3/14, 17, 36, 7, 1
2023/3/15, 13, 34, 5, 
2023/3/16, 12, 43, 10, 1
2023/3/17, 24, 48, 1, 
2023/3/18, 14, 44, 2, 1
2023/3/19, 15, 40, 5, 1
2023/3/20, 14, 31, 7, 1
2023/3/21, 15, 35, 9, 1
2023/3/22, 20, 39, 5, 1
2023/3/23, 15, 32, 9, 1
2023/3/24, 16, 34, 8, 1
2023/3/25, 13, 35, 3, 1
2023/3/26, 9, 33, 5, 1
2023/3/27, 13, 34, 5, 1
2023/3/28, 17, 37, 5, 1
2023/3/29, 19, 37, 7, 1
2023/3/30, 13, 35, 10, 1
2023/3/31, 10, 34, 8, 1
2023/4/1, 11, 38, 9, 1
2022/10/2, 17, 35, 7, 1
2022/10/3, 27, 37, 7, 1
2022/10/4, 24, 37, 8, 1
2022/10/5, 23, 40, 12, 1
2022/10/6, 25, 37, 12, 1
2022/10/7, 25, 39, 12, 1
2022/10/8, 26, 43, 11, 1
2022/10/9, 29, 44, 9, 1
2022/10/10, 29, 37, 13, 1
2022/10/11, 33, 30, 10, 1
2022/10/12, 38, 32, 10, 1
2022/10/13, 40, 32, 12, 2
2022/10/14, 39, 34, 13, 1
2022/10/15, 30, 35, 12, 2
