date, pm25, no2, so2
2021/4/16, , 5, 1
2021/4/17, , 10, 6
2021/4/18, , 8, 3
2021/4/19, , 8, 3
2021/4/20, , 9, 2
2021/4/21, , 8, 1
2021/4/22, , 11, 1
2021/4/23, , 14, 3
2021/4/24, , 12, 7
2021/4/25, , 5, 1
2021/4/26, , 3, 2
2021/4/27, , 10, 7
2021/4/28, , 11, 3
2021/4/29, , 9, 1
2021/4/30, , 5, 
2021/5/1, , 11, 15
2021/5/2, , 4, 1
2021/5/3, , 9, 
2021/5/4, , 7, 
2021/5/5, , 8, 
2021/5/6, , 10, 8
2021/5/7, , 9, 6
2021/5/8, , 3, 1
2021/5/9, , 7, 
2021/5/10, , 13, 1
2021/5/11, , 6, 
2021/5/12, , 12, 1
2021/5/13, , 17, 12
2021/5/14, , 15, 15
2021/5/15, , 15, 11
2021/5/16, , 6, 2
2021/5/17, , 10, 17
2021/5/18, , 14, 7
2021/5/19, , 9, 12
2021/2/16, , 6, 1
2021/3/26, , 6, 2
2020/10/5, , 11, 1
2020/10/7, , 11, 1
2020/10/12, , 3, 1
2020/10/19, , 11, 1
2020/10/22, , 12, 1
2020/10/27, , 14, 1
2020/10/29, , 22, 
2020/11/1, , 6, 2
2020/11/4, , 14, 2
2020/11/9, , 19, 19
2020/11/27, , 4, 2
2020/11/30, , 6, 1
2020/12/3, , 14, 2
2020/12/6, , 14, 1
2020/12/14, , 12, 2
2020/7/8, , 15, 4
2020/7/15, , 6, 5
2020/8/7, , 8, 2
2020/3/25, , 16, 18
2022/8/3, , , 3
2022/8/9, , , 4
2022/8/15, , , 1
2022/4/5, , , 1
2022/4/24, , , 15
2022/4/25, , , 1
2022/5/12, , , 11
2022/1/30, , , 3
2022/2/9, , , 9
2022/3/8, , , 1
2020/11/17, , , 1
