date, pm10, no2, co
2022/12/12, 38, 6, 2
2022/12/13, 28, 8, 1
2022/12/14, 23, , 2
2022/12/17, 34, , 
2022/12/20, 29, , 
2022/12/22, 47, , 1
2022/12/23, 25, , 2
2022/12/24, 17, , 1
2022/12/25, 20, , 
2022/12/26, 20, , 
2022/12/27, 40, , 1
2022/12/29, 40, 8, 1
2022/12/30, 32, 10, 1
2022/12/31, 39, , 3
2022/7/2, 23, , 7
2022/7/3, 28, , 2
2022/7/4, 26, , 
2022/7/6, 16, , 
2022/7/10, 19, 4, 1
2022/7/11, 31, 6, 1
2022/7/12, 19, 10, 2
2022/7/13, 22, , 
2022/7/15, 26, 4, 2
2022/7/16, 22, 6, 1
2022/7/17, 23, 7, 
2022/7/24, 20, , 
2022/7/27, 34, 6, 3
2022/7/28, 21, 6, 2
2022/7/29, 12, 12, 5
2022/7/30, 32, 9, 4
2022/7/31, 32, 7, 4
2022/8/1, 18, , 2
2022/8/2, 20, , 
