date, pm25, pm10, o3, no2, co
2019/7/22, 71, , 17, 5, 
2019/7/23, 80, , 15, 2, 
2019/7/24, 54, , 15, 4, 
2019/7/25, 55, , 14, 6, 
2019/7/26, 64, , 17, 6, 
2019/7/27, 70, , 20, 6, 
2019/7/28, 87, , 16, 4, 
2019/7/29, 72, , 13, 4, 
2019/7/30, 57, , 12, 3, 
2019/7/31, 55, , 15, 3, 
2019/8/1, 68, , 16, 5, 
2019/8/2, 75, , 18, 6, 
2019/8/3, 68, , 13, 3, 
2019/8/4, 57, , 14, 2, 
2019/8/5, 48, , 15, 3, 
2019/8/6, 55, , 16, 7, 
2019/8/7, 65, , 18, 8, 
2019/8/8, 73, , 19, 9, 
2019/8/9, 88, , 19, 7, 
2019/8/10, 100, , 20, 6, 
2019/8/11, 99, , 17, 5, 
2019/8/12, 84, , 16, 4, 
2019/8/13, 60, , 17, 4, 
2019/8/14, 63, , 18, 4, 
2019/8/15, 66, , 12, 2, 
2019/8/16, 53, , 14, 2, 
2019/8/17, 39, , 15, 2, 
2019/8/18, 58, , 16, 5, 
2019/8/19, 64, , 17, 9, 
2019/8/20, 74, , 15, 7, 
2019/8/21, 69, , 17, 7, 
2019/8/22, 69, , 18, 10, 
2019/8/23, 85, , 17, 8, 
2019/8/24, 85, , 17, 6, 
2019/8/25, 80, , 17, 4, 
2019/8/26, 80, , 15, 4, 
2019/8/27, 78, , 16, 6, 
2019/8/28, 71, , 17, 6, 
2019/8/29, 76, , 15, 7, 
2019/8/30, 82, , 15, 9, 
2019/8/31, 82, , 15, 7, 
2019/9/1, 89, , 15, 7, 
2019/9/2, 79, , 15, 8, 
2019/9/3, 74, , 16, 7, 
2019/9/4, 83, , 14, 3, 
2019/9/5, 94, , 15, 5, 
2019/9/6, 87, , 15, 4, 
2019/9/7, 84, , 15, 3, 
2019/9/8, 68, , 16, 4, 
2019/9/9, 69, , 13, 4, 
2019/9/10, 72, , 14, 6, 
2019/9/11, 85, , 13, 7, 
2019/9/12, 84, , 12, 7, 
2019/9/13, 85, , 13, 6, 
2019/9/14, 111, , 16, 7, 
2019/9/15, 100, , 16, 6, 
2019/9/16, 85, , 14, 8, 
2019/9/17, 98, , 13, 10, 
2019/9/18, 94, , 14, 9, 
2019/9/19, 100, , 9, 4, 
2019/9/20, 57, , 10, 5, 
2019/9/21, 49, , 10, 7, 
2019/9/22, 60, , 13, 10, 
2019/9/23, 75, , 7, 11, 
2019/9/24, 95, , 5, 11, 
2019/9/25, 90, , 5, 8, 
2019/9/26, 82, , 9, 5, 
2019/9/27, 69, , 10, 3, 
2019/9/28, 45, , 8, 10, 
2019/9/29, 70, , 11, 11, 
2019/9/30, 90, , 11, 11, 
2019/10/1, 87, , 12, 12, 
2019/4/2, 114, , 30, 14, 
2019/4/3, 100, , 30, 10, 
2019/4/4, 87, , 28, 12, 
2019/4/5, 95, , 27, 12, 
2019/4/6, 101, , 34, 9, 
2019/4/7, 102, , 29, 10, 
2019/4/8, 89, , 21, 15, 
2019/4/9, 111, , 15, 16, 
2019/4/10, 57, , 23, 18, 
2019/4/11, 86, , 26, 12, 
2019/4/12, 60, , 17, 20, 
2019/4/13, 77, , 18, 10, 
2019/4/14, 56, , 18, 6, 
2019/4/15, 25, , 22, 9, 
2019/4/16, 42, , 28, 11, 
2019/4/17, 71, , 35, 10, 
2019/4/18, 77, , 25, 10, 
2019/4/19, 64, , 29, 10, 
2019/4/20, 53, , 34, 11, 
2019/4/21, 64, , 36, 18, 
2019/4/22, 85, , 36, 17, 
2019/4/23, 86, , 30, 12, 
2019/4/24, 78, , 29, 12, 
2019/4/25, 80, , 24, 19, 
2019/4/26, 144, , 33, 14, 
2019/4/27, 156, , 25, 10, 
2019/4/28, 129, , 30, 6, 
2019/4/29, 41, , 30, 10, 
2019/4/30, 58, , 30, 7, 
2019/5/1, 55, , 30, 3, 
2019/5/2, 29, , 36, 5, 
2019/5/3, 57, , 41, 12, 
2019/5/4, 72, , 33, 8, 
2019/5/5, 65, , 23, 2, 
2019/5/6, 68, , 25, , 
2019/5/7, 55, , 19, , 
2019/5/8, 50, , 31, , 
2019/5/9, 68, , 22, 20, 
2019/5/10, 84, , 26, 7, 
2019/5/11, 52, , 29, 8, 
2019/5/12, 40, , 27, 11, 
2019/5/13, 54, , 27, 7, 
2019/5/14, 65, , 24, 8, 
2019/5/15, 75, , 13, 8, 
2019/5/16, 40, , 8, 7, 
2019/5/17, 51, , 8, 4, 
2019/5/18, 58, , 13, 7, 
2019/5/19, 68, , 13, 7, 
2019/5/20, 69, , 12, 7, 
2019/5/21, 73, , 13, 5, 
2019/5/22, 47, , 13, 5, 
2019/5/23, 51, , 13, 4, 
2019/5/24, 43, , 12, 2, 
2019/5/25, 57, , 13, 2, 
2019/5/26, 50, , 18, 7, 
2019/5/27, 66, , 11, 9, 
2019/5/28, 76, , 17, 5, 
2019/5/29, 79, , 14, 5, 
2019/5/30, 63, , 12, 3, 
2019/5/31, 49, , 9, 3, 
2019/6/1, 67, , 13, 3, 
2019/6/2, 61, , 10, 6, 
2019/6/3, 62, , 11, 6, 
2019/6/4, 41, , 12, 7, 
2019/6/5, 70, , 10, 7, 
2019/6/6, 68, , 10, 7, 
2019/6/7, 68, , 14, 7, 
2019/6/8, 77, , 13, 5, 
2019/6/9, 98, , 14, 2, 
2019/6/10, 91, , 14, 5, 
2019/6/11, 68, , 12, 5, 
2019/6/12, 60, , 14, 6, 
2019/6/13, 74, , 18, 9, 
2019/6/14, 92, , 15, 8, 
2019/6/15, 89, , 16, 7, 
2019/6/16, 87, , 18, 6, 
2019/6/17, 77, , 15, 6, 
2019/6/18, 80, , 14, 5, 
2019/6/19, 79, , 13, 6, 
2019/6/20, 78, , 12, 7, 
2019/6/21, 74, , 12, 7, 
2019/6/22, 85, , 16, 5, 
2019/6/23, 71, , 14, 5, 
2019/6/24, 67, , 9, 6, 
2019/6/25, 78, , 13, 5, 
2019/6/26, 66, , 13, 4, 
2019/6/27, 80, , 17, 5, 
2019/6/28, 85, , 13, 5, 
2019/6/29, 83, , 13, 2, 
2019/6/30, 44, , 13, 4, 
2019/7/1, 49, , 14, 9, 
2019/1/2, 111, , 16, 8, 
2019/1/3, 68, , 14, 7, 
2019/1/4, 63, , 16, 9, 
2019/1/5, 64, , 15, 7, 
2019/1/6, 90, , 16, 10, 
2019/1/7, 76, , 16, 6, 
2019/1/8, 61, , 16, 13, 
2019/1/9, 100, , 7, 24, 
2019/1/10, 118, , 5, 24, 
2019/1/11, 156, , 12, 10, 
2019/1/12, 74, , 18, 6, 
2019/1/13, 62, , 18, 15, 
2019/1/14, 107, , 9, 26, 
2019/1/15, 117, , 21, 7, 
2019/1/16, 40, , 22, 8, 
2019/1/17, 42, , 3, 44, 
2019/1/18, 167, , , 49, 
2019/1/19, 249, , 7, 39, 
2019/1/20, 205, , 11, 13, 
2019/1/21, 103, , 14, 15, 
2019/1/22, 108, , 9, 12, 
2019/1/23, 66, , 9, 14, 
2019/1/24, 67, , 14, 11, 
2019/1/25, 51, , 7, 14, 
2019/1/26, 71, , 12, 7, 
2019/1/27, 82, , 16, 20, 
2019/1/28, 124, , 4, 28, 
2019/1/29, 161, , , 32, 
2019/1/30, 162, , 7, 24, 
2019/1/31, 109, , 12, 18, 
2019/2/1, 83, , 16, 22, 
2019/2/2, 70, , 3, 26, 
2019/2/3, 150, , 8, 21, 
2019/2/4, 116, , 6, 20, 
2019/2/5, 125, , 9, 12, 
2019/2/6, 89, , 9, 12, 
2019/2/7, 41, , 10, 14, 
2019/2/8, 63, , 11, 15, 
2019/2/9, 85, , 16, 16, 
2019/2/10, 99, , 16, 24, 
2019/2/11, 136, , 8, 26, 
2019/2/12, 143, , 15, 7, 
2019/2/13, 35, , 17, 10, 
2019/2/14, 51, , 17, 8, 
2019/2/15, 69, , 14, 11, 
2019/2/16, 55, , 21, 11, 
2019/2/17, 70, , 23, 12, 
2019/2/18, 107, , 12, 33, 
2019/2/19, 158, , 10, 33, 
2019/2/20, 152, , 27, 21, 
2019/2/21, 142, , 25, 9, 
2019/2/22, 98, , 21, 14, 
2019/2/23, 96, , 21, 7, 
2019/2/24, 48, , 23, 8, 
2019/2/25, 65, , 19, 22, 
2019/2/26, 106, , 24, 9, 
2019/2/27, 88, , 18, 17, 
2019/2/28, 95, , 26, 8, 
2019/3/1, 63, , 28, 16, 
2019/3/2, 108, , 23, 12, 
2019/3/3, 91, , 22, 6, 
2019/3/4, 88, , 24, 13, 
2019/3/5, 88, , 26, 18, 
2019/3/6, 102, , 26, 17, 
2019/3/7, 79, , 20, 26, 
2019/3/8, 124, , 20, 25, 
2019/3/9, 124, , 28, 21, 
2019/3/10, 112, , 30, 7, 
2019/3/11, 66, , 25, 7, 
2019/3/12, 66, , 18, 9, 
2019/3/13, 42, , 24, 12, 
2019/3/14, 49, , 22, 12, 
2019/3/15, 90, , 26, 12, 
2019/3/16, 66, , 25, 11, 
2019/3/17, 81, , 26, 17, 
2019/3/18, 86, , 21, 24, 
2019/3/19, 119, , 26, 10, 
2019/3/20, 83, , 25, 10, 
2019/3/21, 96, , 19, 10, 
2019/3/22, 114, , 26, 18, 
2019/3/23, 108, , 32, 19, 
2019/3/24, 105, , 30, 14, 
2019/3/25, 102, , 24, 27, 
2019/3/26, 132, , 22, 12, 
2019/3/27, 100, , 30, 7, 
2019/3/28, 71, , 27, 13, 
2019/3/29, 85, , 29, 17, 
2019/3/30, 94, , 30, 16, 
2019/3/31, 109, , 31, 16, 
2019/4/1, 100, , 35, 20, 
2018/10/2, 53, 31, 18, 19, 
2018/10/3, 98, 26, 24, 7, 
2018/10/4, 85, 17, 26, 9, 
2018/10/5, 63, 26, 26, 16, 
2018/10/6, 86, 28, 26, 14, 
2018/10/7, 90, 30, 22, 15, 
2018/10/8, 96, 36, 21, 24, 
2018/10/9, 110, 35, 22, 22, 
2018/10/10, 108, 42, 22, 24, 
2018/10/11, 126, 43, 21, 22, 
2018/10/12, 128, 38, 24, 18, 
2018/10/13, 116, 28, 23, 16, 
2018/10/14, 92, 27, 22, 17, 
2018/10/15, 87, 36, 20, 19, 
2018/10/16, 111, 37, 22, 22, 
2018/10/17, 113, 50, 21, 26, 
2018/10/18, 140, 49, 22, 18, 
2018/10/19, 144, 52, 21, 20, 
2018/10/20, 147, 45, 22, 11, 
2018/10/21, 131, 39, 20, 9, 
2018/10/22, 117, 36, 16, 15, 
2018/10/23, 111, 37, 19, 16, 
2018/10/24, 113, 25, 20, 9, 
2018/10/25, 83, 9, 21, 5, 
2018/10/26, 42, 33, 17, 22, 
2018/10/27, 98, 43, 15, 25, 
2018/10/28, 121, 31, 19, 20, 
2018/10/29, 97, 44, 9, 26, 
2018/10/30, 124, 48, 5, 26, 
2018/10/31, 136, 41, 8, 24, 
2018/11/1, 121, 48, 5, 26, 
2018/11/2, 141, 47, 16, 15, 
2018/11/3, 131, 36, 14, 13, 
2018/11/4, 112, 23, 20, 10, 
2018/11/5, 78, 28, 18, 17, 
2018/11/6, 92, 40, 15, 18, 
2018/11/7, 122, 32, 13, 15, 
2018/11/8, 101, 39, 10, 20, 
2018/11/9, 118, 43, 10, 24, 
2018/11/10, 128, 48, 10, 24, 
2018/11/11, 139, 56, 10, 25, 
2018/11/12, 150, 70, 1, 37, 
2018/11/13, 172, 54, 10, 27, 
2018/11/14, 148, 50, 11, 18, 
2018/11/15, 140, 35, 16, 18, 
2018/11/16, 101, 20, 12, 16, 
2018/11/17, 70, 14, 17, 11, 
2018/11/18, 56, 15, 9, 8, 
2018/11/19, 59, , , , 
2018/11/21, 62, 13, 3, 11, 
2018/11/22, 50, 23, 3, 12, 
2018/11/23, 76, 48, 1, 15, 
2018/11/24, 138, 24, 4, 13, 
2018/11/25, 81, 47, 2, 17, 
2018/11/26, 138, 25, 7, 16, 
2018/11/27, 83, 22, 10, 20, 
2018/11/28, 72, 3, 12, 15, 
2018/11/29, 16, 11, 21, 21, 
2018/11/30, 44, 32, 26, 33, 
2018/12/1, 97, 89, 5, 66, 
2018/12/2, 201, 131, 4, 71, 
2018/12/3, 265, 141, , 61, 
2018/12/4, 288, 113, , 46, 
2018/12/5, 233, 43, 11, 16, 
2018/12/6, 106, 29, 14, 14, 
2018/12/7, 88, 67, 1, 31, 
2018/12/8, 169, 121, , 32, 
2018/12/9, 249, 42, 11, 14, 
2018/12/10, 112, 26, 9, 14, 
2018/12/11, 87, 9, 16, 8, 
2018/12/12, 37, 20, 15, 11, 
2018/12/13, 70, 51, 2, 27, 
2018/12/14, 135, 34, 4, 21, 
2018/12/15, 101, 15, 3, 16, 
2018/12/16, 60, 15, 9, 8, 
2018/12/17, 55, 31, 13, 16, 
2018/12/18, 98, 33, 10, 11, 
2018/12/19, 103, 39, 13, 13, 
2018/12/20, 115, 70, 3, 28, 
2018/12/21, 171, 87, , 37, 
2018/12/22, 195, 125, , 55, 
2018/12/23, 257, 49, 16, 22, 
2018/12/24, 118, 14, 17, 13, 
2018/12/25, 49, 11, 14, 5, 
2018/12/26, 45, 14, 14, 5, 
2018/12/27, 58, 17, 16, 6, 
2018/12/28, 62, 15, 17, 7, 
2018/12/29, 58, 14, 16, 5, 
2018/12/30, 58, 32, 15, 9, 
2018/12/31, 97, , , , 
2018/7/2, 58, 15, 26, 4, 
2018/7/3, 79, 31, 30, 11, 
2018/7/4, 99, 41, 29, 13, 
2018/7/5, 124, 21, 32, 8, 
2018/7/6, 74, 29, 30, 14, 
2018/7/7, 93, 27, 22, 10, 
2018/7/8, 88, 17, 24, 6, 
2018/7/9, 64, 15, 23, 6, 
2018/7/10, 60, 17, 21, 7, 
2018/7/11, 63, 22, 28, 10, 
2018/7/12, 76, 20, 30, 12, 
2018/7/13, 70, 30, 30, 11, 
2018/7/14, 96, 16, 30, 6, 
2018/7/15, 62, 17, 31, 8, 
2018/7/16, 64, 20, 32, 8, 
2018/7/17, 71, 25, 24, 13, 
2018/7/18, 82, 20, 31, 7, 
2018/7/19, 71, 15, 33, 7, 
2018/7/20, 61, 17, 51, 7, 
2018/7/21, 64, 21, 34, 10, 
2018/7/22, 74, 31, 32, 18, 
2018/7/23, 97, 24, 25, 12, 
2018/7/24, 81, 21, 22, 7, 
2018/7/25, 73, 18, 18, 7, 
2018/7/26, 66, 15, 22, 9, 
2018/7/27, 58, 19, 21, 11, 
2018/7/28, 69, 19, 27, 7, 
2018/7/29, 68, 27, 26, 7, 
2018/7/30, 88, 27, 22, 11, 
2018/7/31, 89, 20, 20, 12, 
2018/8/1, 71, 20, 24, 11, 
2018/8/2, 72, 22, 19, 14, 
2018/8/3, 76, 27, 26, 13, 
2018/8/4, 89, 27, 29, 12, 
2018/8/5, 88, 26, 33, 14, 
2018/8/6, 86, 25, 36, 14, 
2018/8/7, 83, 29, 30, 16, 
2018/8/8, 94, 30, 31, 14, 
2018/8/9, 96, 23, 26, 12, 
2018/8/10, 78, 19, 26, 10, 
2018/8/11, 70, 16, 30, 8, 
2018/8/12, 61, 19, 30, 11, 
2018/8/13, 69, 25, 32, 14, 
2018/8/14, 84, 26, 31, 14, 
2018/8/15, 87, 26, 31, 15, 
2018/8/16, 86, 26, 30, 16, 
2018/8/17, 86, 30, 30, 19, 
2018/8/18, 97, 31, 34, 14, 
2018/8/19, 99, 28, 30, 14, 
2018/8/20, 89, 31, 25, 21, 
2018/8/21, 99, 30, 29, 18, 
2018/8/22, 94, 28, 31, 16, 
2018/8/23, 91, 24, 33, 15, 
2018/8/24, 80, 22, 31, 11, 
2018/8/25, 75, 30, 32, 13, 
2018/8/26, 94, 29, 32, 12, 
2018/8/27, 94, 25, 13, 8, 
2018/8/28, 83, 17, 19, 6, 
2018/8/29, 65, 25, 31, 9, 
2018/8/30, 82, 28, 36, 17, 
2018/8/31, 91, 28, 32, 15, 
2018/9/1, 89, 31, 34, 14, 
2018/9/2, 98, 30, 33, 14, 
2018/9/3, 95, 36, 26, 15, 
2018/9/4, 110, 26, 26, 10, 
2018/9/5, 86, 13, 27, 6, 
2018/9/6, 52, 21, 27, 6, 
2018/9/7, 73, 26, 30, 12, 
2018/9/8, 86, 27, 29, 12, 
2018/9/9, 89, 22, 29, 7, 
2018/9/10, 75, 24, 30, 8, 
2018/9/11, 80, 20, 29, 9, 
2018/9/12, 72, 23, 29, 14, 
2018/9/13, 78, 28, 25, 17, 
2018/9/14, 91, 28, 29, 19, 
2018/9/15, 91, 25, 31, 15, 
2018/9/16, 84, 17, 27, 6, 
2018/9/17, 64, 27, 27, 14, 
2018/9/18, 89, 25, 27, 13, 
2018/9/19, 83, 23, 26, 14, 
2018/9/20, 78, 24, 26, 18, 
2018/9/21, 82, 27, 23, 17, 
2018/9/22, 87, 28, 30, 18, 
2018/9/23, 90, 46, 34, 12, 
2018/9/24, 135, 33, 24, 11, 
2018/9/25, 105, 9, 21, 5, 
2018/9/26, 41, 14, 19, 13, 
2018/9/27, 57, 26, 23, 18, 
2018/9/28, 86, 27, 25, 20, 
2018/9/29, 88, 30, 30, 14, 
2018/9/30, 95, 33, 23, 9, 
2018/10/1, 103, 13, 16, 12, 
2018/5/16, 79, 24, 24, 13, 
2018/5/17, 52, 14, 33, 7, 
2018/5/18, 62, 16, 29, 9, 
2018/5/19, 76, 22, 30, 11, 
2018/5/20, 63, 16, 29, 8, 
2018/5/21, 78, 23, 35, 8, 
2018/5/22, 76, 22, 25, 13, 
2018/5/23, 63, 17, 31, 8, 
2018/5/24, 79, 23, 27, 12, 
2018/5/25, 85, 26, 23, 12, 
2018/5/26, 77, 22, 30, 11, 
2018/5/27, 68, 19, 35, 8, 
2018/5/28, 71, 20, 30, 9, 
2018/5/29, 84, 25, 28, 11, 
2018/5/30, 79, 23, 31, 11, 
2018/5/31, 88, 27, 30, 12, 
2018/6/1, 72, 20, 31, 13, 
2018/6/2, 86, 26, 35, 17, 
2018/6/3, 90, 28, 38, 12, 
2018/6/4, 97, 30, 31, 11, 
2018/6/5, 70, 20, 34, 8, 
2018/6/6, 80, 24, 36, 12, 
2018/6/7, 103, 33, 26, 17, 
2018/6/8, 94, 29, 28, 14, 
2018/6/9, 90, 28, 35, 12, 
2018/6/10, 115, 38, 27, 10, 
2018/6/11, 75, 21, 30, 8, 
2018/6/12, 73, 21, 30, 11, 
2018/6/13, 115, 37, 32, 14, 
2018/6/14, 123, 41, 24, 16, 
2018/6/15, 72, 20, 21, 13, 
2018/6/16, 72, 20, 22, 12, 
2018/6/17, 66, 18, 17, 10, 
2018/6/18, 64, 17, 24, 10, 
2018/6/19, 68, 19, 25, 10, 
2018/6/20, 70, 19, 25, 11, 
2018/6/21, 84, 25, 32, 11, 
2018/6/22, 104, 33, 27, 18, 
2018/6/23, 97, 31, 24, 14, 
2018/6/24, 35, 8, 21, 3, 
2018/6/25, 45, 10, 26, 5, 
2018/6/26, 71, 20, 23, 10, 
2018/6/27, 70, 19, 23, 13, 
2018/6/28, 48, 11, 21, 13, 
2018/6/29, 46, 10, 15, 11, 
2018/6/30, 42, 9, 17, 6, 
2018/7/1, 52, 12, 30, 4, 
2023/4/2, , 31, 13, 3, 
2023/4/3, , 11, 9, 8, 
2023/4/4, , 25, 8, 2, 
2023/4/5, , 11, 9, 2, 
2023/4/6, , 14, 15, 2, 
2023/4/7, , 22, 14, 3, 
2023/4/8, , 28, 12, 5, 
2023/4/9, , 37, 12, 3, 
2023/4/10, , 22, 12, 4, 
2023/4/11, , 19, 13, 2, 
2023/4/12, , 20, , , 
2023/1/3, , 82, 14, 24, 
2023/1/4, , 78, 15, 7, 
2023/1/5, , 29, 7, 14, 
2023/1/6, , 35, 19, 8, 
2023/1/7, , 17, 8, 20, 
2023/1/8, , 37, 4, 23, 
2023/1/9, , 66, 12, 19, 
2023/1/10, , 54, 12, 12, 
2023/1/11, , 29, 9, 9, 
2023/1/12, , 13, 9, 6, 
2023/1/13, , 13, 7, 9, 
2023/1/14, , 17, 12, 12, 
2023/1/15, , 35, 12, 10, 
2023/1/16, , 30, 3, 15, 
2023/1/17, , 43, 23, 11, 
2023/1/18, , 19, 26, 3, 
2023/1/19, , 20, 26, 3, 
2023/1/20, , 48, 18, 10, 
2023/1/21, , 17, 17, 9, 
2023/1/22, , 16, 17, 11, 
2023/1/23, , 21, 19, 7, 
2023/1/24, , 12, 17, 8, 
2023/1/25, , 11, 9, 8, 
2023/1/26, , 13, 15, 8, 
2023/1/27, , 13, 13, 8, 
2023/1/28, , 14, 13, 5, 
2023/1/29, , 15, 12, 5, 
2023/1/30, , 21, 17, 5, 
2023/1/31, , 26, 9, 6, 
2023/2/1, , 40, 10, 2, 
2023/2/2, , 12, 11, 3, 
2023/2/3, , 16, 9, 2, 
2023/2/4, , 10, 9, 2, 
2023/2/5, , 12, 9, 1, 
2023/2/6, , 12, 8, 3, 
2023/2/7, , 14, 8, 3, 
2023/2/8, , 24, 8, 4, 
2023/2/9, , 32, 10, 8, 
2023/2/10, , 30, 6, 14, 
2023/2/11, , 58, 12, 4, 
2023/2/12, , 40, 12, 4, 
2023/2/13, , 44, 12, 5, 
2023/2/14, , 50, 11, 2, 
2023/2/15, , 29, 10, 3, 
2023/2/16, , 35, 2, 15, 
2023/2/17, , 68, 12, 10, 
2023/2/18, , 49, 10, 10, 
2023/2/19, , 40, 13, 7, 
2023/2/20, , 30, 12, 2, 
2023/2/21, , 17, 10, 8, 
2023/2/22, , 25, 13, 10, 
2023/2/23, , 36, 22, 18, 
2023/2/24, , 43, 15, 14, 
2023/2/25, , 35, 27, 10, 
2023/2/26, , 40, 27, 2, 
2023/2/27, , 46, 13, 8, 
2023/2/28, , 35, 8, 10, 
2023/3/1, , 31, 7, 5, 
2023/3/2, , 11, 5, 4, 
2023/3/3, , 11, 4, 4, 
2023/3/4, , 16, 7, 5, 
2023/3/5, , 29, 13, 1, 
2023/3/6, , 35, 12, 4, 
2023/3/7, , 27, 15, 4, 
2023/3/8, , 20, 11, 7, 
2023/3/9, , 25, 12, 5, 
2023/3/10, , 19, 7, 7, 
2023/3/11, , 23, 23, 2, 
2023/3/12, , 15, 23, 2, 
2023/3/13, , 11, 18, 17, 
2023/3/14, , 28, 11, 11, 
2023/3/15, , 32, 9, 7, 
2023/3/16, , 31, 10, 2, 
2023/3/17, , 12, 9, 5, 
2023/3/18, , 15, 12, 7, 
2023/3/19, , 34, 11, 10, 
2023/3/20, , 35, 8, 13, 
2023/3/21, , 50, 10, 10, 
2023/3/22, , 47, 9, 7, 
2023/3/23, , 28, 17, 12, 
2023/3/24, , 36, 14, 13, 
2023/3/25, , 37, 2, 19, 
2023/3/26, , 49, 14, 3, 
2023/3/27, , 14, 22, 11, 
2023/3/28, , 26, 23, 4, 
2023/3/29, , 10, 26, 3, 
2023/3/30, , 12, 14, 5, 
2023/3/31, , 18, 13, 9, 
2023/4/1, , 30, 12, 7, 
2022/10/2, , 27, 17, 6, 
2022/10/3, , 13, 15, 10, 
2022/10/4, , 17, 14, 6, 
2022/10/5, , 13, 14, 13, 
2022/10/6, , 20, 9, 19, 
2022/10/7, , 34, 17, 14, 
2022/10/8, , 29, 18, 18, 
2022/10/9, , 31, 21, 12, 
2022/10/10, , 34, 19, 14, 
2022/10/11, , 43, 17, 11, 
2022/10/12, , 37, 10, 15, 
2022/10/13, , 40, 15, 16, 
2022/10/14, , 36, 17, 12, 
2022/10/15, , 19, 18, 11, 
2022/10/16, , 22, 20, 13, 
2022/10/17, , 26, 17, 19, 
2022/10/18, , 35, 13, 24, 
2022/10/19, , 42, 26, 15, 
2022/10/20, , 38, 21, 8, 
2022/10/21, , 33, 14, 19, 
2022/10/22, , 40, 12, 22, 
2022/10/23, , 50, 21, 12, 
2022/10/24, , 33, 6, 28, 
2022/10/25, , 49, 17, 21, 
2022/10/26, , 57, 20, 13, 
2022/10/27, , 31, 16, 22, 
2022/10/28, , 30, 14, 24, 
2022/10/29, , 39, 15, 22, 
2022/10/30, , 39, 18, 13, 
2022/10/31, , 34, 16, 18, 
2022/11/1, , 38, 6, 28, 
2022/11/2, , 60, 15, 22, 
2022/11/3, , 56, 19, 13, 
2022/11/4, , 44, 15, 19, 
2022/11/5, , 54, 14, 17, 
2022/11/6, , 52, 21, 11, 
2022/11/7, , 35, 14, 15, 
2022/11/8, , 45, 12, 13, 
2022/11/9, , 46, 6, 17, 
2022/11/10, , 52, 5, 19, 
2022/11/11, , 59, 9, 9, 
2022/11/12, , 38, 12, 8, 
2022/11/13, , 18, 17, 8, 
2022/11/14, , 29, 1, 21, 
2022/11/15, , 68, 1, 21, 
2022/11/16, , 80, 1, 22, 
2022/11/17, , 79, 14, 12, 
2022/11/18, , 26, 16, 13, 
2022/11/19, , 36, 12, 12, 
2022/11/20, , 19, 19, 7, 
2022/11/21, , 19, 12, 6, 
2022/11/22, , 19, 10, 13, 
2022/11/23, , 18, 11, 15, 
2022/11/24, , 21, 17, 10, 
2022/11/25, , 22, 17, 5, 
2022/11/26, , 11, 15, 11, 
2022/11/27, , 23, 13, 12, 
2022/11/28, , 37, 13, 11, 
2022/11/29, , 14, 8, 11, 
2022/11/30, , 12, 3, 10, 
2022/12/1, , 10, 2, 8, 
2022/12/2, , 8, 1, 10, 
2022/12/3, , 29, 7, 11, 
2022/12/4, , 23, 6, 9, 
2022/12/5, , 19, 8, 10, 
