date, pm25, pm10, o3, no2, co
2019/10/2, 87, , 6, 10, 
2019/10/3, 101, , 5, 4, 
2019/10/4, 67, , 4, 3, 
2019/10/5, 41, , 8, 3, 
2019/10/6, 51, , 7, 4, 
2019/10/7, 46, , 7, 6, 
2019/10/8, 57, , 7, 6, 
2019/10/9, 73, , 5, 11, 
2019/10/10, 89, , 4, 13, 
2019/10/11, 109, , 10, 7, 
2019/10/12, 70, , 9, 10, 
2019/10/13, 84, , 7, 11, 
2019/10/14, 106, , 6, 14, 
2019/10/15, 114, , 6, 16, 
2019/10/16, 118, , 5, 18, 
2019/10/17, 124, , 5, 18, 
2019/10/18, 132, , 5, 18, 
2019/10/19, 135, , 7, 14, 
2019/10/20, 124, , 8, 14, 
2019/10/21, 126, , 6, 16, 
2019/10/22, 136, , 7, 16, 
2019/10/23, 140, , 5, 18, 
2019/10/24, 140, , 3, 20, 
2019/10/25, 135, , 2, 19, 
2019/10/26, 137, , 6, 15, 
2019/10/27, 136, , 7, 16, 
2019/10/28, 131, , 9, 15, 
2019/10/29, 146, , 5, 21, 
2019/10/30, 165, , 10, 12, 
2019/10/31, 178, , 3, 4, 
2019/11/1, 58, , 5, 6, 
2019/11/2, 44, , 5, 5, 
2019/11/3, 62, , 1, 7, 
2019/11/4, 84, , 10, 4, 
2019/11/5, 53, , 10, 5, 
2019/11/6, 49, , 7, 8, 
2019/11/7, 66, , 6, 9, 
2019/11/8, 81, , 2, 9, 
2019/11/9, 100, 25, 4, 9, 
2019/11/10, 83, 21, 5, 8, 
2019/11/11, 73, 38, , 14, 
2019/11/12, 113, 35, 7, 7, 
2019/11/13, 105, 34, 8, 9, 
2019/11/14, 105, 40, , 10, 
2019/11/15, 122, 43, 1, 10, 
2019/7/2, 80, , 15, 8, 
2019/7/3, 87, , 16, 7, 
2019/7/4, 89, , 18, 5, 
2019/7/5, 81, , 17, 5, 
2019/7/6, 81, , 18, 3, 
2019/7/7, 73, , 18, 5, 
2019/7/8, 77, , 18, 3, 
2019/7/9, 62, , 16, 6, 
2019/7/10, 78, , 10, 3, 
2019/7/11, 56, , 13, 2, 
2019/7/12, 53, , 15, 4, 
2019/7/13, 60, , 14, 5, 
2019/7/14, 58, , 11, 2, 
2019/7/15, 54, , 13, 3, 
2019/7/16, 52, , 11, 5, 
2019/7/17, 52, , 14, 4, 
2019/7/18, 52, , 13, 5, 
2019/7/19, 61, , 14, 7, 
2019/7/20, 69, , 16, 6, 
2019/7/21, 64, , 18, 6, 
