date, pm25, pm10
2022/10/2, 58, 12
2022/10/3, 47, 20
2022/10/4, 63, 20
2022/10/5, 65, 12
2022/10/6, 39, 20
2022/10/7, 64, 20
2022/10/8, 58, 10
2022/10/9, 38, 14
2022/10/10, 46, 5
2022/10/11, 18, 5
2022/10/12, 22, 10
2022/10/13, 38, 15
2022/10/14, 46, 8
2022/10/15, 26, 17
2022/10/16, 56, 22
2022/10/17, 66, 24
2022/10/18, 71, 8
2022/10/19, 29, 12
2022/10/20, 43, 12
2022/10/21, 44, 6
2022/10/22, 22, 8
2022/10/23, 30, 4
2022/10/24, 14, 4
2022/10/25, 16, 9
2022/10/26, 34, 16
2022/10/27, 54, 14
2022/10/28, 46, 4
2022/10/29, 15, 8
2022/10/30, 33, 18
2022/10/31, 60, 36
2022/11/1, 97, 30
2022/11/2, 86, 28
2022/11/3, 80, 20
2022/11/4, 61, 14
2022/11/5, 44, 8
2022/11/6, 26, 6
2022/11/7, 25, 6
2022/11/8, 23, 23
2022/11/9, 67, 13
2022/11/10, 43, 10
2022/11/11, 38, 5
2022/11/12, 22, 5
2022/11/13, 22, 1
2022/11/14, 5, 11
2022/11/15, 38, 6
2022/11/16, 24, 1
2022/11/17, 4, 4
2022/11/18, 15, 20
2022/11/19, 57, 20
2022/11/20, 65, 6
2022/11/21, 24, 11
2022/11/22, 35, 19
2022/11/23, 58, 6
2022/11/24, 22, 15
2022/11/25, 47, 35
2022/11/26, 93, 17
2022/11/27, 55, 21
2022/11/28, 61, 36
2022/11/29, 96, 48
2022/11/30, 123, 69
2022/12/1, 154, 52
2022/12/2, 131, 32
2022/12/3, 90, 46
2022/12/4, 117, 50
2022/12/5, 123, 108
2022/12/6, 196, 62
2022/12/7, 139, 40
2022/12/8, 101, 53
2022/12/9, 135, 68
2022/12/10, 159, 27
2022/12/11, 77, 27
2022/12/12, 76, 40
2022/12/13, 103, 10
2022/12/14, 34, 58
2022/12/15, 143, 60
2022/12/16, 145, 85
2022/12/17, 175, 109
2022/12/18, 207, 52
2022/12/19, 125, 41
2022/12/20, 105, 11
2022/12/21, 38, 24
2022/12/22, 71, 14
2022/12/23, 43, 16
2022/12/24, 55, 13
2022/12/25, 47, 13
2022/12/26, 48, 15
2022/12/27, 52, 29
2022/12/28, 80, 24
2022/12/29, 70, 54
2022/12/30, 130, 83
2022/12/31, 164, 
2022/7/2, 13, 4
2022/7/3, 17, 6
2022/7/4, 23, 8
2022/7/5, 29, 9
2022/7/6, 38, 7
2022/7/7, 26, 14
