date, pm25
2022/4/3, 114
2022/4/4, 77
2022/4/5, 62
2022/4/6, 66
2022/4/7, 65
2022/4/8, 70
2022/4/9, 101
2022/4/10, 87
2022/4/11, 106
2022/4/12, 120
2022/4/13, 188
2022/4/14, 166
2022/4/15, 131
2022/4/16, 115
2022/4/17, 112
2022/4/18, 143
2022/4/19, 153
2022/4/20, 84
2022/4/21, 51
2022/4/22, 56
2022/4/23, 71
2022/4/24, 70
2022/4/25, 85
2022/4/26, 73
2022/4/27, 91
2022/4/28, 107
2022/4/29, 92
2022/4/30, 78
2022/5/1, 74
2022/5/2, 82
2022/5/3, 144
2022/5/4, 107
2022/5/5, 61
2022/5/6, 59
2022/5/7, 59
2022/5/8, 66
2022/5/9, 82
2022/5/10, 87
2022/5/11, 96
2022/5/12, 115
2022/5/13, 99
2022/5/14, 73
2022/5/15, 159
2022/5/16, 110
2022/5/17, 103
2022/5/18, 105
2022/5/19, 83
2022/5/20, 75
2022/5/21, 71
2022/5/22, 82
2022/5/23, 184
2022/5/24, 114
2022/5/25, 85
2022/5/26, 68
2022/5/27, 109
2022/5/28, 214
2022/5/29, 132
2022/5/30, 98
2022/5/31, 106
2022/6/1, 93
2022/6/2, 82
2022/6/3, 73
2022/6/4, 77
2022/6/5, 75
2022/6/6, 84
2022/6/7, 92
2022/6/8, 90
2022/6/9, 84
2022/6/10, 65
2022/6/11, 76
2022/6/12, 99
2022/6/13, 135
2022/6/14, 123
2022/6/15, 82
2022/6/16, 84
2022/6/17, 71
2022/6/18, 66
2022/6/19, 74
2022/6/20, 70
2022/6/21, 74
2022/6/22, 73
2022/6/23, 80
2022/6/24, 85
2022/6/25, 90
2022/6/26, 83
2022/6/27, 105
2022/6/28, 91
2022/6/29, 93
2022/6/30, 92
2022/7/1, 93
2022/1/4, 87
2022/1/5, 151
2022/1/6, 172
2022/1/7, 148
2022/1/8, 106
2022/1/9, 165
2022/1/10, 156
2022/1/11, 144
2022/1/12, 109
2022/1/13, 97
2022/1/14, 124
2022/1/15, 88
2022/1/16, 86
2022/1/17, 58
2022/1/18, 110
2022/1/19, 97
2022/1/20, 111
2022/1/21, 130
2022/1/22, 97
2022/1/23, 117
2022/1/24, 168
2022/1/25, 119
2022/1/26, 114
2022/1/27, 119
2022/1/28, 91
2022/1/29, 98
2022/1/30, 131
2022/1/31, 158
2022/2/1, 142
2022/2/2, 125
2022/2/3, 117
2022/2/4, 130
2022/2/5, 92
2022/2/6, 96
2022/2/7, 93
2022/2/8, 123
2022/2/9, 105
2022/2/10, 109
2022/2/11, 78
2022/2/12, 78
2022/2/15, 141
2022/2/16, 139
2022/2/17, 112
2022/2/18, 127
2022/2/19, 132
2022/2/20, 98
2022/2/21, 96
2022/2/22, 91
2022/2/23, 92
2022/2/24, 102
2022/2/25, 94
2022/2/26, 144
2022/2/27, 112
2022/2/28, 80
2022/3/1, 104
2022/3/2, 89
2022/3/3, 83
2022/3/4, 79
2022/3/5, 64
2022/3/6, 96
2022/3/7, 92
2022/3/8, 60
2022/3/9, 101
2022/3/10, 115
2022/3/11, 78
2022/3/12, 91
2022/3/13, 97
2022/3/14, 131
2022/3/15, 107
2022/3/16, 99
2022/3/17, 104
2022/3/18, 74
2022/3/19, 78
2022/3/20, 82
2022/3/21, 110
2021/10/2, 202
2021/10/3, 181
2021/10/4, 160
2021/10/5, 124
2021/10/6, 129
2021/10/7, 123
2021/10/8, 142
2021/10/9, 155
2021/10/10, 113
2021/10/11, 104
2021/10/12, 124
2021/10/13, 135
2021/10/14, 136
2021/10/15, 150
2021/10/16, 149
2021/10/17, 131
2021/10/18, 139
2021/10/19, 154
2021/10/20, 150
2021/10/21, 154
2021/10/22, 180
2021/10/23, 145
2021/10/24, 118
2021/10/25, 129
2021/10/26, 120
2021/10/27, 148
2021/10/28, 161
2021/10/29, 163
2021/10/30, 158
2021/10/31, 153
2021/11/1, 129
2021/11/2, 125
2021/11/3, 163
2021/11/4, 137
2021/11/5, 128
2021/11/6, 177
2021/11/7, 218
2021/11/8, 194
2021/11/9, 193
2021/11/10, 236
2021/11/11, 174
2021/11/12, 140
2021/11/13, 140
2021/11/14, 186
2021/11/15, 206
2021/11/16, 198
2021/11/17, 122
2021/11/18, 130
2021/11/19, 164
2021/11/20, 198
2021/11/21, 210
2021/11/22, 157
2021/11/23, 153
2021/11/24, 146
2021/11/25, 132
2021/11/26, 118
2021/11/27, 165
2021/11/28, 183
2021/11/29, 209
2021/11/30, 169
2021/12/1, 117
2021/12/2, 76
2021/12/3, 81
2021/12/4, 108
2021/12/5, 197
2021/12/6, 142
2021/12/7, 159
2021/12/8, 156
2021/12/9, 148
2021/12/10, 130
2021/12/11, 112
2021/12/12, 132
2021/12/13, 174
2021/12/14, 193
2021/12/15, 162
2021/12/16, 161
2021/12/17, 169
2021/12/18, 118
2021/12/19, 86
2021/12/20, 91
2021/12/21, 113
2021/12/22, 85
2021/12/23, 110
2021/12/24, 129
2021/12/25, 106
2021/12/26, 106
2021/12/27, 124
2021/12/28, 135
2021/12/29, 121
2021/12/30, 112
2021/12/31, 138
2022/1/1, 121
2022/1/2, 102
2022/1/3, 98
2021/7/2, 72
2021/7/3, 82
2021/7/4, 84
2021/7/5, 106
2021/7/6, 86
2021/7/7, 99
