date, pm25
2022/5/29, 37
2022/5/30, 39
2022/5/31, 39
2022/6/1, 50
2022/6/2, 35
2022/6/3, 33
2022/6/4, 89
2022/6/5, 43
2022/6/6, 37
2022/6/7, 47
2022/6/8, 63
2022/6/9, 89
2022/6/10, 75
2022/6/11, 62
2022/6/18, 64
2022/6/19, 71
2022/6/20, 76
2022/6/21, 42
2022/6/22, 52
2022/6/23, 97
2022/6/24, 109
2022/6/25, 127
2022/6/26, 102
2022/6/27, 90
2022/6/28, 82
2022/6/29, 82
2022/6/30, 87
2022/7/1, 124
2022/1/11, 111
2022/1/20, 39
2022/1/21, 72
2022/1/22, 52
2022/1/23, 46
2022/1/24, 69
2022/1/25, 98
2022/1/26, 97
2022/1/27, 96
2022/1/28, 119
2022/1/29, 60
2022/1/30, 57
2022/1/31, 83
2022/2/1, 72
2022/2/2, 63
2022/2/3, 65
2022/2/4, 75
2022/2/5, 87
2022/2/6, 81
2022/2/7, 46
2022/2/8, 55
2022/2/9, 39
2022/2/10, 69
2022/2/11, 70
2022/2/12, 60
2022/2/13, 43
2022/2/14, 46
2022/2/15, 57
2022/2/16, 85
2022/2/17, 63
2022/2/18, 58
2022/2/19, 73
2022/2/20, 78
2022/2/21, 81
2022/2/22, 80
2022/2/23, 60
2022/2/24, 72
2022/2/25, 46
2022/2/26, 74
2022/2/27, 110
2022/2/28, 104
2022/3/1, 53
2022/3/2, 74
2022/3/3, 91
2022/3/4, 91
2022/3/5, 91
2022/3/6, 115
2022/3/7, 70
2022/3/8, 67
2022/3/9, 85
2022/3/10, 79
2022/3/11, 72
2022/3/12, 63
2022/3/13, 56
2022/3/14, 35
2022/3/15, 41
2022/3/16, 38
2022/3/17, 35
2022/3/18, 21
2022/3/19, 26
2022/3/20, 45
2022/3/21, 64
2022/3/22, 70
2022/3/23, 55
2022/3/24, 35
2022/3/25, 51
2022/3/26, 71
2022/3/27, 52
2022/3/28, 55
2022/3/29, 61
2022/3/30, 50
2022/3/31, 86
2022/4/1, 80
2021/10/2, 62
2021/10/3, 37
2021/10/4, 70
2021/10/5, 78
2021/10/6, 60
2021/10/7, 68
2021/10/8, 65
2021/10/9, 47
2021/10/10, 39
2021/10/11, 40
2021/10/12, 58
2021/10/13, 75
2021/10/14, 77
2021/10/16, 82
2021/10/17, 71
2021/10/18, 57
2021/10/19, 72
2021/10/20, 71
2021/10/21, 65
2021/10/22, 47
2021/10/23, 49
2021/10/24, 75
2021/10/25, 103
2021/10/26, 55
2021/10/27, 48
2021/10/28, 39
2021/10/29, 27
2021/10/30, 73
2021/10/31, 91
2021/11/1, 70
2021/11/2, 72
2021/11/3, 89
2021/11/4, 93
2021/11/5, 78
2021/11/6, 99
2021/11/7, 74
2021/11/8, 79
2021/11/9, 77
2021/11/10, 76
2021/11/11, 89
2021/11/12, 64
2021/11/13, 48
2021/11/14, 56
2021/11/15, 51
2021/11/16, 78
2021/11/17, 73
2021/11/18, 35
2021/11/19, 55
2021/11/20, 75
2021/11/21, 106
2021/11/22, 58
2021/11/23, 73
2021/11/24, 78
2021/11/25, 67
2021/11/26, 69
2021/11/27, 52
2021/11/28, 64
2021/11/29, 93
2021/11/30, 80
2021/12/1, 71
2021/12/2, 61
2021/12/3, 72
2021/12/4, 39
2021/12/5, 48
2021/12/6, 67
2021/12/7, 110
2021/12/8, 75
2021/12/9, 107
2021/12/10, 100
2021/12/11, 81
2021/12/12, 99
2021/12/13, 79
2021/12/14, 35
2021/12/15, 45
2021/12/16, 43
2021/12/17, 67
2021/12/18, 92
2021/12/19, 63
2021/12/20, 87
2021/12/21, 50
2021/12/22, 61
2021/12/23, 115
2021/12/24, 50
2021/12/25, 40
2021/12/26, 50
2021/12/27, 47
2021/12/28, 92
2021/12/29, 122
2021/12/30, 77
2021/12/31, 87
2022/1/1, 137
2022/1/2, 145
2021/7/2, 64
2021/7/3, 80
2021/7/4, 88
2021/7/5, 58
2021/7/6, 53
2021/7/7, 58
2021/7/8, 73
2021/7/9, 68
2021/7/10, 83
2021/7/11, 66
2021/7/12, 68
2021/7/13, 66
2021/7/14, 63
2021/7/15, 59
2021/7/16, 33
2021/7/17, 33
2021/7/18, 66
2021/7/19, 61
2021/7/20, 50
2021/7/21, 39
2021/7/22, 46
2021/7/23, 49
2021/7/24, 63
2021/7/25, 61
2021/7/26, 62
2021/7/27, 61
2021/7/28, 52
2021/7/29, 57
2021/7/30, 94
2021/7/31, 68
2021/8/1, 49
2021/8/2, 42
2021/8/3, 37
2021/8/4, 51
2021/8/5, 51
2021/8/6, 59
2021/8/7, 49
2021/8/8, 55
2021/8/9, 53
2021/8/10, 47
2021/8/11, 69
2021/8/12, 56
2021/8/13, 48
2021/8/14, 56
2021/8/15, 67
2021/8/16, 67
2021/8/17, 75
2021/8/18, 65
2021/8/19, 69
2021/8/20, 66
2021/8/21, 57
2021/8/22, 58
2021/8/23, 56
2021/8/24, 54
2021/8/25, 58
2021/8/26, 57
2021/8/27, 51
2021/8/28, 61
2021/8/29, 59
2021/8/30, 90
2021/8/31, 60
2021/9/1, 66
2021/9/2, 62
2021/9/3, 80
2021/9/4, 87
2021/9/5, 128
2021/9/6, 133
2021/9/7, 96
2021/9/8, 87
2021/9/9, 97
2021/9/10, 112
2021/9/11, 56
2021/9/12, 59
2021/9/13, 72
2021/9/14, 70
2021/9/15, 74
2021/9/16, 69
2021/9/17, 92
2021/9/18, 90
2021/9/19, 134
2021/9/20, 81
2021/9/21, 63
2021/9/22, 67
2021/9/23, 74
2021/9/24, 86
2021/9/25, 136
2021/9/26, 97
2021/9/27, 98
2021/9/28, 26
2021/9/29, 61
2021/9/30, 52
2021/10/1, 52
2021/4/2, 73
2021/4/3, 75
2021/4/4, 102
2021/4/5, 58
2021/4/6, 64
2021/4/7, 69
2021/4/8, 72
2021/4/9, 78
2021/4/10, 77
2021/4/11, 65
2021/4/12, 69
2021/4/13, 54
2021/4/14, 59
2021/4/15, 62
2021/4/16, 61
2021/4/17, 61
2021/4/18, 50
2021/4/19, 45
2021/4/20, 53
2021/4/21, 62
2021/4/22, 59
2021/4/23, 61
2021/4/24, 56
2021/4/25, 123
2021/4/26, 123
2021/4/27, 90
2021/4/28, 84
2021/4/29, 94
2021/4/30, 62
2021/5/1, 54
2021/5/2, 52
2021/5/3, 50
2021/5/4, 45
2021/5/5, 44
2021/5/6, 41
2021/5/7, 47
2021/5/8, 37
2021/5/9, 38
2021/5/10, 32
2021/5/11, 42
2021/5/12, 57
2021/5/13, 46
2021/5/18, 47
2021/5/19, 56
2021/5/20, 77
2021/5/21, 52
2021/5/22, 59
2021/5/23, 49
2021/5/24, 34
2021/5/25, 43
2021/5/26, 58
2021/5/27, 66
2021/5/28, 49
2021/5/29, 53
2021/5/30, 68
2021/5/31, 58
2021/6/1, 72
2021/6/2, 60
2021/6/3, 70
2021/6/4, 68
2021/6/5, 73
2021/6/6, 57
2021/6/7, 57
2021/6/8, 78
2021/6/9, 61
2021/6/10, 48
2021/6/11, 96
2021/6/12, 70
2021/6/13, 65
2021/6/14, 59
2021/6/15, 58
2021/6/16, 53
2021/6/17, 55
2021/6/18, 37
2021/6/19, 39
2021/6/20, 49
2021/6/21, 62
2021/6/22, 39
2021/6/23, 33
2021/6/24, 52
2021/6/25, 44
2021/6/26, 57
2021/6/27, 49
2021/6/28, 44
2021/6/29, 55
2021/6/30, 45
2021/7/1, 46
2021/1/9, 89
2021/1/10, 125
2021/1/11, 132
2021/1/12, 53
2021/1/13, 83
2021/1/14, 85
2021/1/15, 101
2021/1/16, 99
2021/1/17, 70
2021/1/18, 95
2021/1/19, 105
2021/1/20, 72
2021/1/21, 81
2021/1/22, 59
2021/1/23, 44
2021/1/24, 43
2021/1/25, 75
2021/1/26, 95
2021/1/27, 110
2021/1/28, 119
2021/1/29, 111
2021/1/30, 122
2021/1/31, 135
2021/2/1, 72
2021/2/2, 65
2021/2/3, 71
2021/2/4, 83
2021/2/5, 69
2021/2/6, 77
2021/2/7, 66
2021/2/8, 68
2021/2/9, 72
2021/2/10, 106
2021/2/11, 80
2021/2/12, 78
2021/2/13, 78
2021/2/14, 80
2021/2/15, 75
2021/2/16, 86
2021/2/17, 90
2021/2/18, 74
2021/2/19, 65
2021/2/20, 26
2021/2/21, 59
2021/2/22, 53
2021/2/23, 64
2021/2/24, 62
2021/2/25, 41
2021/2/26, 39
2021/2/27, 57
2021/3/3, 58
2021/3/4, 72
2021/3/5, 60
2021/3/6, 70
2021/3/7, 33
2021/3/8, 41
2021/3/9, 56
2021/3/10, 70
2021/3/11, 40
2021/3/12, 61
2021/3/13, 146
2021/3/14, 53
2021/3/15, 73
2021/3/16, 79
2021/3/17, 102
2021/3/18, 86
2021/3/19, 122
2021/3/20, 87
2021/3/21, 58
2021/3/22, 58
2021/3/23, 51
2021/3/24, 57
2021/3/25, 87
2021/3/26, 98
2021/3/27, 66
2021/3/28, 48
2021/3/29, 36
2021/3/30, 52
2021/3/31, 46
2021/4/1, 63
2020/10/3, 48
2020/10/4, 56
2020/10/5, 54
2020/10/6, 73
2020/10/7, 41
2020/10/8, 70
2020/10/9, 50
2020/10/10, 43
2020/10/11, 44
2020/10/12, 36
2020/10/13, 42
2020/10/14, 43
2020/10/15, 45
2020/10/16, 50
2020/10/17, 51
2020/10/18, 58
2020/10/19, 72
2020/10/20, 82
2020/10/21, 67
2020/10/22, 70
2020/10/23, 73
2020/10/24, 62
2020/10/25, 54
2020/10/26, 69
