date, pm25, pm10
2022/9/6, 63, 
2022/9/7, 57, 
2022/9/8, 41, 
2022/9/9, 61, 
2022/9/10, 56, 
2022/9/11, 46, 
2022/9/12, 45, 
2022/9/13, 22, 
2022/9/14, 28, 
2022/9/15, 25, 
2022/9/16, 36, 
2022/9/17, 34, 
2022/9/18, 53, 
2022/9/19, 50, 
2022/9/20, 44, 
2022/9/21, 51, 
2022/9/22, 47, 
2022/9/23, 49, 
2022/9/24, 43, 
2022/9/25, 44, 
2022/9/26, 52, 
2022/9/27, 54, 
2022/9/28, 42, 
2022/9/29, 55, 
2022/9/30, 54, 
2022/10/1, 61, 
2022/4/2, 161, 
2022/4/3, 161, 
2022/4/4, 132, 
2022/4/5, 151, 
2022/4/6, 146, 
2022/4/7, 150, 
2022/4/8, 156, 
2022/4/9, 156, 
2022/4/10, 158, 
2022/4/11, 148, 
2022/4/12, 133, 
2022/4/13, 135, 
2022/4/14, 142, 
2022/4/15, 107, 
2022/4/16, 103, 
2022/4/17, 124, 
2022/4/18, 134, 
2022/4/19, 168, 
2022/4/20, 176, 
2022/4/21, 133, 
2022/4/22, 109, 
2022/4/23, 103, 
2022/4/24, 111, 
2022/4/25, 149, 
2022/4/26, 173, 
2022/4/27, 172, 
2022/4/28, 158, 
2022/4/29, 164, 
2022/4/30, 149, 
2022/5/1, 105, 
2022/5/2, 88, 
2022/5/3, 112, 
2022/5/4, 87, 
2022/5/7, 62, 
2022/5/8, 66, 
2022/5/9, 73, 
2022/5/10, 81, 
2022/5/11, 95, 
2022/5/12, 68, 
2022/5/13, 80, 
2022/5/14, 86, 
2022/5/15, 104, 
2022/5/16, 131, 
2022/5/17, 112, 
2022/5/18, 99, 
2022/5/19, 97, 
2022/5/20, 101, 
2022/5/21, 88, 
2022/5/22, 83, 
2022/5/23, 65, 
2022/5/24, 65, 
2022/5/25, 85, 
2022/5/26, 96, 
2022/5/27, 63, 
2022/5/28, 72, 
2022/5/29, 84, 
2022/5/30, 104, 
2022/5/31, 110, 
2022/6/1, 94, 
2022/6/2, 105, 
2022/6/3, 106, 
2022/6/4, 103, 
2022/6/5, 113, 
2022/6/6, 119, 
2022/6/7, 140, 
2022/6/8, 124, 
2022/6/9, 102, 
2022/6/10, 106, 
2022/6/11, 122, 
2022/6/12, 119, 
2022/6/13, 102, 
2022/6/14, 111, 
2022/6/15, 107, 
2022/6/16, 104, 
2022/6/17, 103, 
2022/6/18, 59, 
2022/6/19, 65, 
2022/6/20, 56, 
2022/6/21, 77, 
2022/6/22, 69, 
2022/6/23, 67, 
2022/6/24, 48, 
2022/6/25, 63, 
2022/6/26, 58, 
2022/6/27, 45, 
2022/6/28, 48, 
2022/6/29, 46, 
2022/6/30, 34, 
2022/7/1, 39, 
2022/1/4, 153, 56
2022/1/5, 149, 53
2022/1/6, 156, 61
2022/1/7, 128, 
2022/1/8, 121, 
2022/1/9, 135, 
2022/1/10, 134, 
2022/1/11, 127, 33
2022/1/12, 132, 39
2022/1/13, 138, 
2022/1/14, 97, 
2022/1/15, 143, 42
2022/1/16, 146, 44
2022/1/17, 139, 
2022/1/18, 149, 
2022/1/19, 143, 
2022/1/20, 122, 
2022/1/21, 140, 
2022/1/22, 129, 
2022/1/23, 150, 
2022/1/24, 153, 
2022/1/25, 154, 
2022/1/26, 131, 
2022/1/27, 142, 30
2022/1/28, 145, 36
2022/1/29, 138, 40
2022/1/30, 149, 38
2022/1/31, 148, 40
2022/2/1, 153, 41
2022/2/2, 155, 44
2022/2/3, 164, 45
2022/2/4, 178, 17
2022/2/5, 73, 21
2022/2/6, 94, 24
2022/2/7, 110, 26
2022/2/8, 114, 16
2022/2/9, 117, 23
2022/2/10, 120, 26
2022/2/11, 101, 20
2022/2/12, 102, 21
2022/2/13, 99, 26
2022/2/14, 139, 
2022/2/15, 143, 
2022/2/16, 136, 
2022/2/17, 129, 
2022/2/18, 132, 
2022/2/19, 140, 
2022/2/20, 135, 
2022/2/21, 119, 
2022/2/22, 96, 
2022/2/23, 143, 
2022/2/24, 149, 
2022/2/25, 144, 
2022/2/26, 128, 
2022/2/27, 90, 
2022/2/28, 105, 
2022/3/1, 122, 
2022/3/2, 139, 
2022/3/3, 143, 
2022/3/4, 130, 
2022/3/5, 119, 
2022/3/6, 124, 
2022/3/7, 133, 
2022/3/8, 141, 
2022/3/9, 123, 
2022/3/10, 122, 
2022/3/11, 122, 
2022/3/12, 128, 
2022/3/13, 128, 
2022/3/14, 127, 
2022/3/15, 127, 
2022/3/16, 133, 
2022/3/17, 139, 
2022/3/18, 139, 
2022/3/19, 148, 
2022/3/20, 142, 
2022/3/21, 147, 
2022/3/22, 151, 
2022/3/23, 148, 
2022/3/24, 156, 
2022/3/25, 136, 
2022/3/26, 125, 
2022/3/29, 175, 
2022/3/30, 173, 
2022/3/31, 167, 
2022/4/1, 161, 
2021/10/2, 46, 16
2021/10/3, 36, 13
2021/10/4, 38, 
2021/10/5, 60, 
2021/10/6, 46, 
2021/10/7, 53, 
2021/10/8, 49, 
2021/10/9, 64, 
2021/10/10, 77, 
2021/10/11, 77, 
2021/10/12, 80, 
2021/10/13, 80, 
2021/10/14, 68, 
2021/10/15, 62, 
2021/10/16, 54, 
2021/10/17, 44, 
2021/10/18, 33, 
2021/10/19, 32, 
2021/10/20, 14, 
2021/10/21, 24, 
2021/10/22, 27, 
2021/10/23, 51, 
2021/10/24, 95, 
2021/10/25, 129, 
2021/10/26, 97, 
2021/10/27, 86, 
2021/10/28, 80, 
2021/10/29, 87, 
2021/10/30, 80, 26
2021/10/31, 85, 30
2021/11/1, 88, 31
2021/11/2, 99, 37
2021/11/3, 109, 33
2021/11/4, 103, 32
2021/11/5, 97, 30
2021/11/6, 98, 29
2021/11/7, 88, 25
2021/11/8, 79, 28
2021/11/9, 74, 32
2021/11/10, 76, 28
2021/11/11, 71, 30
2021/11/12, 77, 36
2021/11/13, 84, 39
2021/11/14, 94, 35
2021/11/15, 84, 44
2021/11/16, 88, 33
2021/11/17, 90, 38
2021/11/18, 93, 48
2021/11/19, 129, 48
2021/11/20, 128, 48
2021/11/21, 128, 34
2021/11/22, 95, 30
2021/11/23, 94, 45
2021/11/24, 140, 50
2021/11/25, 158, 51
2021/11/26, 159, 48
2021/11/27, 156, 52
2021/11/28, 152, 49
2021/11/29, 142, 47
2021/11/30, 132, 45
2021/12/1, 129, 45
2021/12/2, 126, 40
2021/12/3, 123, 36
2021/12/4, 114, 35
2021/12/5, 117, 26
2021/12/6, 84, 36
2021/12/7, 105, 35
2021/12/8, 100, 46
2021/12/9, 119, 42
2021/12/10, 120, 46
2021/12/11, 118, 48
2021/12/12, 130, 51
2021/12/13, 132, 58
2021/12/14, 138, 55
2021/12/15, 140, 58
2021/12/16, 136, 59
2021/12/17, 139, 60
2021/12/18, 147, 65
2021/12/19, 157, 56
2021/12/20, 135, 60
2021/12/21, 140, 61
2021/12/22, 139, 66
2021/12/23, 143, 63
2021/12/24, 141, 62
2021/12/25, 145, 61
2021/12/26, 155, 59
2021/12/27, 151, 62
2021/12/28, 154, 65
2021/12/29, 168, 39
2021/12/30, 119, 49
2021/12/31, 135, 67
2022/1/1, 166, 59
2022/1/2, 149, 57
2022/1/3, 146, 59
2021/7/2, 82, 20
2021/7/3, 58, 18
2021/7/4, 45, 24
2021/7/5, 53, 19
2021/7/6, 54, 15
2021/7/7, 48, 24
2021/7/8, 65, 14
2021/7/9, 42, 13
2021/7/10, 31, 13
2021/7/11, 35, 12
2021/7/12, 33, 16
2021/7/13, 39, 11
2021/7/14, 37, 11
2021/7/15, 28, 13
2021/7/16, 30, 
2021/7/17, 43, 
2021/7/18, 56, 
2021/7/19, 39, 
2021/7/20, 50, 
2021/7/21, 51, 
2021/7/22, 36, 
2021/7/23, 36, 7
2021/7/24, 34, 11
2021/7/25, 23, 13
2021/7/26, 29, 14
2021/7/27, 39, 15
2021/7/28, 35, 13
2021/7/29, 28, 12
2021/7/30, 30, 13
2021/7/31, 25, 9
2021/8/1, 9, 12
2021/8/2, 21, 12
2021/8/3, 26, 15
2021/8/4, 32, 19
2021/8/5, 41, 26
2021/8/6, 41, 32
2021/8/7, 60, 23
2021/8/8, 51, 22
2021/8/9, 33, 16
2021/8/10, 40, 19
2021/8/11, 48, 20
2021/8/12, 49, 19
2021/8/13, 52, 23
2021/8/14, 53, 21
2021/8/15, 32, 11
2021/8/16, 28, 13
2021/8/17, 45, 16
2021/8/18, 57, 14
2021/8/19, 51, 9
2021/8/20, 27, 11
2021/8/21, 31, 11
2021/8/22, 35, 11
2021/8/23, 41, 13
2021/8/24, 49, 14
2021/8/25, 50, 11
2021/8/26, 40, 11
2021/8/27, 37, 17
2021/8/28, 55, 15
2021/8/29, 53, 10
2021/8/30, 40, 11
2021/8/31, 45, 9
2021/9/1, 35, 7
2021/9/2, 28, 11
2021/9/3, 44, 13
2021/9/4, 55, 11
2021/9/5, 51, 11
2021/9/6, 59, 7
2021/9/7, 37, 8
2021/9/8, 36, 9
2021/9/9, 28, 12
2021/9/11, 56, 7
2021/9/12, 32, 7
2021/9/16, 29, 7
2021/9/17, 48, 13
2021/9/24, 32, 7
2021/9/25, 32, 9
2021/9/26, 44, 10
2021/9/27, 53, 9
2021/9/28, 54, 8
2021/9/29, 41, 8
2021/9/30, 41, 7
2021/10/1, 43, 13
2021/4/2, 132, 92
2021/4/3, 138, 172
2021/4/4, 160, 142
2021/4/5, 205, 174
2021/4/6, 264, 189
2021/4/7, 274, 145
2021/4/8, 259, 99
2021/4/9, 170, 84
2021/4/10, 120, 79
2021/4/11, 112, 106
2021/4/12, 156, 175
2021/4/13, 188, 146
2021/4/14, 182, 129
2021/4/15, 183, 117
2021/4/16, 172, 75
2021/4/17, 126, 69
2021/4/18, 130, 56
2021/4/19, 85, 72
2021/4/20, 98, 95
2021/4/21, 139, 78
2021/4/22, 152, 37
2021/4/23, 73, 41
2021/4/24, 60, 59
2021/4/25, 107, 62
2021/4/26, 115, 75
2021/4/27, 142, 82
2021/4/28, 157, 92
2021/4/29, 163, 66
2021/4/30, 140, 41
2021/5/1, 97, 41
2021/5/2, 99, 44
2021/5/3, 111, 52
2021/5/4, 125, 45
2021/5/5, 104, 31
