date, pm25, o3, no2, so2
2023/4/2, 29, 29, 1, 
2023/4/3, 44, 31, 1, 
2023/4/4, 55, 26, 1, 
2023/4/5, 61, 34, 2, 
2023/4/6, 35, 27, 2, 
2023/4/7, 10, 27, 2, 
2023/4/8, 13, 36, 2, 
2023/4/9, 20, 35, 1, 
2023/4/10, 34, 10, 4, 
2023/4/11, 20, , , 
2023/1/3, 51, 29, 4, 
2023/1/4, 33, 24, 11, 
2023/1/5, 17, 29, 14, 
2023/1/6, 26, 38, 4, 
2023/1/7, 26, 28, 4, 
2023/1/8, 21, 32, 6, 
2023/1/9, 26, 34, 7, 
2023/1/10, 30, 35, 3, 
2023/1/11, 38, 30, 2, 
2023/1/12, 37, 30, 2, 
2023/1/13, 18, 29, 6, 
2023/1/14, 13, 33, 5, 1
2023/1/15, 25, 34, 1, 
2023/1/16, 24, 31, 1, 
2023/1/17, 27, 27, 3, 
2023/1/18, 33, 33, 2, 
2023/1/19, 34, 24, 5, 
2023/1/20, 14, 28, 6, 
2023/1/21, 15, 21, 2, 1
2023/1/22, 21, 29, 2, 
2023/1/23, 19, 28, 4, 1
2023/1/24, 20, 20, 3, 
2023/1/25, 23, 23, 4, 
2023/1/26, 22, 26, 11, 
2023/1/27, 33, 32, 4, 
2023/1/28, 21, 21, 3, 
2023/1/29, 24, 14, 2, 
2023/1/30, 25, 16, 2, 
2023/1/31, 17, 17, 2, 
2023/2/1, 25, 19, 2, 
2023/2/2, 29, 16, 4, 
2023/2/3, 40, 26, 7, 
2023/2/4, 41, 35, 5, 
2023/2/5, 68, 32, 3, 
2023/2/7, 22, 27, 2, 
2023/2/8, 21, 22, 4, 
2023/2/9, 9, 30, 4, 
2023/2/10, 17, 24, 1, 
2023/2/11, 11, 27, 3, 
2023/2/12, 18, 37, 2, 
2023/2/13, 34, 34, 3, 
2023/2/14, 16, 37, 1, 
2023/2/15, 17, 30, 2, 2
2023/2/16, 41, 28, 1, 
2023/2/17, 16, 32, 2, 
2023/2/18, 8, 33, 3, 
2023/2/19, 18, 38, 2, 
2023/2/20, 18, 32, 2, 
2023/2/21, 22, 31, 2, 
2023/2/22, 32, 34, 1, 
2023/2/23, 26, 24, 2, 
2023/2/24, 26, 20, 2, 
2023/2/25, 13, 11, 3, 
2023/2/26, 39, 22, 1, 
2023/2/27, 54, 34, 1, 
2023/2/28, 118, 43, 3, 
2023/3/4, 26, 42, 2, 
2023/3/5, 33, 43, 1, 1
2023/3/6, 42, 38, 3, 
2023/3/7, 40, 20, 3, 
2023/3/8, 60, 15, 2, 
2023/3/9, 37, 20, 2, 
2023/3/10, 53, 25, 1, 5
2023/3/11, 18, 29, 1, 
2023/3/12, 46, 28, 1, 
2023/3/13, 19, 34, 1, 
2023/3/14, 9, 37, 2, 
2023/3/15, 21, 42, 2, 
2023/3/16, 37, 33, 2, 
2023/3/17, 28, 35, 1, 
2023/3/18, 3, 36, 2, 
2023/3/19, 8, 38, 2, 
2023/3/20, 7, 35, 2, 
2023/3/21, 18, 33, 2, 
2023/3/22, 20, 28, 1, 
2023/3/23, 29, 29, 1, 
2023/3/24, 37, 28, 2, 
2023/3/25, 35, 41, 2, 
2023/3/26, 30, 48, 2, 2
2023/3/27, 34, 36, 2, 
2023/3/28, 19, 39, 3, 
2023/3/29, 23, 39, 3, 5
2023/3/30, 51, 28, 2, 
2023/3/31, 38, 39, 1, 
2023/4/1, 38, 40, 3, 
2022/10/2, 34, 42, 3, 
2022/10/3, 51, 43, 6, 
2022/10/4, 37, 42, 5, 
2022/10/5, 35, 49, 6, 
2022/10/6, 45, 65, 7, 
2022/10/7, 41, 40, 8, 
2022/10/8, 34, 38, 3, 
2022/10/9, 59, 42, 3, 2
2022/10/10, 51, 48, 4, 2
2022/10/11, 52, 44, 4, 1
2022/10/12, 33, 40, 3, 
2022/10/13, 33, 38, 3, 
2022/10/14, 19, 44, 6, 1
2022/10/15, 28, 41, 1, 
2022/10/16, 33, 27, 3, 
2022/10/17, 22, 32, 3, 
2022/10/18, 17, 32, 3, 
2022/10/19, 10, 31, 6, 
2022/10/20, 19, 46, 4, 
2022/10/21, 17, 44, 4, 
2022/10/22, 17, 36, 1, 
2022/10/23, 16, 31, 1, 
2022/10/24, 14, 23, 2, 
2022/10/25, 16, 29, 4, 
2022/10/26, 16, 34, 6, 
2022/10/27, 17, 38, 5, 2
2022/10/28, 29, 22, 3, 
2022/10/29, 27, 25, 2, 
2022/10/30, 32, 41, 5, 
2022/10/31, 45, 40, 8, 
2022/11/1, 39, 40, 5, 1
2022/11/2, 42, 33, 3, 2
2022/11/3, 50, 23, 2, 1
2022/11/4, 49, 18, 1, 
2022/11/5, 25, 24, 3, 
2022/11/6, 15, 27, 2, 
2022/11/7, 23, 12, 2, 
2022/11/8, 33, 23, 3, 
2022/11/9, 51, 27, 2, 4
2022/11/10, 50, 30, 3, 1
2022/11/11, 55, 19, 2, 1
2022/11/12, 31, 27, 2, 
2022/11/13, 11, 27, 3, 
2022/11/14, 20, 18, 3, 
2022/11/15, 20, 14, 3, 
2022/11/16, 18, 25, 5, 
2022/11/17, 23, 29, 8, 
2022/11/18, 20, 22, 5, 
2022/11/19, 22, 21, 4, 
2022/11/20, 12, 26, 6, 
2022/11/21, 43, 26, 3, 2
2022/11/23, 32, 20, 4, 2
2022/11/24, 48, 15, 2, 
2022/11/25, 36, , 1, 
2022/11/26, 14, , 1, 
2022/11/27, 14, , 3, 
2022/11/28, 12, 29, 4, 
2022/11/29, 19, 27, 3, 
2022/11/30, 34, 22, 3, 
2022/12/1, 8, 22, 4, 1
2022/12/2, 16, 20, 2, 
2022/12/3, 28, 19, 2, 
2022/12/4, 13, 18, 2, 
2022/12/5, 18, 19, 2, 
2022/12/6, 38, 20, 2, 
2022/12/7, 29, 22, 2, 
2022/12/8, 40, 18, 2, 
2022/12/9, 45, 8, 4, 
2022/12/10, 46, 15, 2, 
2022/12/11, 33, 19, 2, 
2022/12/12, 21, 13, 2, 
2022/12/13, 23, 19, 3, 
2022/12/14, 26, 22, 6, 
2022/12/15, 14, 26, 11, 
2022/12/16, 15, 22, 7, 
2022/12/17, 12, 30, 7, 
2022/12/18, 16, 31, 3, 
2022/12/19, 29, 23, 2, 
2022/12/20, 12, 25, 3, 
2022/12/21, 17, 21, 4, 
2022/12/22, 32, 24, 2, 
2022/12/23, 35, 26, 1, 
2022/12/24, 7, 28, 2, 
2022/12/25, 17, 10, 3, 
2022/12/26, 27, , 3, 
2022/12/27, 16, 20, 3, 
2022/12/28, 21, 33, 2, 1
2022/12/29, 27, 26, 2, 
2022/12/30, 28, 15, 8, 
2022/12/31, 27, 24, 2, 
2023/1/1, 30, 26, 2, 
2023/1/2, 38, 12, 1, 
2022/7/2, 21, 35, 1, 
2022/7/3, 33, 27, 1, 
2022/7/4, 35, 30, 1, 
2022/7/5, 26, 29, 1, 
2022/7/6, 35, 30, 1, 
2022/7/7, 34, 31, 1, 
2022/7/8, 24, 31, 1, 
2022/7/9, 29, 57, 2, 
2022/7/10, 28, 44, 1, 
2022/7/11, 25, 42, 8, 
2022/7/12, 37, 43, 11, 
2022/7/13, 30, 49, 12, 1
2022/7/14, 39, 45, 13, 1
2022/7/15, 27, 43, 14, 
2022/7/16, 25, 40, 10, 
2022/7/17, 32, 33, 8, 
2022/7/18, 81, 34, 7, 
2022/7/19, 76, 35, 7, 
2022/7/20, 31, 37, 7, 
2022/7/21, 41, 26, 5, 
2022/7/22, 39, 30, 2, 
2022/7/23, 49, 31, 1, 
2022/7/24, 38, 29, , 
2022/7/25, 31, 32, 1, 
2022/7/26, 22, 31, 1, 
2022/7/27, 15, 32, 1, 
2022/7/28, 20, 33, 1, 
2022/7/29, 22, 31, 1, 
2022/7/30, 22, 30, 1, 
2022/7/31, 34, 29, , 
2022/8/1, 44, 33, 2, 1
2022/8/2, 28, 31, 1, 
2022/8/3, 26, 29, 1, 
2022/8/4, 30, 30, 1, 
2022/8/5, 46, 33, 2, 1
2022/8/6, 54, 32, 1, 2
2022/8/7, 35, 29, 1, 
2022/8/8, 29, 33, 2, 
2022/8/9, 22, 32, 5, 
2022/8/10, 24, 33, 8, 
2022/8/11, 23, 56, 9, 
2022/8/12, 31, 41, 6, 
2022/8/13, 30, 39, 4, 
2022/8/14, 31, 33, 2, 
2022/8/15, 23, 29, 3, 
2022/8/16, 38, 33, 4, 
2022/8/17, 33, 55, 4, 
2022/8/18, 29, 34, 7, 
2022/8/19, 30, 50, 5, 
2022/8/20, 28, 26, 2, 
2022/8/21, 26, 21, 2, 
2022/8/22, 23, 21, 2, 
2022/8/23, 10, 20, 2, 
2022/8/24, 15, 22, 2, 
2022/8/25, 15, 29, 3, 
2022/8/26, 16, 28, 3, 
2022/8/27, 25, 41, 2, 
2022/8/28, 38, 25, 1, 
2022/8/29, 16, 26, 1, 1
2022/8/30, 16, 23, 2, 
2022/8/31, 21, 28, 2, 
2022/9/1, 21, 28, 6, 
2022/9/2, 21, 28, 4, 
2022/9/3, 25, 41, 3, 
2022/9/4, 36, 39, 1, 
2022/9/5, 24, 42, 1, 3
2022/9/6, 24, 33, 1, 
2022/9/7, 27, 43, 1, 
2022/9/8, 37, 34, 2, 
2022/9/9, 37, 39, 3, 
2022/9/10, 36, 44, 2, 2
2022/9/11, 46, 34, 2, 
2022/9/12, 28, 41, 4, 
2022/9/13, 30, 41, 3, 3
2022/9/14, 37, 43, 4, 3
2022/9/15, 38, 41, 4, 1
2022/9/16, 37, 38, 3, 2
2022/9/17, 43, 28, 1, 
2022/9/18, 29, 37, 1, 
2022/9/19, 32, 32, 2, 
2022/9/20, 25, 33, 3, 1
2022/9/21, 25, 40, 4, 1
2022/9/22, 34, 45, 5, 
2022/9/23, 31, 46, 4, 1
2022/9/24, 58, 41, 2, 
2022/9/25, 39, 35, 2, 
2022/9/26, 29, 38, 6, 
2022/9/27, 17, 42, 3, 
2022/9/28, 26, 46, 4, 
2022/9/29, 25, 43, 4, 
2022/9/30, 41, 37, 4, 
2022/10/1, 34, 40, 4, 
2022/4/2, 24, 45, 3, 2
2022/4/3, 43, 45, 1, 1
2022/4/4, 48, 34, 2, 
2022/4/5, 45, 41, 1, 
2022/4/6, 33, 41, 1, 
2022/4/7, 28, 37, 2, 
2022/4/8, 17, 39, 4, 
2022/4/9, 27, 48, 2, 
2022/4/10, 17, 38, 1, 
2022/4/11, 39, 35, 1, 
2022/4/12, 51, 32, 1, 
2022/4/13, 49, 37, 1, 
2022/4/14, 37, 42, 2, 
2022/4/15, 25, 27, 1, 
2022/4/16, 33, 22, 1, 
2022/4/17, 42, 40, 3, 
2022/4/18, 45, 30, 2, 
2022/4/19, 21, 39, 2, 
2022/4/20, 20, 33, 1, 
2022/4/21, 37, 29, 1, 
2022/4/22, 47, 36, , 
2022/4/23, 33, 36, , 
2022/4/24, 35, 28, , 
2022/4/25, 38, 27, 1, 
2022/4/26, 11, 36, 2, 
2022/5/6, 23, 42, 4, 
2022/5/7, 18, 27, 1, 1
2022/5/8, 50, 32, 1, 
2022/5/9, 64, 38, 1, 
2022/5/10, 62, 28, 1, 
2022/5/11, 47, 31, 1, 
2022/5/12, 41, 37, 2, 
2022/5/13, 42, 40, 2, 
2022/5/14, 33, 39, 1, 
2022/5/15, 33, 39, 1, 
2022/5/16, 34, 49, 2, 
2022/5/17, 27, 45, 2, 
2022/5/18, 42, 42, 1, 
2022/5/19, 30, 41, 1, 
2022/5/20, 35, 44, , 
2022/5/21, 74, 38, 1, 
2022/5/22, 61, 20, 1, 
2022/5/23, 16, 35, 1, 
2022/5/24, 23, 40, 1, 1
2022/5/25, 32, 35, 2, 
2022/5/26, 11, 57, 4, 
2022/5/27, 20, 58, 7, 
2022/5/28, 20, 61, , 1
2022/5/29, 29, 35, , 3
2022/5/30, 45, 27, , 2
2022/5/31, 39, 28, , 
2022/6/1, 32, 21, 1, 1
2022/6/2, 31, 38, 2, 
2022/6/3, 14, 34, 2, 
2022/6/4, 24, 38, 1, 3
2022/6/5, 44, 46, 1, 
2022/6/6, 33, 37, 1, 
2022/6/7, 32, 37, 1, 
2022/6/8, 31, 41, 2, 2
2022/6/9, 42, 44, 2, 2
2022/6/10, 52, 40, 2, 
2022/6/11, 50, 37, 1, 
2022/6/12, 36, 31, 1, 
2022/6/13, 50, 28, 1, 
2022/6/14, 89, 27, 1, 
2022/6/15, 99, 21, 1, 1
2022/6/16, 62, 22, 1, 1
2022/6/17, 91, 30, 3, 
2022/6/18, 79, 36, 3, 
2022/6/19, 54, 35, 2, 
2022/6/20, 49, 40, 2, 
2022/6/21, 51, 45, 3, 
2022/6/22, 50, 38, 2, 3
2022/6/23, 47, 38, 3, 
2022/6/24, 46, 47, 2, 1
2022/6/25, 47, 39, 2, 1
2022/6/26, 32, 46, 2, 1
2022/6/27, 36, 43, 2, 
2022/6/28, 37, 48, 2, 
2022/6/29, 31, 52, 2, 
2022/6/30, 32, 51, 3, 1
2022/7/1, 42, 38, 1, 
2022/1/4, 31, 32, 2, 
2022/1/5, 16, 31, 6, 
2022/1/6, 18, 18, 2, 
2022/1/7, 14, 21, 2, 3
2022/1/8, 17, 18, 1, 
2022/1/9, 32, 20, 1, 
2022/1/10, 28, 25, 4, 
2022/1/11, 12, 26, 10, 
2022/1/12, 20, 29, 2, 
2022/1/13, 13, 30, 9, 
2022/1/14, 22, 41, 8, 2
2022/1/15, 24, 21, 1, 
2022/1/16, 17, 24, 7, 
2022/1/17, 16, 30, 12, 
2022/1/18, 32, 35, 2, 1
2022/1/19, 20, 25, 2, 
2022/1/20, 28, 23, 1, 
2022/1/21, 9, 26, 4, 
2022/1/22, 9, 27, 6, 
2022/1/23, 25, 32, 4, 
2022/1/24, 26, 19, 4, 
2022/1/25, 16, 22, 4, 
2022/1/26, 24, 28, 4, 
2022/1/27, 22, 24, 7, 
2022/1/28, 28, 30, 4, 
2022/1/29, 19, 36, 5, 
2022/1/30, 17, 39, 1, 
2022/1/31, 11, 30, 3, 1
2022/2/1, 18, 31, 2, 1
2022/2/2, 17, 21, 2, 
2022/2/3, 16, 26, 1, 
2022/2/4, 13, 30, 2, 
2022/2/5, 17, 32, 8, 
2022/2/6, 32, 37, 3, 
2022/2/7, 18, 32, 6, 
2022/2/8, 24, 35, 5, 
2022/2/9, 9, 38, 6, 
2022/2/10, 9, 42, 10, 
2022/2/11, 18, 50, 3, 
2022/2/12, 24, 30, 1, 
2022/2/13, 14, 35, 5, 
2022/2/14, 17, 38, 4, 
2022/2/15, 17, 39, 2, 
2022/2/16, 16, 31, 1, 
2022/2/17, 17, 29, 2, 
2022/2/18, 20, 33, 4, 
2022/2/19, 12, 36, 7, 2
2022/2/20, 25, 39, 2, 1
2022/2/21, 25, 25, 1, 
2022/2/22, 26, 22, 1, 
2022/2/23, 36, 19, 1, 
2022/2/24, 11, 19, 3, 
2022/2/25, 9, 25, 2, 
2022/2/26, 16, 21, 2, 
2022/2/27, 23, 38, 3, 
2022/2/28, 21, 43, 9, 
2022/3/1, 24, 46, 9, 
2022/3/2, 27, 65, 7, 2
2022/3/3, 30, 56, 6, 2
2022/3/4, 44, 35, 3, 2
2022/3/5, 45, 28, 1, 
