date, pm25, o3, no2
2023/4/2, 39, 26, 3
2023/4/3, 56, 33, 3
2023/4/4, 63, 31, 2
2023/4/5, 70, 36, 2
2023/4/6, 45, 27, 2
2023/4/7, 16, 20, 2
2023/4/8, 22, 31, 2
2023/4/9, 24, 29, 3
2023/4/10, 35, 27, 5
2023/4/11, 36, 5, 7
2023/4/12, 31, , 
2023/1/3, 78, 30, 6
2023/1/4, 34, 32, 8
2023/1/5, 20, 29, 14
2023/1/6, 18, 33, 11
2023/1/7, 34, 20, 5
2023/1/8, 35, 31, 4
2023/1/9, 17, 35, 13
2023/1/10, 35, 35, 10
2023/1/11, 40, 19, 12
2023/1/12, 55, 29, 2
2023/1/13, 18, 29, 9
2023/1/14, 18, 33, 13
2023/1/15, 34, 32, 5
2023/1/16, 27, 32, 8
2023/1/17, 42, 33, 10
2023/1/18, 56, 29, 4
2023/1/19, 41, 29, 5
2023/1/20, 13, 21, 8
2023/1/21, 19, 23, 7
2023/1/22, 36, 30, 3
2023/1/23, 26, 32, 6
2023/1/24, 20, 27, 2
2023/1/25, 16, 29, 5
2023/1/26, 16, 31, 9
2023/1/27, 24, 28, 12
2023/1/28, 38, 19, 7
2023/1/29, 34, 24, 3
2023/1/30, 30, 11, 1
2023/1/31, 15, 12, 1
2023/2/1, 19, 16, 1
2023/2/2, 19, 15, 2
2023/2/3, 23, 26, 5
2023/2/4, 41, 30, 8
2023/2/5, 40, 32, 9
2023/2/6, 42, 28, 3
2023/2/7, 20, 20, 4
2023/2/8, 29, 25, 4
2023/2/9, 11, 35, 12
2023/2/10, 21, 27, 2
2023/2/11, 16, 31, 7
2023/2/12, 21, 32, 13
2023/2/13, 43, 36, 11
2023/2/14, 36, 36, 7
2023/2/15, 19, 27, 12
2023/2/16, 55, 28, 1
2023/2/17, 23, 30, 2
2023/2/18, 21, 31, 11
2023/2/19, 38, 35, 11
2023/2/20, 45, 24, 8
2023/2/21, 35, 27, 5
2023/2/22, 47, 31, 4
2023/2/23, 46, 33, 4
2023/2/24, 56, 21, 3
2023/2/25, 41, 17, 4
2023/2/26, 56, 20, 2
2023/2/27, 55, 43, 7
2023/2/28, 32, 36, 14
2023/3/1, 55, 32, 3
2023/3/2, 79, 36, 2
2023/3/3, 73, 39, 3
2023/3/4, 26, 48, 7
2023/3/10, 58, 26, 4
2023/3/11, 36, 28, 3
2023/3/12, 57, 30, 2
2023/3/13, 40, 37, 2
2023/3/14, 14, 39, 5
2023/3/15, 31, 34, 4
2023/3/16, 38, 31, 4
2023/3/17, 32, 33, 1
2023/3/18, 13, 31, 3
2023/3/19, 19, 37, 3
2023/3/20, 21, 33, 6
2023/3/21, 23, 24, 5
2023/3/22, 16, 28, 3
2023/3/23, 39, 23, 2
2023/3/24, 45, 36, 4
2023/3/25, 32, 41, 5
2023/3/26, 20, 39, 7
2023/3/27, 55, 36, 4
2023/3/28, 57, 41, 2
2023/3/29, 31, 32, 6
2023/3/30, 38, 26, 4
2023/3/31, 40, 30, 5
2023/4/1, 45, 47, 4
2022/10/2, 37, 56, 7
2022/10/3, 32, 62, 9
2022/10/4, 38, 51, 13
2022/10/5, 43, 59, 11
2022/10/6, 39, 67, 7
2022/10/7, 40, 51, 8
2022/10/8, 37, 51, 5
2022/10/9, 41, 52, 4
2022/10/10, 48, 47, 5
2022/10/11, 42, 38, 4
2022/10/12, 30, 29, 4
2022/10/13, 29, 51, 4
2022/10/14, 30, 43, 6
2022/10/15, 32, 32, 2
2022/10/16, 22, 35, 2
2022/10/17, 21, 27, 3
2022/10/18, 22, 31, 4
2022/10/19, 13, 35, 10
2022/10/20, 23, 33, 11
2022/10/21, 27, 36, 8
2022/10/22, 22, 31, 3
2022/10/23, 26, 29, 1
2022/10/24, 19, 35, 2
2022/10/25, 43, 30, 4
2022/10/26, 13, 42, 11
2022/10/27, 21, 39, 6
2022/10/28, 19, 32, 3
2022/10/29, 20, 34, 2
2022/10/30, 21, 36, 5
2022/10/31, 28, 45, 8
2022/11/1, 24, 35, 5
2022/11/2, 22, 32, 6
2022/11/3, 38, 19, 3
2022/11/4, 43, 36, 2
2022/11/5, 26, 37, 5
2022/11/6, 16, 28, 5
2022/11/7, 34, 18, 4
2022/11/8, 24, 27, 3
2022/11/9, 20, 28, 3
2022/11/10, 23, 28, 4
2022/11/11, 27, 18, 2
2022/11/12, 25, 26, 2
2022/11/13, 13, 30, 4
2022/11/14, 16, 28, 6
2022/11/15, 27, 23, 3
2022/11/16, 23, 25, 4
2022/11/17, 21, 26, 8
2022/11/18, 19, 26, 8
2022/11/19, 25, 19, 3
2022/11/20, 28, 22, 2
2022/11/21, 18, 17, 5
2022/11/22, 28, 19, 5
2022/11/23, 42, 15, 11
2022/11/24, 50, 21, 6
2022/11/25, 33, 19, 1
2022/11/26, 15, 25, 3
2022/11/27, 17, 26, 8
2022/11/28, 21, 33, 8
2022/11/29, 23, 26, 8
2022/11/30, 41, 25, 3
2022/12/1, 15, 14, 8
2022/12/2, 25, 11, 8
2022/12/3, 28, 18, 2
2022/12/4, 18, 13, 5
2022/12/5, 28, 14, 6
2022/12/6, 33, 19, 6
2022/12/7, 33, 21, 4
2022/12/8, 43, 18, 4
2022/12/9, 49, 20, 5
2022/12/10, 55, 22, 4
2022/12/11, 24, 26, 3
2022/12/12, 17, 16, 4
2022/12/13, 38, 28, 3
2022/12/14, 36, 31, 2
2022/12/15, 12, 25, 13
2022/12/16, 20, 26, 11
2022/12/17, 22, 27, 7
2022/12/18, 30, 27, 7
2022/12/19, 33, 21, 3
2022/12/20, 21, 17, 2
2022/12/21, 15, 10, 11
2022/12/22, 57, 21, 4
2022/12/23, 42, 24, 1
2022/12/24, 17, 26, 8
2022/12/25, 38, 30, 10
2022/12/26, 57, 29, 13
2022/12/27, 46, 25, 13
