date, pm25, pm10, no2, so2, co
2023/4/2, 72, , , 1, 4
2023/4/3, 85, , , 1, 7
2023/4/4, 93, , , 1, 6
2023/4/5, 85, 55, 8, 1, 7
2023/4/6, 80, 45, 19, 1, 4
2023/4/7, 81, 33, 23, 1, 7
2023/4/8, 71, 23, 17, 1, 5
2023/4/9, 46, 15, 13, 1, 3
2023/4/10, 43, 35, 24, 1, 6
2023/4/11, 70, 4, 9, 1, 2
2023/4/12, 18, , , , 
2023/1/3, 68, 40, , 1, 11
2023/1/4, 75, 29, , 1, 11
2023/1/5, 61, 75, , 1, 20
2023/1/6, 123, 42, , 1, 21
2023/1/7, 77, 68, , 1, 17
2023/1/8, 117, 100, , 1, 19
2023/1/9, 136, 66, , 1, 15
2023/1/10, 100, 22, , 1, 5
2023/1/11, 52, 16, , 1, 2
2023/1/12, 53, 34, , 1, 7
2023/1/13, 81, 66, , 1, 14
2023/1/14, 153, 112, , 1, 18
2023/1/15, 188, 193, , 1, 23
2023/1/16, 242, 183, , 1, 28
2023/1/17, 258, 109, , 1, 22
2023/1/18, 190, 161, , 1, 28
2023/1/19, 220, 121, , 1, 24
2023/1/20, 212, 181, , 1, 30
2023/1/21, 206, 127, , 1, 19
2023/1/22, 179, 103, , 1, 12
2023/1/23, 176, 125, , 1, 20
2023/1/24, 206, 107, , 1, 14
2023/1/25, 136, 99, , 1, 21
2023/1/26, 155, 98, , 1, 17
2023/1/27, 192, 139, , 1, 23
2023/1/28, 176, 164, , 1, 24
2023/1/29, 242, 80, , 1, 10
2023/1/30, 128, 174, , 1, 22
2023/1/31, 206, 50, , 1, 17
2023/2/1, 127, 105, , 1, 20
2023/2/2, 140, 166, , 1, 26
2023/2/3, 202, 82, , 1, 17
2023/2/4, 115, 68, , 1, 14
2023/2/5, 114, 44, , 1, 11
2023/2/6, 76, 66, , 1, 13
2023/2/7, 107, 110, , 1, 23
2023/2/8, 171, 106, , 1, 20
2023/2/9, 176, 81, , 1, 14
2023/2/10, 128, 17, , 1, 2
2023/2/11, 52, 50, , 1, 7
2023/2/12, 101, 42, , 1, 9
2023/2/13, 75, 54, , 1, 7
2023/2/14, 96, 86, , 1, 14
2023/2/15, 150, 72, , 1, 13
2023/2/16, 129, 93, , 1, 9
2023/2/17, 152, 129, , 1, 13
2023/2/18, 174, 62, , 1, 6
2023/2/19, 81, , , 1, 9
2023/2/20, 137, , , 1, 21
2023/2/21, 170, , , 1, 19
2023/2/22, 103, , , 1, 16
2023/2/23, 83, , , 1, 12
2023/2/24, 90, , , 1, 20
2023/2/25, 109, , , 1, 7
2023/2/26, 65, , , 1, 2
2023/2/27, 76, , , 1, 6
2023/2/28, 119, , , 1, 14
2023/3/1, 139, , , 1, 12
2023/3/2, 81, , , 1, 11
2023/3/3, 88, , , 1, 9
2023/3/4, 87, , , 1, 10
2023/3/5, 122, , , 1, 11
2023/3/6, 88, , , 1, 10
2023/3/7, 107, , , 1, 11
2023/3/8, 57, , , 1, 11
2023/3/9, 62, , , 1, 4
2023/3/10, 47, , , 1, 14
2023/3/11, 77, , , 1, 13
2023/3/12, 68, , , 1, 4
2023/3/13, 85, , , 1, 3
2023/3/14, 25, , , 1, 7
2023/3/15, 76, , , 1, 8
2023/3/16, 51, , , 1, 5
2023/3/17, 60, , , 1, 7
2023/3/18, 98, , , 1, 3
2023/3/19, 57, , , 1, 6
2023/3/20, 57, , , 1, 7
2023/3/21, 92, , , 1, 6
2023/3/22, 100, , , 1, 9
2023/3/23, 117, , , 1, 8
2023/3/24, 90, , , 1, 9
2023/3/25, 101, , , 1, 8
2023/3/26, 116, , , 1, 5
2023/3/27, 94, , , 1, 7
2023/3/28, 76, , , 1, 8
2023/3/29, 83, , , 1, 9
2023/3/30, 78, , , 1, 7
2023/3/31, 61, , , 1, 6
2023/4/1, 65, 5, , 1, 6
2022/10/2, 60, 20, , 2, 3
2022/10/3, 80, 35, , 2, 7
2022/10/4, 91, 18, , 1, 6
2022/10/5, 64, 22, , 1, 5
2022/10/6, 63, 33, 18, 2, 11
2022/10/7, 67, 46, 45, 2, 11
2022/10/8, 83, 39, 52, 2, 9
2022/10/9, 80, 21, 34, 2, 5
2022/10/10, 64, 20, 32, 2, 7
2022/10/11, 58, 24, 35, 1, 9
2022/10/12, 56, 44, 64, 3, 12
2022/10/13, 96, 37, 67, 2, 12
2022/10/14, 69, 29, 66, 2, 10
2022/10/15, 70, 60, 80, 2, 12
2022/10/16, 88, 42, 67, 2, 10
2022/10/17, 93, 28, 44, 3, 7
2022/10/18, 76, 20, 24, 1, 6
2022/10/19, 61, 21, 20, 1, 5
2022/10/20, 53, 19, 18, 1, 6
2022/10/21, 51, 48, 53, 4, 14
2022/10/22, 92, 34, 51, 2, 14
2022/10/23, 60, 30, 23, 2, 4
2022/10/24, 91, 28, 14, 1, 3
2022/10/25, 63, 42, 21, 1, 8
2022/10/26, 90, 23, 22, 1, 9
2022/10/27, 58, 8, 15, 1, 5
2022/10/28, 38, 29, 16, 1, 5
2022/10/29, 63, 50, , 2, 14
2022/10/30, 108, 37, , 1, 7
2022/10/31, 61, 18, , 1, 5
2022/11/1, 57, 32, , 1, 13
2022/11/2, 68, 37, , 1, 13
2022/11/3, 89, 35, , 1, 6
2022/11/4, 70, 53, , 1, 11
2022/11/5, 101, 36, , 2, 9
2022/11/6, 79, 70, , 1, 13
2022/11/7, 125, 69, , 1, 13
2022/11/8, 140, 10, , 1, 4
2022/11/9, 47, 13, 6, 1, 5
2022/11/10, 41, 39, 26, 1, 13
2022/11/11, 72, 40, 26, 2, 11
2022/11/12, 93, 45, 25, 2, 13
2022/11/13, 92, 61, 43, 2, 15
2022/11/14, 102, 42, 37, 2, 10
2022/11/15, 85, 44, 33, 2, 8
2022/11/16, 87, 18, 18, 1, 6
2022/11/17, 54, 39, 24, 2, 9
2022/11/18, 96, 82, 41, 2, 22
2022/11/19, 160, 88, 36, 2, 23
2022/11/20, 130, 22, 18, 2, 8
2022/11/21, 64, 23, 21, 2, 8
2022/11/22, 61, 18, 20, 2, 6
2022/11/23, 57, 24, 21, 2, 7
2022/11/24, 67, 83, 30, 2, 20
2022/11/25, 137, 41, 29, 2, 13
2022/11/26, 94, 29, 19, 2, 6
2022/11/27, 67, 55, 30, 2, 6
