date, pm25, pm10, o3, no2, so2
2023/4/2, 17, 11, 37, 5, 
2023/4/3, 22, 13, 35, 12, 
2023/4/4, 17, 14, 37, 4, 
2023/4/5, 21, 15, 41, 11, 
2023/4/6, 28, 15, 44, 9, 
2023/4/7, 33, 16, 43, 9, 
2023/4/8, 33, 11, 45, 7, 
2023/4/9, 24, 11, 45, 8, 
2023/4/10, 26, 11, 44, 7, 
2023/4/11, 24, 19, 46, 12, 
2023/4/12, 42, , , , 
2023/1/3, 49, 22, 21, 8, 
2023/1/4, 48, 18, 17, 10, 
2023/1/5, 49, 17, 25, 10, 
2023/1/6, 45, 20, 7, 15, 
2023/1/7, 41, 12, 20, 9, 
2023/1/8, 36, 9, 19, 7, 
2023/1/9, 31, 6, 32, 9, 
2023/1/10, 13, 10, 29, 11, 
2023/1/11, 17, 16, 16, 14, 
2023/1/12, 32, 18, 10, 15, 
2023/1/13, 41, 22, 7, 16, 
2023/1/14, 48, 12, 18, 12, 
2023/1/15, 35, 15, 16, 11, 
2023/1/16, 46, 11, 24, 8, 
2023/1/17, 24, 12, 20, 14, 
2023/1/18, 25, 15, 22, 16, 
2023/1/19, 28, 10, 21, 10, 
2023/1/20, 20, 11, 20, 12, 
2023/1/21, 25, 11, 21, 12, 
2023/1/22, 28, 12, 14, 13, 
2023/1/23, 38, 21, 12, 20, 
2023/1/24, 44, 10, 27, 6, 
2023/1/25, 17, 17, 13, 18, 
2023/1/26, 36, 19, 25, 13, 
2023/1/27, 45, 21, 26, 11, 
2023/1/28, 54, 20, 23, 12, 
2023/1/29, 58, 15, 24, 10, 
2023/1/30, 46, 19, 25, 12, 
2023/1/31, 50, 25, 24, 13, 
2023/2/1, 56, 19, 30, 11, 
2023/2/2, 45, 24, 25, 14, 
2023/2/3, 46, 23, 23, 15, 
2023/2/4, 50, 19, 27, 11, 
2023/2/5, 53, 21, 31, 6, 
2023/2/6, 56, 21, 30, 3, 
2023/2/7, 34, 20, 32, 7, 
2023/2/8, 32, 21, 32, 11, 
2023/2/9, 41, 22, 30, 13, 
2023/2/10, 59, 26, 30, 15, 
2023/2/11, 60, 20, 30, 16, 
2023/2/12, 54, 21, 32, 16, 
2023/2/13, 60, 41, 32, 20, 
2023/2/14, 90, 39, 35, 18, 
2023/2/15, 87, 28, 33, 19, 
2023/2/16, 68, 27, 33, 14, 
2023/2/17, 67, 24, 34, 12, 
2023/2/18, 63, 26, 29, 14, 
2023/2/19, 67, 22, 12, 14, 
2023/2/20, 91, 22, 29, 13, 
2023/2/21, 52, 25, 29, 12, 
2023/2/22, 60, 22, 32, 11, 
