date, pm25, pm10, no2, so2, co
2022/12/21, 52, 15, 13, 3, 4
2022/12/22, 50, 14, 13, , 5
2022/7/2, 29, 16, 19, 7, 4
2022/7/3, 46, 15, 10, 7, 3
2022/7/4, 42, 27, 7, 7, 2
2022/7/5, 36, 8, 9, 7, 2
2022/7/6, 27, 6, 10, 7, 2
2022/7/7, 19, 9, 17, 7, 4
2022/7/8, 32, 8, 13, 7, 3
2022/7/9, 36, 13, 10, 7, 2
2022/7/10, 44, 10, 12, 7, 3
2022/7/11, 32, 12, 14, 7, 3
2022/7/12, 34, 12, 11, 7, 2
2022/7/13, 27, 14, 13, 8, 4
2022/7/14, 38, 15, 17, 8, 3
2022/7/15, 21, 24, 28, 8, 5
2022/7/16, 57, 20, 15, 8, 3
2022/7/17, 44, 11, 8, 8, 2
2022/7/22, 17, 13, 10, 8, 3
2022/7/23, 32, 13, 11, 8, 3
2022/7/24, 33, 14, 10, 9, 3
2022/7/25, 34, 20, 17, 9, 4
2022/7/26, 39, 24, 25, 9, 3
2022/7/27, 48, 21, 15, 9, 3
2022/7/28, 39, 11, 14, 9, 3
2022/7/29, 30, 10, 11, 9, 2
2022/7/30, 28, 10, 12, 9, 3
2022/7/31, 30, 13, 11, 9, 3
2022/8/1, 41, 15, 15, 9, 4
2022/8/2, 40, 12, 11, 9, 3
2022/8/3, 35, 10, 8, 9, 2
2022/8/4, 25, 11, 8, 9, 2
2022/8/5, 37, 12, 8, 9, 2
2022/8/6, 25, 13, 8, 9, 3
2022/8/7, 45, 21, 12, 10, 4
2022/8/8, 63, 23, 11, 10, 4
2022/8/9, 61, 16, 9, 10, 3
2022/8/10, 51, 16, 13, 10, 4
2022/8/11, 62, 12, 11, 10, 3
2022/8/12, 42, 24, 11, 10, 4
2022/8/13, 74, 17, 10, 10, 4
2022/8/14, 48, 12, 11, 10, 3
2022/8/15, 29, 10, 11, 10, 2
2022/8/16, 40, 13, 16, 11, 4
2022/8/17, 46, 14, 13, 11, 4
2022/8/18, 44, 14, 17, 11, 3
2022/8/19, 37, 10, 12, 12, 3
2022/8/20, 30, 6, 10, 12, 3
2022/8/29, 33, 22, 12, 12, 4
2022/8/30, 59, 24, 19, 12, 5
2022/8/31, 57, 26, 21, 12, 5
2022/9/1, 57, 30, 19, 12, 4
2022/9/2, 54, 37, 29, 12, 7
2022/9/3, 63, 33, 22, 12, 5
2022/9/4, 55, 15, 6, 12, 3
2022/9/5, 43, 16, 10, 13, 3
2022/9/6, 45, 20, 11, 13, 3
2022/9/7, 39, 37, 4, 13, 2
2022/9/8, 43, 13, 7, 13, 3
2022/9/9, 24, 17, , 13, 4
2022/9/10, 36, 19, , 13, 4
2022/9/11, 38, 8, , 13, 3
2022/9/12, 31, 7, , 13, 3
2022/9/13, 32, 15, , 13, 4
2022/9/14, 45, 14, , 13, 4
2022/9/15, 50, 13, , 13, 4
2022/9/16, 50, 14, , 13, 2
2022/9/17, 40, 14, , 13, 2
2022/9/18, 34, 15, , 14, 3
2022/9/19, 57, 19, , 13, 4
2022/9/20, 57, 30, , 14, 8
2022/9/21, 93, 20, , 14, 5
2022/9/22, 65, 23, , 13, 7
2022/9/23, 82, 26, , 13, 6
2022/9/24, 78, 22, , 13, 5
2022/9/25, 51, 18, , 13, 4
2022/9/26, 35, 22, , 13, 3
2022/9/27, 42, 8, , 13, 3
2022/9/28, 29, 7, , 13, 2
2022/9/29, 45, 9, , 14, 3
2022/9/30, 39, 11, , 14, 3
2022/10/1, 56, 14, , 14, 3
2022/4/2, 59, 16, 22, 5, 4
2022/4/3, 41, 11, 10, 6, 3
2022/4/4, 39, 8, 10, 4, 2
2022/4/5, 27, 15, 13, 4, 3
2022/4/6, 47, 24, 22, 4, 6
2022/4/7, 68, 38, 20, 7, 5
2022/4/8, 86, 33, 17, 6, 4
2022/4/9, 68, 39, 15, 6, 4
2022/4/10, 79, 40, 6, 5, 3
2022/4/11, 61, 35, 4, 4, 3
2022/4/12, 34, 34, 4, 4, 3
2022/4/13, 41, 26, 8, 4, 3
2022/4/14, 39, 35, 16, 5, 4
2022/4/19, 170, 87, 21, 7, 6
2022/4/20, 158, 46, 20, 5, 5
2022/4/21, 114, 12, 15, 5, 3
2022/4/22, 47, 14, 12, 6, 3
2022/4/23, 58, 18, 8, 5, 3
2022/4/24, 57, 20, 4, 4, 3
2022/4/25, 41, 28, 11, 4, 5
2022/4/26, 51, 36, 18, 4, 4
2022/4/27, 56, 36, 27, 5, 5
2022/4/28, 54, 26, 19, 5, 4
2022/4/29, 29, 34, 17, 5, 4
2022/4/30, 47, 34, 25, 5, 5
2022/5/1, 75, 38, 14, 5, 4
2022/5/2, 81, 41, 11, 5, 4
2022/5/3, 87, 20, 5, 4, 3
2022/5/4, 41, 29, 7, 4, 3
2022/5/5, 28, 15, 12, 5, 3
2022/5/6, 39, 29, 11, 5, 3
2022/5/7, 44, 37, 7, 5, 3
2022/5/8, 67, 23, 7, 4, 3
2022/5/9, 65, 36, 3, 4, 3
2022/5/10, 62, 31, 5, 5, 3
2022/5/11, 55, 9, 11, 5, 3
2022/5/12, 30, 20, 23, 5, 4
2022/5/13, 43, 18, 19, 5, 4
2022/5/14, 45, 18, 15, 5, 3
2022/5/15, 37, 14, 8, 5, 3
2022/5/16, 37, 22, 12, 4, 3
2022/5/17, 46, 17, 15, 3, 3
2022/5/18, 37, 13, 21, 3, 3
2022/5/19, 44, 12, 12, 3, 2
2022/5/20, 26, 17, 15, 3, 3
2022/5/21, 31, 18, 11, 4, 2
2022/5/22, 47, 8, 8, 4, 2
2022/5/23, 82, 12, 11, 4, 2
2022/5/24, 69, 14, 18, 4, 3
2022/5/25, 54, 18, 13, 4, 3
2022/5/26, 41, 22, 12, 4, 3
2022/5/27, 40, 16, 10, 4, 3
2022/5/28, 68, 11, 17, 4, 3
2022/5/29, 44, 14, 16, 4, 3
2022/5/30, 31, 22, 18, 4, 4
2022/5/31, 38, 11, 13, 4, 3
2022/6/1, 41, 7, 10, 4, 2
2022/6/2, 41, 11, 11, 4, 3
2022/6/3, 33, 19, 23, 4, 4
2022/6/4, 61, 8, 11, 4, 2
2022/6/5, 55, 8, 9, 5, 2
2022/6/6, 59, 10, 12, 4, 3
2022/6/7, 29, 14, 15, 5, 3
2022/6/8, 29, 22, 20, 5, 3
2022/6/9, 62, 20, 27, 5, 5
2022/6/10, 112, 20, 19, 5, 3
2022/6/11, 92, 15, 11, 5, 3
2022/6/12, 27, 18, 10, 5, 2
2022/6/13, 52, 17, 17, 5, 3
2022/6/14, 44, 8, 13, 5, 3
2022/6/15, 29, 11, 12, 6, 3
2022/6/16, 44, 15, 15, 6, 3
2022/6/17, 51, 15, 16, 6, 3
2022/6/18, 33, 16, 15, 6, 4
2022/6/19, 29, 24, 30, 6, 6
2022/6/20, 52, 19, 24, 6, 4
2022/6/21, 44, 21, 15, 5, 3
2022/6/22, 45, 11, 12, 6, 2
2022/6/23, 35, 15, 13, 6, 3
2022/6/24, 39, 19, 19, 6, 4
2022/6/25, 47, 22, 14, 6, 3
2022/6/26, 57, 11, 9, 6, 2
2022/6/27, 40, 12, 10, 6, 2
2022/6/28, 31, 12, 11, 6, 3
2022/6/29, 25, 10, 11, 7, 2
2022/6/30, 24, 8, 9, 7, 2
2022/7/1, 20, 13, 12, 7, 3
2022/1/4, 73, 10, 6, 4, 2
2022/1/5, 50, 7, 6, 4, 2
2022/1/6, 36, 13, 10, 5, 2
2022/1/7, 55, , , , 
2022/1/8, 44, , , , 
2022/1/9, 23, , , , 
2022/1/10, 26, 26, 42, 7, 8
2022/1/11, 101, 37, 32, 21, 7
2022/1/12, 129, 28, 23, 9, 5
2022/1/13, 96, 47, 24, 14, 7
2022/1/14, 137, 27, 16, 11, 4
2022/1/15, 103, 10, 3, 4, 2
2022/1/16, 35, 8, 4, 4, 2
2022/1/17, 32, 9, 9, 4, 2
2022/1/18, 37, 19, 27, 6, 5
2022/1/19, 43, 68, 41, 24, 12
2022/1/20, 194, 49, 42, 17, 12
2022/1/21, 192, 24, 28, 8, 5
2022/1/22, 70, 86, 44, 19, 17
2022/1/23, 238, 107, 33, 23, 18
2022/1/24, 212, 140, 40, 32, 24
2022/1/25, 218, 87, 34, 14, 13
2022/1/26, 153, 12, 22, 9, 5
2022/1/27, 50, 19, 23, 11, 4
2022/1/28, 74, 41, 40, 14, 10
2022/1/29, 189, 22, 28, 8, 5
2022/1/30, 148, 14, 8, 6, 2
2022/1/31, 49, 13, 14, 4, 2
2022/2/1, 49, 16, 19, 5, 3
2022/2/4, 145, 31, 23, 11, 4
2022/2/5, 96, 32, 30, 15, 6
2022/2/6, 95, 14, 12, 5, 3
2022/2/7, 46, 12, 11, 4, 3
2022/2/8, 48, 14, 16, 4, 3
2022/2/9, 41, 50, 42, 8, 10
2022/2/10, 183, 65, 47, 14, 14
2022/2/11, 282, 26, 22, 13, 5
2022/2/12, 130, 14, 11, 7, 3
2022/2/13, 41, 10, 12, 4, 3
2022/2/14, 32, 20, 19, 4, 4
2022/2/15, 62, 20, 10, 8, 3
2022/2/16, 62, 19, 21, 10, 4
2022/2/17, 59, 12, 11, 20, 2
2022/2/18, 48, 13, 17, 10, 3
2022/2/19, 36, 32, 33, 11, 7
2022/2/20, 102, 18, 15, 6, 3
2022/2/21, 42, 22, 25, 8, 4
2022/2/22, 64, 23, 28, 7, 4
2022/2/23, 76, 15, 21, 4, 3
2022/2/24, 55, 11, 15, 4, 2
2022/2/25, 44, 12, 19, 5, 3
2022/2/26, 40, 49, 33, 10, 8
2022/2/27, 129, 20, 20, 7, 5
2022/2/28, 83, 60, 61, 8, 17
2022/3/1, 210, 36, 35, 17, 6
2022/3/2, 143, 33, 42, 29, 6
2022/3/3, 98, 26, 22, 15, 4
2022/3/4, 102, 12, 16, 5, 3
2022/3/5, 38, 11, 11, 7, 3
2022/3/6, 43, 5, 2, 4, 1
2022/3/7, 29, 10, 4, 4, 2
2022/3/8, 21, 10, 12, 5, 3
2022/3/9, 27, 37, 27, 9, 7
2022/3/10, 140, 27, 16, 8, 5
2022/3/11, 116, 22, 15, 9, 4
2022/3/12, 107, 16, 12, 11, 3
2022/3/13, 94, 22, 12, 8, 4
2022/3/14, 105, 25, 21, 11, 5
2022/3/15, 88, 18, 27, 6, 4
2022/3/16, 61, 42, 39, 9, 7
2022/3/17, 110, 40, 28, 11, 7
2022/3/18, 154, 30, 18, 8, 5
2022/3/19, 91, 45, 27, 10, 7
2022/3/20, 131, 38, 26, 11, 6
2022/3/21, 150, 13, 4, 7, 2
2022/3/22, 36, 11, 6, 4, 2
2022/3/23, 31, 8, 6, 4, 2
2022/3/24, 25, 6, 9, 5, 2
2022/3/25, 29, 9, 8, 4, 2
2022/3/26, 34, 15, 10, 6, 2
2022/3/27, 71, 30, 22, 11, 4
2022/3/28, 98, 12, 12, 4, 2
2022/3/29, 54, 10, 6, 4, 2
2022/3/30, 43, 6, 5, 4, 1
2022/3/31, 34, 8, 9, 4, 2
2022/4/1, 29, 16, 29, 6, 5
2021/10/2, 42, 9, 11, 1, 3
2021/10/3, 30, 14, 15, 1, 5
2021/10/4, 45, 12, 10, 1, 4
2021/10/5, 58, 14, 12, 11, 4
2021/10/6, 48, 18, 17, 10, 5
2021/10/7, 44, 25, 25, 2, 7
2021/10/8, 72, 27, 25, 2, 6
2021/10/9, 55, 37, 31, 1, 7
2021/10/10, 47, 43, 29, 4, 6
2021/10/11, 72, 18, 15, 8, 4
2021/10/12, 73, 29, 20, 3, 6
2021/10/13, 61, 32, 19, 2, 5
2021/10/14, 45, 45, 29, 5, 6
2021/10/15, 113, 71, 35, 10, 15
2021/10/16, 176, 48, 26, 11, 8
2021/10/17, 120, 52, 33, 6, 7
2021/10/18, 148, 60, 42, 4, 9
2021/10/19, 102, 75, 44, 6, 11
2021/10/20, 187, 46, 21, 3, 4
2021/10/21, 85, 19, 10, 2, 3
2021/10/22, 43, 17, 4, 1, 2
2021/10/23, 16, 9, 5, 1, 2
2021/10/24, 27, 15, 5, 1, 2
2021/10/25, 33, 19, 12, 2, 3
2021/10/26, 27, 21, 10, 3, 3
2021/10/27, 33, 45, 27, 4, 8
2021/10/28, 100, 49, 20, 2, 5
2021/10/29, 42, 24, 9, 1, 3
2021/10/30, 18, 9, 8, 1, 3
2021/10/31, 26, 6, 6, 1, 3
2021/11/1, 27, 6, 8, 1, 3
2021/11/2, 21, 17, 9, 2, 3
2021/11/3, 65, 28, 17, 14, 5
2021/11/4, 91, 10, 14, 9, 4
2021/11/5, 49, 8, 10, 1, 3
2021/11/6, 16, 16, 14, 1, 3
2021/11/7, 15, 21, 10, 2, 3
2021/11/8, 26, 39, 18, 4, 4
2021/11/9, 34, 31, 15, 3, 3
2021/11/10, 45, 26, 8, 3, 3
2021/11/11, 53, 24, 14, 3, 3
2021/11/12, 63, 12, 8, 1, 3
2021/11/13, 53, 11, 6, 1, 2
2021/11/14, 19, 14, 5, 1, 2
2021/11/15, 29, 10, 13, 1, 4
2021/11/16, 44, 62, 32, 7, 12
2021/11/17, 105, 41, 24, 5, 9
2021/11/18, 127, 18, 16, 2, 4
2021/11/19, 55, 15, 16, 4, 4
2021/11/20, 59, 10, 7, 2, 2
2021/11/21, 30, 9, 4, 2, 2
2021/11/22, 37, 13, 4, 2, 2
2021/11/23, 34, 5, 10, 2, 2
2021/11/24, 23, 26, 22, 4, 5
2021/11/25, 75, 29, 22, 11, 5
2021/11/26, 95, 9, 15, 3, 3
2021/11/27, 36, 6, 7, 3, 2
2021/11/28, 20, 22, 25, 6, 6
2021/11/29, 48, 27, 31, 10, 6
2021/11/30, 102, 17, 24, 4, 4
2021/12/1, 51, 17, 16, 4, 3
2021/12/2, 69, 11, 6, 4, 2
2021/12/3, 38, 9, 13, 2, 2
2021/12/4, 45, 8, 9, 2, 2
2021/12/5, 32, 21, 18, 4, 4
2021/12/6, 78, 8, 13, 2, 3
2021/12/7, 27, 19, 17, 4, 4
2021/12/8, 69, 55, 35, 13, 13
2021/12/9, 142, 16, 18, 7, 4
2021/12/10, 74, 23, 21, 12, 5
2021/12/11, 66, 35, 40, 12, 8
2021/12/12, 122, 39, 18, 8, 6
2021/12/13, 93, 35, 34, 8, 10
2021/12/15, 57, 8, 16, 4, 3
2021/12/16, 33, 5, 7, 4, 2
2021/12/17, 18, 8, 5, 3, 2
2021/12/18, 31, 12, 13, 3, 3
2021/12/19, 54, 16, 6, 3, 2
2021/12/20, 68, 9, 13, 2, 3
2021/12/21, 43, 11, 13, 4, 3
2021/12/22, 48, 10, 9, 6, 3
2021/12/23, 47, 8, 10, 3, 2
2021/12/24, 40, 17, 16, 4, 4
2021/12/25, 51, 49, 20, 11, 7
2021/12/26, 119, 38, 13, 9, 5
2021/12/27, 100, 45, 27, 16, 7
2021/12/28, 116, 11, 7, 4, 2
2021/12/29, 35, 10, 15, 3, 3
2021/12/30, 35, 43, 37, 9, 9
2021/12/31, 126, 23, 20, 9, 5
2022/1/1, 113, 27, 15, 10, 4
2022/1/2, 103, 24, 7, 7, 3
2022/1/3, 77, 18, 6, 4, 2
2021/7/2, 37, 31, 7, 3, 2
2021/7/3, 56, 30, 7, 3, 2
2021/7/4, 38, 24, 5, 3, 2
2021/7/5, 36, 26, 10, 2, 2
2021/7/6, 48, 27, 6, 2, 2
2021/7/7, 76, 17, 4, 3, 1
2021/7/8, 70, 32, 4, 2, 1
2021/7/9, 41, 12, 4, 2, 1
2021/7/10, 19, 10, 7, 2, 2
2021/7/11, 31, 14, 8, 3, 2
2021/7/12, 34, 18, 8, 2, 2
2021/7/13, 48, 5, 4, 2, 2
2021/7/14, 21, 2, 5, 2, 2
2021/7/15, 17, 7, 6, 2, 2
2021/7/16, 17, 8, 8, 2, 2
2021/7/17, 25, 19, 8, 3, 2
2021/7/18, 31, 14, 7, 3, 2
2021/7/19, 38, 26, 12, 3, 3
2021/7/20, 49, 23, 5, 3, 1
2021/7/21, 26, 24, 8, 3, 2
2021/7/22, 39, 35, 9, 5, 2
2021/7/23, 63, 32, 12, 4, 3
2021/7/24, 52, 40, 12, 4, 3
2021/7/25, 60, 25, 5, 3, 2
2021/7/26, 42, 23, 5, 4, 2
2021/7/27, 27, 23, 7, 5, 2
2021/7/28, 40, 30, 12, 3, 4
2021/7/29, 46, 26, 10, 3, 2
2021/7/30, 44, 24, 8, 3, 3
2021/7/31, 38, 44, 10, 3, 3
2021/8/1, 43, 22, 8, 3, 3
2021/8/2, 48, 24, 7, 3, 3
2021/8/3, 44, 25, 8, , 3
2021/8/4, 51, 29, 10, , 3
2021/8/5, 58, 28, 9, 2, 3
2021/8/6, 51, 40, 14, , 4
2021/8/7, 61, 47, , , 3
2021/8/8, 59, 15, , 2, 2
2021/8/9, 35, 17, , , 2
2021/8/11, 108, 24, 6, , 5
2021/8/12, 84, 10, 3, 2, 5
2021/8/13, 38, 20, 7, 3, 3
2021/8/14, 71, 26, 9, 1, 3
2021/8/15, 66, 19, 9, 8, 3
2021/8/16, 53, 30, 14, 7, 4
2021/8/17, 59, 40, 13, 3, 5
2021/8/18, 77, 43, , 5, 7
2021/8/19, 71, 31, , 2, 5
2021/8/20, 60, 33, , 6, 3
2021/8/21, 42, 28, , 1, 3
2021/8/22, 43, 24, , 2, 3
2021/8/23, 52, 30, , 1, 2
2021/8/24, 37, 32, , 1, 3
2021/8/25, 53, 34, , 2, 3
2021/8/26, 58, 34, , 3, 3
2021/8/27, 50, 43, , 3, 4
2021/8/28, 59, 35, , 1, 3
2021/8/29, 63, 12, , , 2
2021/8/30, 49, 13, , 8, 3
2021/8/31, 42, 23, , 6, 4
2021/9/1, 57, 26, , 8, 3
2021/9/2, 51, 21, , 1, 3
2021/9/3, 33, 35, , 2, 3
2021/9/4, 43, 41, , 1, 3
2021/9/5, 41, 38, , 1, 3
2021/9/6, 46, 42, , 1, 5
2021/9/7, 52, 33, , 4, 3
2021/9/8, 49, 15, , 1, 4
2021/9/9, 46, 24, , 1, 3
2021/9/10, 30, 24, , , 3
2021/9/11, 31, 7, , , 3
2021/9/12, 39, 7, , 1, 3
2021/9/13, 22, 13, , 1, 4
2021/9/14, 18, 25, , 1, 4
2021/9/15, 21, 35, , 1, 4
2021/9/16, 31, 35, , 1, 3
2021/9/17, 31, 14, , 1, 4
2021/9/18, 31, 9, , 1, 3
2021/9/19, 26, 9, , 1, 3
2021/9/20, 24, 16, 19, 1, 3
2021/9/21, 26, 24, 22, 2, 7
2021/9/22, 63, 30, 21, 1, 8
2021/9/23, 67, 27, 21, 2, 5
2021/9/24, 59, 30, 24, 4, 7
2021/9/25, 64, 93, 39, 7, 16
2021/9/26, 122, 56, 23, 6, 7
2021/9/27, 178, 49, 6, 2, 3
2021/9/28, 37, 10, 12, 1, 4
2021/9/29, 26, 12, 14, 1, 4
2021/9/30, 59, 15, 15, 3, 4
2021/10/1, 63, 11, 12, 1, 4
2021/4/2, 168, 12, 10, 4, 3
2021/4/3, 36, 13, 7, 6, 3
2021/4/4, 51, 10, 5, 3, 2
2021/4/5, 28, 8, 8, 2, 3
2021/4/6, 32, 10, 10, 2, 3
2021/4/7, 26, 18, 12, 2, 4
2021/4/8, 60, 18, 9, 2, 3
2021/4/9, 59, 25, 15, 11, 4
2021/4/10, 70, 23, 11, 8, 4
2021/4/11, 68, 24, 7, 4, 4
2021/4/12, 65, 52, 14, 6, 7
2021/4/13, 88, 47, 11, 4, 5
2021/4/14, 116, 70, 18, 10, 7
2021/4/15, 104, 139, 30, 17, 16
2021/4/16, 216, 99, 23, 6, 8
2021/4/17, 187, 45, 10, 4, 3
2021/4/18, 56, 67, 13, 4, 5
2021/4/19, 100, 37, 6, 4, 3
2021/4/20, 55, 40, 8, 2, 3
2021/4/21, 64, 56, 12, 4, 5
2021/4/22, 126, 50, 10, 3, 4
2021/4/23, 95, 46, 9, 2, 3
2021/4/24, 72, 28, 6, 3, 2
2021/4/25, 37, 41, 5, 2, 2
2021/4/26, 35, 18, 9, 2, 3
2021/4/27, 23, 38, 8, 2, 2
2021/4/28, 31, 31, 8, 2, 3
2021/4/29, 30, 38, 17, 2, 4
2021/4/30, 58, 34, 12, 3, 3
2021/5/1, 47, 37, 9, 2, 3
2021/5/2, 45, 34, 12, 3, 4
2021/5/3, 54, 40, 14, 2, 4
2021/5/4, 59, 20, 7, 2, 2
2021/5/5, 28, 34, 9, 2, 3
2021/5/6, 51, 29, 10, 2, 3
2021/5/7, 38, 30, 8, 3, 2
2021/5/8, 46, 35, 5, 2, 2
2021/5/9, 59, 10, 4, 2, 2
2021/5/10, 43, 16, 8, 2, 3
2021/5/11, 52, 33, 9, 2, 3
2021/5/12, 58, 50, 18, 3, 5
2021/5/13, 85, 39, 11, 7, 3
2021/5/14, 56, 30, 10, 2, 3
2021/5/15, 41, 34, 15, 2, 3
2021/5/16, 35, 31, 9, 2, 3
2021/5/17, 42, 37, 12, 8, 2
2021/5/18, 58, 49, 15, 2, 3
2021/5/19, 57, 37, 9, 2, 2
2021/5/20, 56, 26, 11, 2, 2
2021/5/21, 36, 37, 11, 2, 3
2021/5/22, 30, 33, 10, 2, 3
2021/5/23, 29, 37, 16, 2, 3
2021/5/24, 38, 61, 24, 2, 6
2021/5/25, 52, 50, 20, 2, 5
2021/5/26, 52, 51, 15, 2, 3
2021/5/27, 61, 38, 10, 2, 2
2021/5/28, 43, 32, 7, 2, 2
2021/5/29, 35, 37, 5, 2, 2
2021/5/30, 27, 31, 4, 2, 2
2021/5/31, 27, 27, 9, 2, 2
2021/6/1, 28, 33, 7, 2, 2
2021/6/2, 54, 27, 6, 2, 2
2021/6/3, 49, 21, 8, 2, 2
2021/6/4, 28, 16, 10, 2, 2
2021/6/5, 40, 16, 9, 2, 2
2021/6/6, 32, 23, 15, 2, 4
2021/6/7, 58, 24, 9, 2, 2
2021/6/8, 37, 29, 11, 2, 2
2021/6/9, 31, 29, 7, 2, 1
2021/6/10, 33, 33, 8, 2, 2
2021/6/11, 29, 22, 7, 2, 2
2021/6/12, 29, 23, 10, 2, 2
2021/6/13, 32, 34, 14, 2, 3
2021/6/14, 67, 28, 11, 2, 2
2021/6/15, 40, 19, 8, 3, 2
2021/6/16, 26, 29, 12, 3, 3
2021/6/17, 43, 24, 14, 4, 3
2021/6/18, 47, 33, 7, 2, 2
2021/6/19, 54, 11, 4, 2, 1
2021/6/20, 29, 8, 7, 2, 2
2021/6/21, 29, 8, 9, 3, 2
2021/6/22, 36, 7, 7, 2, 2
2021/6/23, 33, 7, 9, 2, 2
2021/6/24, 29, 11, 6, 2, 2
2021/6/25, 24, 17, 12, 2, 3
2021/6/26, 29, 18, 8, 2, 2
2021/6/27, 23, 20, 6, 2, 2
2021/6/28, 24, 22, 10, 7, 2
2021/6/29, 56, 14, 6, 2, 2
2021/6/30, 31, 25, 6, 3, 2
2021/7/1, 36, 28, 7, 3, 2
2021/1/5, 102, 42, , 9, 7
2021/1/6, 189, 69, , 19, 11
2021/1/7, 148, 80, , 21, 13
2021/1/8, 162, 69, , 17, 13
2021/1/9, 187, 32, 4, 12, 5
2021/1/10, 98, 19, 4, 9, 3
2021/1/11, 74, 20, 8, 7, 4
2021/1/12, 68, 22, 5, 4, 3
2021/1/13, 58, 34, 15, 6, 7
2021/1/14, 115, 53, 15, 9, 9
2021/1/15, 124, 22, 10, 6, 4
2021/1/16, 66, 15, 6, 8, 3
2021/1/17, 41, 10, 4, 2, 3
2021/1/18, 42, 28, 15, 7, 6
2021/1/19, 86, 65, 17, 12, 10
2021/1/20, 198, 20, 8, 7, 4
2021/1/21, 80, 16, 15, 3, 6
2021/1/22, 53, 21, 11, 4, 5
2021/1/23, 67, 21, 9, 4, 4
2021/1/24, 64, 69, 17, 12, 11
2021/1/25, 201, 25, 9, 7, 4
2021/1/26, 77, 16, 13, 3, 4
2021/1/27, 61, 9, 11, 2, 3
2021/1/28, 36, 14, 15, 2, 4
2021/1/29, 45, 23, 14, 7, 4
2021/1/30, 83, 47, 27, 8, 10
2021/1/31, 122, 49, 18, 8, 10
2021/2/1, 115, 127, 32, 12, 21
2021/2/2, 185, 22, 18, 3, 5
2021/2/3, 70, 12, 7, 4, 2
2021/2/4, 49, 14, 11, 7, 3
2021/2/5, 37, 15, 10, 7, 3
2021/2/9, 25, 10, 5, 1, 2
2021/2/12, 97, 28, 15, 10, 5
2021/2/13, 56, 14, 16, 3, 4
2021/2/14, 52, 13, 6, 4, 3
2021/2/15, 40, 11, 10, 4, 3
2021/2/16, 41, 10, 11, 3, 3
2021/2/17, 50, 34, 16, 19, 6
2021/2/18, 108, 26, 8, 6, 4
2021/2/19, 105, 14, 9, 3, 4
2021/2/20, 56, 21, 11, 4, 4
2021/2/21, 63, 18, 9, 7, 4
