date, pm25, pm10, no2, so2, co
2022/10/2, 57, 15, , 14, 3
2022/10/3, 62, 14, , 14, 3
2022/10/4, 47, 25, , 15, 5
2022/10/5, 77, 30, , , 7
2022/10/6, 94, 38, , , 10
2022/10/7, 83, 25, 13, , 5
2022/10/8, 68, 15, 10, , 3
2022/10/9, 39, 9, 7, , 3
2022/10/10, 41, 10, 13, , 4
2022/10/11, 36, 18, 15, 2, 5
2022/10/12, 54, 37, 26, 10, 12
2022/10/13, 118, 19, 15, 2, 4
2022/10/14, 54, 15, 13, , 4
2022/10/15, 43, 23, 20, , 5
2022/10/16, 91, 19, 16, 2, 5
2022/10/17, 55, 12, 9, , 4
2022/10/18, 44, 9, 12, , 4
2022/10/19, 33, 15, 7, , 3
2022/10/20, 29, 6, 6, , 3
2022/10/21, 31, 8, 7, , 2
2022/10/22, 29, 10, 8, , 2
2022/10/23, 47, 5, 5, , 3
2022/10/24, 29, 9, 9, , 3
2022/10/25, 33, 8, 8, , 3
2022/10/26, 33, 7, 7, , 3
2022/10/27, 21, 7, 6, , 3
2022/10/28, 28, 6, 6, , 3
2022/10/29, 30, 15, 11, 2, 4
2022/10/30, 58, 13, 10, , 4
2022/10/31, 44, 10, 10, , 4
2022/11/1, 37, 8, 8, , 3
2022/11/2, 30, 6, 9, , 3
2022/11/3, 24, 4, 3, , 2
2022/11/4, 24, 3, 3, , 2
2022/11/5, 18, 5, 4, , 2
2022/11/6, 27, 7, 5, , 3
2022/11/7, 35, 8, 9, , 4
2022/11/8, 38, 13, 11, , 5
2022/11/9, 60, 6, 8, , 3
2022/11/10, 29, 6, 7, , 2
2022/11/11, 29, 5, 6, , 3
2022/11/12, 24, 3, 4, , 2
2022/11/13, 14, 4, 2, , 2
2022/11/14, 17, 7, 2, , 2
2022/11/15, 28, 4, 3, , 2
2022/11/16, 16, 6, 5, , 2
2022/11/17, 26, 7, 9, , 
2022/11/18, 32, 14, 12, 1, 
2022/11/19, 50, 19, 15, 3, 
2022/11/20, 69, 24, 14, 4, 
2022/11/21, 82, 30, 24, 5, 8
2022/11/22, 105, 20, 17, 3, 4
2022/11/23, 62, 17, 16, 1, 4
2022/11/24, 59, 16, 20, 2, 4
2022/11/25, 56, 15, 13, 3, 3
2022/11/26, 67, 26, 14, 4, 6
2022/11/27, 72, 21, 13, 5, 6
2022/11/28, 100, 18, 12, 5, 6
2022/11/29, 87, 18, 14, 2, 5
2022/11/30, 71, 25, 18, 3, 6
2022/12/1, 110, 15, 13, 3, 4
2022/12/2, 59, 16, 13, 3, 4
2022/12/3, 50, 16, 10, , 4
2022/12/4, 50, 26, 15, 6, 5
2022/12/5, 77, 25, 22, 4, 6
2022/12/6, 75, 73, 36, 12, 17
2022/12/7, 171, 72, 31, 17, 17
2022/12/8, 198, 46, 36, 7, 13
2022/12/13, 30, 6, 14, 1, 3
2022/12/14, 37, 24, 16, 4, 5
2022/12/15, 103, 18, 20, 3, 5
2022/12/16, 89, 45, 33, 7, 13
2022/12/17, 88, 68, 35, 11, 18
