date, pm25, pm10, o3, so2, co
2023/4/2, 96, 40, , 4, 5
2023/4/3, 98, 32, , 1, 4
2023/4/4, 90, , , , 
2023/4/5, 65, 14, , 1, 2
2023/4/6, 43, 17, , 2, 2
2023/4/7, 47, 59, , 2, 2
2023/4/8, 90, 57, , 2, 2
2023/4/9, 80, 30, , 2, 1
2023/4/10, 59, 23, , 1, 2
2023/4/11, 55, 30, , 1, 3
2023/4/12, 52, 41, , 1, 4
2023/4/13, 158, , , , 
2023/1/3, 129, , , , 
2023/1/4, 111, , , , 
2023/1/5, 64, , , , 
2023/1/6, 30, , , , 
2023/1/7, 87, , , , 
2023/1/8, 62, , , , 
2023/1/9, 82, , , , 
2023/1/10, 90, , , , 
2023/1/11, 60, , , , 
2023/1/12, 109, , , , 
2023/1/13, 166, , , , 
2023/1/14, 208, , , , 
2023/1/15, 194, , , , 
2023/1/16, 190, , , , 
2023/1/17, 225, , , , 
2023/1/18, 207, , , , 
2023/1/19, 199, , , , 
2023/1/20, 216, , , , 
2023/1/21, 181, , , , 
2023/1/22, 206, , , , 
2023/1/23, 254, , , , 
2023/1/24, 236, , , , 
2023/1/25, 220, , , , 
2023/1/26, 215, , , , 
2023/1/27, 238, , , , 
2023/1/28, 217, , , , 
2023/1/29, 155, , , , 
2023/1/30, 234, , , , 
2023/1/31, 176, , , , 
2023/2/1, 99, , , , 
2023/2/2, 62, , , , 
2023/2/3, 77, , , , 
2023/2/4, 110, , , , 
2023/2/5, 69, , , , 
2023/2/6, 82, , , , 
2023/2/7, 111, , , , 
2023/2/8, 49, , , , 
2023/2/9, 67, , , , 
2023/2/10, 62, , , , 
2023/2/11, 56, 36, , 6, 3
2023/2/12, 84, , , 5, 4
2023/2/13, 103, 58, , 5, 6
2023/2/14, 97, 41, , 13, 7
2023/2/15, 118, 40, , 4, 7
2023/2/16, 108, 27, , 1, 11
2023/2/17, 126, 18, , 1, 8
2023/2/18, 77, 29, , 5, 5
2023/2/19, 92, 39, , 4, 5
2023/2/20, 107, 44, , 3, 6
2023/2/21, 70, 23, , 2, 3
2023/2/22, 58, 49, , 4, 5
2023/2/23, 85, 43, , 3, 4
2023/2/24, 77, 49, , 1, 4
2023/2/25, 90, 12, , 1, 2
2023/2/26, 43, 34, , 2, 4
2023/2/27, 116, 60, , 2, 6
2023/2/28, 114, 55, , 2, 3
2023/3/1, 79, 78, , 1, 3
2023/3/2, 62, 59, , 1, 2
2023/3/3, 50, 55, , 2, 4
2023/3/4, 83, 58, , 4, 4
2023/3/5, 110, 45, , 2, 3
2023/3/6, 66, 20, , 1, 2
2023/3/7, 50, 25, , 1, 2
2023/3/8, 48, 26, , 1, 2
2023/3/9, 50, 50, , 1, 4
2023/3/10, 89, 45, , 1, 4
2023/3/11, 62, 53, , 1, 2
2023/3/12, 74, 21, , 1, 2
2023/3/13, 49, 31, , 2, 5
2023/3/14, 87, 14, , 1, 3
2023/3/15, 35, , , , 
2023/3/16, 32, , , , 
2023/3/17, 60, , , , 
2023/3/18, 50, , , , 
2023/3/19, 91, , , , 
2023/3/20, 114, , , , 
2023/3/21, 101, , , , 
2023/3/22, 83, 21, , 1, 2
2023/3/23, 90, 14, , 1, 3
2023/3/24, 31, , , , 
2023/3/25, 72, , , , 
2023/3/26, 84, 51, , 4, 3
2023/3/27, 101, 43, , 4, 4
2023/3/28, 102, 38, , 2, 4
2023/3/29, 60, 37, , 1, 3
2023/3/30, 57, 37, , 2, 3
2023/3/31, 67, 39, , 3, 3
2023/4/1, 69, 49, , 3, 5
2022/10/29, 137, , , , 
2022/10/30, 86, , , , 
2022/10/31, 47, , , , 
2022/11/1, 75, , , , 
2022/11/2, 93, , , , 
2022/11/3, 54, , , , 
2022/11/4, 76, , , , 
2022/11/5, 68, , , , 
2022/11/6, 78, , , , 
2022/11/7, 93, , , , 
2022/11/8, 51, , , , 
2022/11/9, 36, , , , 
2022/11/10, 74, , , , 
2022/11/11, 131, , , , 
2022/11/12, 146, , , , 
2022/11/13, 135, , , , 
2022/11/14, 157, , , , 
2022/11/15, 123, , , , 
2022/11/16, 111, , , , 
2022/11/17, 45, , , , 
2022/11/18, 61, , , , 
2022/11/19, 56, , , , 
2022/11/20, 84, , , , 
2022/11/21, 79, , , , 
2022/11/22, 107, , , , 
2022/11/23, 71, , , , 
2022/11/24, 57, , , , 
2022/11/25, 67, , , , 
2022/11/26, 130, , , , 
2022/11/27, 172, , , , 
2022/11/28, 156, , , , 
2022/11/29, 149, , , , 
2022/11/30, 140, , , , 
2022/12/1, 96, , , , 
2022/12/2, 51, , , , 
2022/12/3, 98, , , , 
2022/12/8, 166, , , , 
2022/12/9, 128, , , , 
2022/12/10, 114, , , , 
2022/12/11, 178, , , , 
2022/12/12, 200, , , , 
2022/12/13, 233, , , , 
2022/12/14, 183, , , , 
2022/12/15, 136, , , , 
2022/12/16, 117, , , , 
2022/12/17, 105, , , , 
2022/12/18, 172, , , , 
2022/12/19, 177, , , , 
2022/12/20, 174, , , , 
2022/12/21, 157, , , , 
2022/12/22, 125, , , , 
2022/12/23, 117, , , , 
2022/12/24, 131, , , , 
2022/12/25, 161, , , , 
