date, pm25, pm10, o3, no2, co
2023/4/2, 100, , , , 
2023/4/3, 85, , , , 
2023/4/4, 104, , , , 
2023/4/5, 88, , , , 
2023/4/6, 86, , , , 
2023/4/7, 106, , , , 
2023/4/8, 138, , , , 
2023/4/9, 145, , , , 
2023/4/10, 165, , , , 
2023/4/11, 167, , , , 
2023/1/3, 184, , , , 
2023/1/4, 173, , , , 
2023/1/5, 177, , , , 
2023/1/6, 168, , , , 
2023/1/7, 167, , , , 
2023/1/8, 161, , , , 
2023/1/9, 123, , , , 
2023/1/10, 126, , , , 
2023/1/11, 108, , , , 
2023/1/12, 150, , , , 
2023/1/13, 98, , , , 
2023/1/14, 77, , , , 
2023/1/15, 87, , , , 
2023/1/16, 118, , , , 
2023/1/17, 153, , , , 
2023/1/18, 182, , , , 
2023/1/19, 187, , , , 
2023/1/20, 183, , , , 
2023/1/21, 172, , , , 
2023/1/22, 165, , , , 
2023/1/23, 155, , , , 
2023/1/24, 159, , , , 
2023/1/25, 172, , , , 
2023/1/26, 176, , , , 
2023/1/27, 167, , , , 
2023/1/28, 159, , , , 
2023/1/29, 161, , , , 
2023/1/30, 161, , , , 
2023/1/31, 150, , , , 
2023/2/1, 129, , , , 
2023/2/2, 80, , , , 
2023/2/3, 114, , , , 
2023/2/4, 113, , , , 
2023/2/5, 74, , , , 
2023/2/6, 98, , , , 
2023/2/7, 115, , , , 
2023/2/8, 119, , , , 
2023/2/9, 103, , , , 
2023/2/10, 78, , , , 
2023/2/11, 64, , , , 
2023/2/12, 78, , , , 
2023/2/13, 83, , , , 
2023/2/14, 109, , , , 
2023/2/15, 175, , , , 
2023/2/16, 172, , , , 
2023/2/17, 156, , , , 
2023/2/18, 79, , , , 
2023/2/19, 138, , , , 
2023/2/20, 136, , , , 
2023/2/21, 130, , , , 
2023/2/22, 123, , , , 
2023/2/23, 105, , , , 
2023/2/24, 130, , , , 
2023/2/28, 142, , , , 
2023/3/1, 135, , , , 
2023/3/2, 133, , , , 
2023/3/3, 145, , , , 
2023/3/4, 137, , , , 
2023/3/5, 128, , , , 
2023/3/6, 138, , , , 
2023/3/7, 150, , , , 
2023/3/8, 141, , , , 
2023/3/9, 118, , , , 
2023/3/10, 105, , , , 
2023/3/11, 87, , , , 
2023/3/12, 103, , , , 
2023/3/13, 130, , , , 
2023/3/14, 130, , , , 
2023/3/15, 100, , , , 
2023/3/16, 149, , , , 
2023/3/17, 92, , , , 
2023/3/18, 77, , , , 
2023/3/19, 79, , , , 
2023/3/20, 96, , , , 
2023/3/21, 86, , , , 
2023/3/22, 83, , , , 
2023/3/23, 72, , , , 
2023/3/24, 66, , , , 
2023/3/25, 92, , , , 
2023/3/26, 137, , , , 
2023/3/27, 139, , , , 
2023/3/28, 99, , , , 
2023/3/29, 71, , , , 
2023/3/30, 85, , , , 
2023/3/31, 84, , , , 
2023/4/1, 87, , , , 
2022/10/12, 115, , , , 
2022/10/13, 119, , , , 
2022/11/8, 135, , , , 
2022/11/9, 136, , , , 
2022/11/10, 90, , , , 
2022/11/11, 140, , , , 
2022/11/12, 156, , , , 
2022/11/13, 162, , , , 
2022/11/14, 162, , , , 
2022/11/15, 158, , , , 
2022/11/16, 150, , , , 
