date, pm25, pm10, so2, co
2023/1/3, 10, 6, , 
2023/1/4, 16, 5, , 
2023/1/5, 11, 9, , 1
2023/1/6, 17, 10, , 
2023/1/7, 16, 9, , 
2023/1/8, 16, 9, , 
2023/1/9, 16, 10, 1, 
2023/1/10, 20, 18, 1, 
2023/1/11, 45, 20, , 1
2023/1/12, 36, 20, , 1
2023/1/13, 29, 19, , 1
2023/1/14, 33, 16, 1, 1
2023/1/15, 29, 13, , 
2023/1/16, 18, 11, , 1
2023/1/17, 26, 12, , 1
2023/1/18, 28, 17, , 1
2023/1/19, 38, 13, , 1
2023/1/20, 37, 16, , 1
2023/1/21, 23, 19, , 
2023/1/22, 25, 14, 1, 
2023/1/23, 29, 12, , 1
2023/1/24, 24, 13, , 1
2023/1/25, 22, 12, , 1
2023/1/26, 24, 15, , 1
2023/1/27, 21, 8, , 
2023/1/28, 12, 5, , 
2023/1/29, 14, 8, , 
2023/1/30, 9, 8, , 1
2023/1/31, 15, 12, , 1
2023/2/1, 21, 14, , 1
2023/2/2, 29, 12, , 2
2023/2/3, 24, 9, , 1
2023/2/4, 18, 12, , 
2023/2/5, 17, 11, , 
2023/2/6, 16, 15, , 
2023/2/7, 25, 14, , 
2023/2/8, 21, 20, , 1
2023/2/9, 30, 20, , 1
2023/2/10, 30, 23, , 1
2023/2/11, 35, 26, , 1
2023/2/12, 34, 20, , 1
2023/2/13, 31, 17, , 1
2023/2/14, 24, 16, , 1
2023/2/15, 21, 12, , 1
2023/2/16, 19, 11, , 1
2023/2/17, 21, 8, , 1
2023/2/18, 16, 11, , 1
2023/2/19, 16, 12, , 1
2023/2/20, 18, 13, , 1
2023/2/21, 16, 23, , 1
2023/2/22, 36, 24, , 1
2023/2/23, 33, 19, , 1
2023/2/24, 32, 22, , 1
2023/2/25, 32, 19, , 1
2023/2/26, 28, 14, , 1
2023/2/27, 18, 17, , 1
2023/2/28, 20, 16, , 1
2023/3/1, 19, 22, , 1
2023/3/2, 32, 19, , 1
2023/3/3, 30, 13, , 1
2023/3/4, 21, 10, , 1
2023/3/5, 16, 8, , 1
2023/3/6, 13, 12, , 1
2023/3/7, 21, 15, , 2
2023/3/8, 24, 26, , 1
2023/3/9, 34, 25, , 2
2023/3/10, 33, 21, 1, 2
2023/3/11, 31, 15, , 2
2023/3/12, 29, 15, , 1
2023/3/13, 20, 11, , 2
2023/3/14, 21, 10, , 1
2023/3/15, 14, 11, , 1
2023/3/16, 19, 10, , 2
2023/3/17, 11, , , 
2022/10/2, 11, , , 
2022/10/3, 15, , , 
2022/10/4, 17, , , 
2022/10/6, 12, , 1, 1
2022/10/7, 12, , , 
2022/10/8, 11, , 1, 1
2022/10/9, 15, , 1, 
2022/10/10, 23, , , 1
2022/10/11, 18, , , 
2022/10/12, 16, , , 1
2022/10/13, 19, , , 
2022/10/14, 20, , , 
2022/10/15, 14, , , 
2022/10/16, 12, , , 
2022/10/17, 12, , , 
2022/10/18, 15, , , 
2022/10/19, 16, , , 
2022/10/20, 19, , , 
2022/10/21, 13, , , 
2022/10/22, 16, , , 
2022/10/23, 16, , , 
2022/10/24, 16, , , 
2022/10/25, 14, , , 
2022/10/26, 14, , , 
2022/10/27, 19, , , 
2022/10/28, 14, , , 
2022/10/29, 9, , , 
2022/10/30, 13, , , 
2022/10/31, 14, , , 
2022/11/1, 15, , , 
2022/11/2, 13, , , 
2022/11/3, 16, , , 
2022/11/4, 20, , , 
2022/11/5, 26, , , 
2022/11/6, 21, , , 
2022/11/7, 18, , , 
2022/11/8, 16, , , 
2022/11/9, 15, , , 
2022/11/10, 12, , , 
2022/11/11, 13, , , 
2022/11/12, 20, , , 
2022/11/13, 17, , , 
2022/11/14, 15, , , 
2022/11/15, 12, , , 
2022/11/16, 13, , , 
2022/11/17, 18, , , 
2022/11/18, 13, , 1, 
2022/11/19, 15, , , 
2022/11/20, 17, , , 
2022/11/21, 17, , , 
2022/11/22, 21, , , 1
2022/11/23, 21, , , 1
2022/11/24, 18, , , 1
2022/11/25, 20, , , 1
2022/11/26, 21, , , 1
2022/11/27, 15, , , 1
2022/11/28, 12, , , 1
2022/11/29, 14, , , 1
2022/11/30, 18, , , 1
2022/12/1, 17, , , 1
2022/12/2, 11, 7, , 2
2022/12/3, 14, 9, , 1
2022/12/4, 16, 10, , 1
2022/12/5, 13, 11, , 1
2022/12/6, 16, 14, , 1
2022/12/7, 31, 15, , 1
2022/12/8, 22, 19, , 1
2022/12/9, 23, 20, , 1
2022/12/10, 30, 15, 1, 1
2022/12/11, 21, 11, , 1
2022/12/12, 17, 15, , 1
