date, pm25, pm10, so2, co
2022/12/13, 26, 14, , 1
2022/12/14, 18, 15, , 1
2022/12/15, 21, 14, , 1
2022/12/16, 27, 8, , 2
2022/12/17, 20, 9, , 1
2022/12/18, 18, 11, , 1
2022/12/19, 20, 18, , 2
2022/12/20, 28, 23, , 2
2022/12/21, 29, 15, , 2
2022/12/22, 21, 12, , 2
2022/12/23, 21, 8, , 
2022/12/24, 18, 8, , 
2022/12/25, 13, 8, , 
2022/12/26, 15, 11, , 
2022/12/27, 19, 12, , 
2022/12/28, 15, 13, , 
2022/12/29, 16, 12, , 
2022/12/30, 21, 8, , 
2022/12/31, 12, 13, , 
2023/1/1, 39, 20, , 
2023/1/2, 53, 6, , 
2022/7/2, 19, 13, , 
2022/7/3, 16, 10, , 
2022/7/4, 16, 8, , 
2022/7/5, 14, 9, , 
2022/7/6, 19, , , 
2022/7/7, 13, 11, , 
2022/7/8, 21, 7, , 
2022/7/9, 10, 10, , 
2022/7/10, 12, , , 
2022/7/11, 16, , , 
2022/7/12, 17, , , 
2022/7/13, 12, , , 
2022/7/14, 16, , , 
2022/7/15, 11, , , 
2022/7/16, 11, , , 
2022/7/19, 17, 9, , 
2022/7/20, 16, 10, , 
2022/7/21, 17, 11, , 
2022/7/22, 15, 12, , 
2022/7/23, 15, 11, , 
2022/7/24, 13, 9, , 
2022/7/25, 14, 8, , 
2022/7/26, 11, 11, , 
2022/7/27, 15, 10, , 
2022/7/28, 14, 8, , 
2022/7/29, 14, 7, , 
2022/7/30, 11, 10, , 
2022/7/31, 13, 13, , 
2022/8/1, 17, 12, , 
2022/8/2, 14, 11, , 
2022/8/3, 16, 9, , 
2022/8/4, 12, 8, , 
2022/8/5, 12, 8, , 
2022/8/6, 14, 13, , 
2022/8/7, 16, 12, , 
2022/8/8, 16, 12, , 
2022/8/9, 16, , , 
2022/8/10, 14, 16, , 
2022/8/11, 17, , , 
2022/8/12, 16, , , 
2022/8/13, 9, , , 
2022/8/14, 15, , , 
2022/8/15, 15, , , 
2022/8/16, 13, , , 
2022/8/17, 19, , , 
2022/8/18, 17, , , 1
2022/8/19, 11, , , 
2022/8/20, 13, , , 
2022/8/21, 13, , , 
2022/8/22, 10, , , 
2022/8/23, 13, , , 
2022/8/24, 15, , , 1
2022/8/25, 19, , , 1
2022/8/26, 16, , , 
2022/8/27, 14, , , 
2022/8/28, 16, , , 
2022/8/29, 12, , , 
2022/8/30, 12, , , 
2022/8/31, 12, , , 
2022/9/1, 10, , , 
2022/9/2, 9, , , 
2022/9/3, 11, , , 
2022/9/4, 13, , , 
2022/9/5, 13, , , 
2022/9/6, 13, , , 
2022/9/7, 14, , , 
2022/9/8, 13, , , 
2022/9/9, 12, , , 
2022/9/10, 14, , , 
2022/9/11, 12, , , 
2022/9/12, 13, , , 
2022/9/13, 11, , , 
2022/9/14, 12, , , 
2022/9/15, 13, , , 1
2022/9/16, 12, , , 
2022/9/17, 13, , , 
2022/9/18, 12, , , 
2022/9/19, 17, , , 
2022/9/20, 14, , , 
2022/9/21, 15, , , 
2022/9/22, 15, , , 1
2022/9/23, 12, , , 
2022/9/24, 15, , , 
2022/9/25, 16, , , 
2022/9/26, 18, , , 
2022/9/27, 14, , , 1
2022/9/28, 11, , , 
2022/9/29, 12, , , 
2022/9/30, 13, , , 12
2022/10/1, 12, , , 
2022/4/2, 16, 12, , 4
2022/4/3, 20, 14, , 4
2022/4/4, 19, 16, , 4
2022/4/5, 19, 10, , 5
2022/4/6, 13, 9, , 4
2022/4/7, 15, 19, , 
2022/4/8, 28, 21, , 
2022/4/9, 36, 14, , 
2022/4/10, 24, 20, , 
2022/4/11, 35, 15, , 
2022/4/12, 22, 13, , 
2022/4/13, 16, 17, , 
2022/4/14, 29, 13, , 
2022/4/15, 24, , , 
2022/4/20, 27, 9, , 
2022/4/21, 18, 9, , 
2022/4/22, 18, 19, , 
2022/4/23, 30, 10, , 
2022/4/24, 25, 23, , 
2022/4/25, 39, 12, , 
2022/4/26, 21, 8, , 
2022/4/27, 16, 7, , 
2022/4/28, 12, 12, , 
2022/4/29, 17, 11, , 
2022/4/30, 19, 12, , 
2022/5/1, 17, 11, , 
2022/5/2, 17, 10, , 
2022/5/3, 22, 13, , 
2022/5/4, 21, 10, , 
2022/5/5, 17, 12, , 
2022/5/6, 18, 15, , 
2022/5/7, 22, 21, , 
2022/5/8, 29, 17, , 
2022/5/9, 23, 12, , 
2022/5/10, 19, 12, , 
2022/5/11, 19, 13, , 
2022/5/12, 17, 15, , 
2022/5/13, 22, 14, , 
2022/5/14, 23, 11, , 
2022/5/15, 19, 10, , 
2022/5/16, 16, 10, , 
2022/5/17, 20, 11, , 1
2022/5/18, 18, 14, , 
2022/5/19, 18, 15, , 
2022/5/20, 23, 17, , 
2022/5/21, 29, 17, , 
2022/5/22, 30, 13, , 
2022/5/23, 20, 12, , 
2022/5/24, 19, 13, , 
2022/5/25, 22, 11, , 1
2022/5/26, 17, 8, , 
2022/5/27, 13, 8, , 
2022/5/28, 14, 8, , 
2022/5/29, 16, 8, , 
2022/5/30, 14, 11, , 
2022/5/31, 17, 8, , 
2022/6/1, 13, 9, , 
2022/6/2, 13, 6, , 
2022/6/3, 11, 9, , 
2022/6/4, 13, 6, , 
2022/6/5, 15, 6, , 
2022/6/6, 11, 8, , 1
2022/6/7, 12, 9, , 
2022/6/8, 17, 13, , 
2022/6/9, 18, 12, , 
2022/6/10, 18, 8, , 
2022/6/11, 14, 10, , 
2022/6/12, 17, 13, , 
2022/6/13, 19, 12, , 
2022/6/14, 17, 11, , 
2022/6/15, 15, 5, , 
2022/6/16, 12, 7, , 
2022/6/17, 17, 10, , 
2022/6/18, 12, 16, , 
2022/6/19, 22, 11, , 
2022/6/20, 15, 8, , 
2022/6/21, 14, 7, , 
2022/6/22, 13, 10, , 
2022/6/23, 13, 9, , 
2022/6/24, 13, 5, , 1
2022/6/25, 10, 9, , 
2022/6/26, 11, 8, , 
2022/6/27, 16, 8, , 
2022/6/28, 11, 8, , 
2022/6/29, 12, 11, , 
2022/6/30, 16, 14, , 
2022/7/1, 22, 13, , 
2022/1/4, 21, 8, , 5
2022/1/5, 19, 8, , 5
2022/1/6, 13, 7, , 6
2022/1/7, 20, 8, , 5
2022/1/8, 14, 9, , 5
2022/1/9, 17, 10, , 5
2022/1/10, 18, 9, , 5
2022/1/11, 16, 18, , 5
2022/1/12, 25, 16, , 5
2022/1/13, 28, 11, , 5
2022/1/14, 24, 12, , 6
2022/1/15, 23, 12, , 5
2022/1/16, 24, 8, , 5
2022/1/17, 15, 9, , 5
2022/1/18, 21, 12, , 5
2022/1/19, 28, 11, , 5
2022/1/20, 21, 9, , 5
2022/1/21, 17, 10, , 5
2022/1/22, 20, 6, , 5
2022/1/23, 16, 7, , 5
2022/1/24, 15, 11, , 5
2022/1/25, 15, 6, , 5
2022/1/26, 15, 10, , 5
2022/1/27, 11, 11, , 6
2022/1/28, 18, 10, , 5
2022/1/29, 18, 10, , 5
2022/1/30, 15, 7, , 5
2022/1/31, 12, 9, , 5
2022/2/1, 15, 9, , 3
2022/2/2, 11, 9, , 3
2022/2/3, 15, 9, , 3
2022/2/4, 12, 10, , 3
2022/2/5, 17, 8, , 3
2022/2/6, 16, 9, , 3
2022/2/7, 13, 11, , 3
2022/2/8, 13, 9, , 3
2022/2/9, 15, 10, , 3
2022/2/10, 16, 7, , 3
2022/2/11, 16, 9, , 4
2022/2/12, 13, 6, , 3
2022/2/13, 12, 9, , 3
2022/2/14, 15, 8, , 4
2022/2/15, 15, 7, , 4
2022/2/16, 20, 8, , 3
2022/2/17, 13, 11, , 3
2022/2/18, 15, 11, , 3
2022/2/19, 17, 9, , 3
2022/2/20, 16, 6, , 3
2022/2/21, 12, 6, , 3
2022/2/22, 15, 9, , 3
2022/2/23, 13, 12, , 3
2022/2/24, 18, 13, , 3
2022/2/25, 15, 11, , 4
2022/2/26, 18, 9, , 3
2022/2/27, 13, 11, , 4
2022/2/28, 20, 9, , 4
2022/3/1, 16, 8, , 4
2022/3/2, 19, 9, , 4
2022/3/3, 14, 10, , 4
2022/3/4, 16, 7, , 4
2022/3/5, 13, 9, , 4
2022/3/6, 19, 8, , 4
2022/3/7, 17, 7, , 4
2022/3/8, 16, 7, , 4
2022/3/9, 19, 11, , 4
2022/3/10, 21, 15, , 4
2022/3/11, 27, 12, , 4
2022/3/12, 19, 10, , 4
2022/3/13, 15, 12, , 4
2022/3/14, 20, 14, , 4
2022/3/15, 20, 16, , 4
2022/3/16, 28, 10, , 4
2022/3/17, 17, 12, , 4
2022/3/18, 20, 12, , 4
2022/3/19, 17, 8, , 4
2022/3/20, 14, 9, , 4
2022/3/21, 17, 9, , 4
2022/3/22, 20, 8, , 4
2022/3/23, 16, 12, , 4
2022/3/24, 19, 10, , 4
2022/3/25, 18, 9, , 4
2022/3/26, 18, 20, , 4
2022/3/27, 22, 10, , 4
2022/3/28, 15, 11, , 5
2022/3/29, 16, 12, , 5
2022/3/30, 21, 11, , 4
2022/3/31, 21, 7, , 4
2022/4/1, 12, 9, , 4
2021/10/2, 15, 9, , 5
2021/10/3, 14, 8, , 5
2021/10/4, 12, 9, , 5
2021/10/5, 12, 11, , 5
2021/10/6, 16, 13, , 5
2021/10/7, 17, 12, , 5
2021/10/8, 23, 15, , 5
2021/10/9, 23, 18, , 5
2021/10/10, 28, 15, , 6
2021/10/11, 24, 13, , 5
2021/10/12, 20, 9, , 5
2021/10/13, 16, 10, , 5
2021/10/14, 19, 10, , 
2021/10/15, 15, 11, , 6
2021/10/16, 16, 7, , 
2021/10/17, 15, 10, , 6
2021/10/18, 14, 9, , 6
2021/10/19, 15, 6, , 6
2021/10/20, 11, 4, , 6
2021/10/21, 7, 5, , 6
2021/10/22, 11, 6, , 6
2021/10/23, 11, 10, , 6
2021/10/24, 15, 6, , 6
2021/10/25, 11, 9, , 6
2021/10/26, 12, 7, , 
2021/10/27, 13, 4, , 
2021/10/28, 11, 3, , 
2021/10/29, 11, 5, , 
2021/10/30, 13, 6, , 
2021/10/31, 11, 5, , 
2021/11/1, 13, 8, , 
2021/11/2, 14, 7, , 
2021/11/3, 18, 4, 44, 58
2021/11/4, 12, 5, 36, 16
2021/11/5, 18, 9, , 2
2021/11/6, 14, 8, , 2
2021/11/7, 14, 8, , 2
2021/11/8, 13, 6, , 2
2021/11/9, 11, 8, , 3
2021/11/10, 13, 10, , 3
2021/11/11, 12, 11, , 3
2021/11/12, 16, 12, , 3
2021/11/13, 22, 13, , 3
2021/11/14, 34, 10, , 3
2021/11/15, 23, 7, , 3
2021/11/16, 11, 8, , 3
2021/11/17, 19, 9, , 3
2021/11/18, 24, 5, , 3
2021/11/19, 15, 9, , 3
2021/11/20, 16, 8, , 3
2021/11/21, 14, 9, , 3
2021/11/22, 18, 6, , 3
2021/11/23, 14, 10, , 3
2021/11/24, 13, 11, , 3
2021/11/25, 19, 12, , 3
2021/11/26, 23, 7, , 3
2021/11/27, 10, 5, , 3
2021/11/28, 15, 5, , 3
2021/12/3, 16, 11, , 3
2021/12/4, 15, 13, 1, 4
2021/12/5, 17, 7, , 3
2021/12/6, 15, 16, , 3
2021/12/7, 19, 7, , 4
2021/12/8, 13, 16, , 3
2021/12/9, 24, 17, , 3
2021/12/10, 19, 10, , 3
2021/12/11, 13, 9, , 3
2021/12/12, 13, 6, , 3
2021/12/13, 11, 10, , 4
2021/12/14, 15, 9, , 3
2021/12/15, 18, 10, , 4
2021/12/16, 15, 11, , 4
2021/12/17, 15, 8, , 4
2021/12/18, 14, 10, 2, 4
2021/12/19, 19, 8, , 4
2021/12/20, 13, 11, , 4
2021/12/21, 11, 7, , 4
2021/12/22, 12, 10, , 4
2021/12/23, 16, 10, , 4
2021/12/24, 15, 7, , 4
2021/12/25, 15, 7, , 4
2021/12/26, 10, 8, , 4
2021/12/27, 12, 15, , 4
2021/12/28, 19, 13, , 4
2021/12/29, 18, 6, , 4
2021/12/30, 13, 6, , 4
2021/12/31, 11, 7, , 4
2022/1/1, 15, 10, , 4
2022/1/2, 22, 6, , 5
2022/1/3, 13, 9, , 5
2021/7/2, 14, 11, , 4
2021/7/3, 21, 8, , 4
2021/7/4, 16, 5, , 4
2021/7/5, 14, 7, , 4
2021/7/6, 9, 6, , 4
2021/7/7, 15, 6, , 4
2021/7/8, 12, 7, , 5
2021/7/9, 10, 7, , 4
2021/7/10, 10, 6, , 5
2021/7/11, 14, 8, , 4
2021/7/12, 16, 9, , 5
2021/7/13, 17, 9, , 5
2021/7/14, 16, 6, , 5
2021/7/15, 14, 8, , 5
2021/7/16, 16, 8, , 5
2021/7/17, 13, 7, , 5
2021/7/18, 14, 9, , 5
2021/7/19, 14, 9, , 5
2021/7/20, 15, 10, , 5
2021/7/21, 22, 10, , 5
2021/7/22, 16, 11, , 5
2021/7/23, 14, 10, , 5
2021/7/24, 17, 7, , 5
2021/7/25, 12, 7, , 5
2021/7/26, 15, 10, , 5
2021/7/27, 18, 11, , 5
2021/7/29, 15, 7, , 5
2021/7/30, 12, 10, , 5
2021/7/31, 15, 13, , 5
2021/8/1, 16, 13, , 5
2021/8/2, 18, 13, , 4
2021/8/3, 21, 10, , 2
2021/8/4, 20, , , 
2021/8/7, 20, 13, , 3
2021/8/8, 19, 10, , 3
2021/8/9, 16, 10, , 3
2021/8/10, 15, 6, , 3
2021/8/11, 12, 6, , 3
2021/8/12, 14, 5, , 3
2021/8/13, 11, 8, , 3
2021/8/14, 13, 7, , 3
2021/8/15, 11, 6, , 3
2021/8/16, 12, 5, , 4
2021/8/17, 14, 7, , 4
2021/8/18, 18, 8, , 4
2021/8/19, 12, 8, , 3
2021/8/20, 18, 11, , 3
2021/8/21, 18, 11, , 3
2021/8/22, 16, 10, , 4
2021/8/23, 17, 6, , 4
2021/8/24, 16, 10, , 4
2021/8/25, 18, 11, , 4
2021/8/26, 19, 9, , 4
2021/8/27, 16, 10, , 4
2021/8/28, 14, 7, , 5
2021/8/29, 14, 5, , 5
2021/8/30, 11, 8, , 5
2021/8/31, 14, 7, , 5
2021/9/1, 13, 5, , 5
2021/9/2, 14, 8, , 4
2021/9/3, 12, 13, , 4
2021/9/4, 14, 11, , 5
2021/9/5, 19, 10, , 4
2021/9/6, 16, 7, , 5
2021/9/7, 13, 8, , 5
2021/9/8, 11, 8, , 5
2021/9/9, 13, 9, , 4
2021/9/10, 13, 8, , 4
2021/9/11, 18, 8, , 5
2021/9/12, 13, 6, , 4
2021/9/13, 14, 7, , 4
2021/9/14, 14, 9, , 4
2021/9/15, 16, 6, , 4
2021/9/16, 12, 13, , 4
2021/9/17, 21, 12, , 4
2021/9/18, 18, 11, , 5
2021/9/19, 16, 10, , 5
2021/9/20, 19, 13, , 5
2021/9/25, 13, 10, , 5
2021/9/26, 14, 11, , 5
2021/9/27, 14, 7, , 5
2021/9/28, 12, 9, , 5
2021/9/29, 12, 8, , 5
2021/9/30, 12, 9, , 5
2021/10/1, 13, 9, , 5
2021/4/2, 14, 5, , 5
2021/4/3, 15, 6, , 5
2021/4/4, 14, 9, , 5
2021/4/5, 16, 12, , 5
2021/4/6, 21, 11, , 5
2021/4/7, 16, 6, , 5
2021/4/8, 13, 8, , 5
2021/4/9, 14, 8, , 5
2021/4/10, 15, 7, , 5
2021/4/11, 14, 6, , 5
2021/4/12, 14, 4, , 5
2021/4/13, 11, 4, , 5
2021/4/14, 13, 4, , 5
2021/4/15, 9, 7, , 5
2021/4/16, 10, 7, , 5
2021/4/17, 14, 11, , 5
2021/4/18, 15, 6, , 5
2021/4/19, 15, 10, , 5
2021/4/20, 22, 13, , 5
2021/4/21, 29, 14, , 5
2021/4/27, 24, 9, , 5
2021/4/28, 20, 6, , 6
2021/4/29, 19, 7, , 6
2021/4/30, 16, 8, , 5
2021/5/1, 12, 9, , 5
2021/5/2, 16, 11, , 5
2021/5/3, 16, 13, , 5
2021/5/4, 20, 9, , 6
2021/5/5, 17, 10, , 6
2021/5/6, 17, 7, , 6
2021/5/7, 17, 12, , 6
2021/5/8, 17, 14, , 6
2021/5/9, 21, 10, , 6
2021/5/10, 17, 10, , 6
2021/5/11, 18, 9, , 6
2021/5/12, 16, 8, , 6
2021/5/13, 14, 9, , 6
2021/5/14, 18, 6, , 6
2021/5/15, 15, 16, , 6
2021/5/16, 17, 9, , 6
2021/5/17, 16, 12, , 6
2021/5/18, 17, 13, , 6
2021/5/19, 17, 20, , 6
2021/5/20, 16, 13, , 4
2021/5/21, 18, 13, , 3
2021/5/22, 17, 10, , 3
2021/5/23, 16, 9, , 3
2021/5/24, 19, 10, , 3
2021/5/25, 22, 13, , 4
2021/5/26, 20, 8, , 4
2021/5/27, 15, 6, , 4
2021/5/28, 11, 7, , 4
2021/5/29, 11, 8, , 4
2021/5/30, 14, 6, , 3
2021/5/31, 16, 8, , 4
2021/6/1, 16, 7, , 4
2021/6/2, 12, 6, , 3
2021/6/3, 9, 6, , 4
2021/6/4, 12, 7, , 3
2021/6/5, 14, 12, , 4
2021/6/6, 16, 8, , 4
2021/6/7, 15, 10, , 4
2021/6/8, 14, 12, , 4
2021/6/9, 17, 12, , 3
2021/6/10, 15, 10, , 4
2021/6/11, 16, 4, , 4
2021/6/12, 12, 7, , 4
2021/6/13, 14, 7, , 4
2021/6/14, 13, 6, , 4
2021/6/15, 13, 9, , 4
2021/6/16, 9, 7, , 3
2021/6/17, 10, 9, , 4
2021/6/18, 14, 9, , 4
2021/6/19, 38, 7, , 4
2021/6/20, 13, 7, , 4
2021/6/21, 13, 6, , 4
2021/6/22, 14, 6, , 4
2021/6/23, 15, 5, , 4
2021/6/24, 18, 6, , 4
2021/6/25, 14, 7, , 4
2021/6/26, 13, 8, , 4
2021/6/27, 18, 6, , 4
2021/6/28, 15, 6, , 4
2021/6/29, 13, 8, , 4
2021/6/30, 14, 8, , 4
2021/7/1, 13, 7, , 4
2021/1/5, 15, 7, , 5
2021/1/6, 12, 7, , 5
2021/1/7, 10, 7, , 5
2021/1/8, 11, 8, , 5
2021/1/9, 15, 8, , 5
2021/1/10, 14, 8, , 5
2021/1/11, 12, 8, , 5
2021/1/12, 12, 8, , 5
2021/1/13, 14, 12, , 5
2021/1/14, 20, 15, , 5
2021/1/15, 24, 12, , 5
2021/1/16, 26, , , 
2021/1/18, 24, 8, , 5
2021/1/19, 13, 8, , 5
2021/1/20, 13, 12, , 5
2021/1/21, 17, 14, , 5
2021/1/22, 19, 17, , 5
2021/1/23, 23, 8, , 5
2021/1/24, 15, 15, , 5
2021/1/25, 21, 12, , 6
2021/1/26, 22, 18, , 5
2021/1/27, 20, 18, , 6
2021/1/28, 22, 16, , 6
2021/1/29, 20, 11, , 6
2021/1/30, 19, 8, , 6
2021/1/31, 11, 8, , 6
2021/2/1, 11, 6, , 6
2021/2/2, 16, 10, , 6
2021/2/3, 17, 15, , 6
2021/2/4, 20, 11, , 6
2021/2/5, 15, 9, , 7
2021/2/6, 14, 12, , 7
2021/2/7, 18, 14, , 6
2021/2/8, 21, 11, , 6
2021/2/9, 16, 16, , 6
2021/2/10, 20, 18, , 6
2021/2/11, 21, 15, , 7
2021/2/12, 15, 12, , 6
2021/2/13, 18, 12, , 6
2021/2/14, 17, 12, , 6
2021/2/15, 22, 12, , 6
2021/2/16, 21, 10, , 6
2021/2/17, 20, 7, , 6
2021/2/18, 13, 7, , 6
2021/2/19, 13, 9, , 6
2021/2/20, 14, 12, , 6
2021/2/21, 15, 12, , 6
2021/2/22, 20, 17, , 6
2021/2/23, 29, 16, , 6
2021/2/24, 20, 16, , 6
2021/2/25, 23, 17, , 6
2021/2/26, 26, 18, , 6
2021/2/27, 25, 14, , 6
2021/2/28, 27, 12, , 6
2021/3/1, 19, 17, , 6
2021/3/2, 26, 17, , 6
2021/3/3, 24, 12, , 6
2021/3/4, 17, 8, , 4
2021/3/5, 14, 5, , 4
2021/3/6, 13, 9, , 4
2021/3/7, 15, 13, , 4
2021/3/8, 17, 9, , 4
2021/3/9, 17, 7, , 4
2021/3/10, 14, 10, , 4
2021/3/11, 21, 8, , 4
2021/3/12, 17, 12, , 4
2021/3/13, 20, 10, , 4
2021/3/14, 13, 9, , 4
2021/3/15, 16, 8, , 4
2021/3/16, 14, 7, , 4
2021/3/17, 9, 12, , 4
2021/3/18, 14, 8, , 4
2021/3/19, 16, 17, , 4
2021/3/20, 22, 16, , 4
2021/3/21, 23, 23, , 4
2021/3/22, 28, 23, , 5
2021/3/23, 28, 18, , 4
2021/3/24, 22, 21, , 4
2021/3/25, 21, 24, , 4
2021/3/26, 34, 19, , 4
2021/3/27, 22, 20, , 4
2021/3/28, 16, 26, , 4
2021/3/29, 22, , , 4
2021/3/30, 17, 11, , 4
2021/3/31, 15, 9, , 4
2021/4/1, 14, 6, , 4
2020/10/2, 15, 7, , 2
2020/10/3, 17, 7, , 2
2020/10/4, 11, 7, , 2
2020/10/5, 13, 6, , 2
2020/10/6, 13, 11, , 2
2020/10/7, 19, 12, , 2
2020/10/8, 16, 17, , 2
2020/10/9, 28, 19, , 2
2020/10/10, 25, 13, , 2
2020/10/11, 22, 8, , 2
2020/10/12, 14, 9, , 2
2020/10/13, 18, 18, , 2
2020/10/14, 28, 13, , 2
2020/10/15, 22, 10, , 2
2020/10/16, 16, 8, , 2
2020/10/17, 13, 6, , 2
2020/10/18, 13, 9, , 2
2020/10/19, 12, 9, , 2
2020/10/20, 17, 13, , 3
2020/10/21, 15, 10, , 2
2020/10/22, 17, 9, , 3
2020/10/23, 15, 7, , 2
2020/10/24, 19, 10, , 2
2020/10/25, 20, 14, , 3
2020/10/26, 27, 16, , 3
2020/10/27, 27, 14, , 3
2020/10/28, 25, 9, , 3
2020/10/29, 15, 9, , 3
2020/10/30, 18, 10, , 3
2020/10/31, 13, 9, , 3
2020/11/1, 15, 8, , 3
2020/11/2, 15, 7, , 3
2020/11/3, 13, 7, , 3
2020/11/4, 15, 7, , 3
2020/11/5, 14, 11, , 3
2020/11/6, 13, 14, , 3
2020/11/7, 16, 12, , 3
2020/11/8, 15, 15, , 3
2020/11/9, 18, 12, , 3
2020/11/10, 19, 13, , 3
2020/11/11, 16, 15, , 3
2020/11/12, 19, 14, , 3
2020/11/13, 15, 10, , 3
2020/11/14, 14, 12, , 3
2020/11/15, 15, 8, , 4
2020/11/16, 13, 6, , 4
2020/11/17, 12, 5, , 4
2020/11/18, 13, 6, , 3
2020/11/19, 15, 12, , 4
2020/11/20, 15, 11, , 4
2020/11/21, 17, 10, , 3
2020/11/22, 17, 16, , 3
2020/11/23, 20, 12, , 4
2020/11/24, 28, 9, , 3
2020/11/25, 18, 10, , 3
2020/11/26, 13, 11, , 3
2020/11/27, 15, 9, , 3
2020/11/28, 14, 14, , 3
2020/11/29, 16, 6, , 4
2020/11/30, 19, 10, 2, 3
2020/12/1, 13, 8, , 4
2020/12/2, 13, 8, , 4
2020/12/3, 11, 9, , 4
2020/12/4, 18, 7, , 3
2020/12/5, 13, 16, , 3
2020/12/6, 19, 14, , 3
2020/12/7, 22, 10, , 4
2020/12/8, 17, 12, , 4
2020/12/9, 21, 13, , 4
2020/12/10, 23, 14, , 4
2020/12/11, 21, 10, , 4
