date, pm25, pm10, o3, no2, so2
2022/11/24, 27, 11, 26, 3, 5
2022/11/25, 28, 12, 26, 5, 
2022/11/26, 27, 13, 25, 2, 2
2022/11/27, 28, 25, 28, 3, 2
2022/11/28, 42, 22, 18, 10, 
2022/11/29, 52, 19, 14, 10, 
2022/11/30, 64, 15, 15, 4, 
2022/12/1, 56, 17, 13, 4, 
2022/12/2, 60, 25, 12, 13, 
2022/12/3, 74, 19, 11, 13, 
2022/12/4, 58, 11, 14, 10, 
2022/12/5, 35, 10, 9, 12, 
2022/12/6, 28, 11, 15, 12, 
2022/12/7, 25, 11, 17, 18, 
2022/12/8, 29, 26, 10, 24, 1
2022/12/9, 75, 16, 22, 13, 
2022/12/10, 52, 11, 23, 13, 
2022/12/11, 39, 22, 11, 19, 1
2022/12/12, 71, 30, 6, 19, 1
2022/12/13, 89, 28, 11, 15, 2
2022/12/14, 81, 24, 16, 18, 
2022/12/15, 75, 29, 6, 30, 2
2022/12/16, 79, 44, 13, 21, 2
2022/12/17, 118, 15, 17, 5, 7
2022/12/18, 47, 15, 17, 5, 1
2022/12/19, 51, 7, 27, 3, 1
2022/12/20, 28, 12, 25, 5, 1
2022/12/21, 29, 12, 26, 6, 1
2022/12/22, 24, 13, 19, 15, 
2022/12/23, 43, 15, 17, 11, 
2022/12/24, 55, 13, 24, 4, 4
2022/12/25, 31, 11, 25, 3, 2
2022/12/26, 26, 10, 29, 2, 
2022/12/27, 20, 7, 28, 3, 3
2022/12/28, 13, 8, 32, 3, 2
2022/12/29, 20, 8, 29, 2, 
2022/12/30, 17, 10, 29, 2, 1
2022/12/31, 19, 9, 24, 6, 1
2023/1/1, 27, 6, 31, 3, 1
2023/1/2, 21, 7, 22, 8, 
2022/7/2, 17, 8, 24, 1, 2
2022/7/3, 17, 9, 23, 1, 
2022/7/4, 11, 8, 24, 1, 
2022/7/5, 16, 9, 24, 3, 
2022/7/6, 13, 10, 17, 2, 
2022/7/7, 20, 11, 24, 3, 
2022/7/8, 24, 10, 18, 5, 
2022/7/9, 28, 9, 22, 2, 
2022/7/10, 23, 8, 21, 3, 
2022/7/11, 17, 12, 38, 8, 1
2022/7/12, 33, 15, 36, 4, 
2022/7/13, 39, 15, 27, 3, 
2022/7/14, 35, , 21, 3, 
2022/7/19, 32, 26, 57, 6, 1
2022/7/20, 48, 23, 36, 3, 
2022/7/21, 47, 13, 20, 3, 
2022/7/22, 22, 12, 16, 7, 
2022/7/23, 30, 13, 18, 4, 2
2022/7/24, 35, 9, 19, 1, 1
2022/7/25, 28, 8, 17, 1, 
2022/7/26, 30, 9, 25, 4, 
2022/7/27, 14, 12, 30, 3, 1
2022/7/28, 25, 17, 18, 8, 
2022/7/29, 41, 22, 32, 6, 
2022/7/30, 46, 14, 25, 2, 
2022/7/31, 30, 7, 25, 2, 
2022/8/1, 13, 9, 24, 3, 1
2022/8/2, 17, 6, 14, 1, 
2022/8/3, 13, 8, 25, 1, 
2022/8/4, 15, 10, 25, 2, 
2022/8/5, 15, 11, 25, 2, 1
2022/8/6, 24, 12, 25, 4, 
2022/8/7, 32, 10, 25, 3, 
2022/8/8, 23, 12, 27, 6, 
2022/8/9, 38, 15, 33, 8, 
2022/8/10, 46, 20, 58, 9, 2
2022/8/11, 53, 25, 74, 10, 
2022/8/12, 58, 22, 53, 9, 
2022/8/13, 56, 25, 67, 9, 1
2022/8/14, 52, 27, 73, 6, 1
2022/8/15, 57, 22, 39, 8, 
2022/8/16, 56, 15, 35, 4, 
2022/8/17, 52, 12, 25, 5, 
2022/8/18, 35, 14, 23, 3, 5
2022/8/19, 45, 12, 23, 2, 
2022/8/20, 37, 12, 23, 1, 1
2022/8/21, 34, 11, 26, 2, 
2022/8/22, 34, 11, 21, 6, 
