date, pm25, pm10
2023/4/2, 29, 
2023/4/3, 67, 
2023/4/4, 109, 
2023/4/5, 78, 
2023/4/6, 89, 62
2023/4/7, 65, 36
2023/4/8, 91, 
2023/4/9, 115, 
2023/4/10, 102, 
2023/4/11, 36, 30
2023/4/12, 34, 
2023/1/3, 55, 
2023/1/4, 40, 
2023/1/5, 70, 
2023/1/6, 67, 
2023/1/7, 42, 
2023/1/8, 43, 
2023/1/9, 50, 
2023/1/10, 56, 29
2023/1/11, 52, 37
2023/1/12, 92, 36
2023/1/13, 89, 64
2023/1/14, 119, 
2023/1/15, 95, 
2023/1/16, 57, 18
2023/1/17, 58, 44
2023/1/18, 63, 57
2023/1/19, 115, 34
2023/1/20, 76, 34
2023/1/21, 65, 
2023/1/22, 67, 
2023/1/23, 56, 
2023/1/24, 51, 
2023/1/25, 52, 45
2023/1/26, 61, 
2023/1/27, 66, 49
2023/1/28, 63, 31
2023/1/29, 71, 
2023/1/30, 74, 
2023/1/31, 75, 
2023/2/1, 95, 39
2023/2/2, 68, 27
2023/2/3, 64, 2
2023/2/4, 69, 
2023/2/5, 94, 
2023/2/6, 67, 
2023/2/7, 72, 
2023/2/8, 56, 
2023/2/9, 66, 
2023/2/10, 51, 
2023/2/11, 47, 
2023/2/12, 44, 
2023/2/13, 41, 42
2023/2/14, 54, 33
2023/2/15, 39, 40
2023/2/16, 45, 39
2023/2/17, 56, 27
2023/2/18, 64, 60
2023/2/19, 94, 67
2023/2/20, 93, 34
2023/2/21, 51, 27
2023/2/22, 49, 22
2023/2/23, 44, 27
2023/2/24, 45, 
2023/2/28, 53, 
2023/3/1, 55, 
2023/3/2, 68, 
2023/3/3, 61, 
2023/3/4, 59, 
2023/3/5, 48, 
2023/3/6, 64, 
2023/3/7, 46, 
2023/3/8, 53, 
2023/3/9, 66, 
2023/3/10, 28, 
2023/3/11, 85, 
2023/3/12, 91, 
2023/3/13, 108, 
2023/3/14, 92, 
2023/3/15, 64, 
2023/3/16, 68, 
2023/3/17, 97, 
2023/3/18, 70, 
2023/3/19, 75, 
2023/3/20, 101, 
2023/3/21, 123, 
2023/3/22, 89, 
2023/3/23, 68, 
2023/3/24, 41, 
2023/3/25, 77, 
2023/3/26, 89, 
2023/3/27, 71, 
2023/3/28, 66, 
2023/3/29, 95, 
2023/3/30, 91, 
2023/3/31, 78, 
2023/4/1, 53, 
2022/10/2, 103, 
2022/10/3, 80, 
2022/10/4, 118, 
2022/10/5, 98, 
2022/10/6, 106, 
2022/10/7, 118, 
2022/10/8, 99, 
2022/10/9, 79, 
2022/10/10, 119, 
2022/10/11, 100, 
2022/10/12, 151, 
2022/10/13, 142, 
2022/10/14, 123, 
2022/10/15, 107, 
2022/10/16, 118, 
2022/10/17, 129, 
2022/10/18, 126, 
2022/10/19, 134, 
2022/10/20, 135, 
2022/10/21, 125, 
2022/10/22, 86, 
2022/10/23, 111, 
2022/10/24, 87, 
2022/10/25, 62, 
2022/10/26, 83, 
2022/10/27, 68, 
2022/10/28, 98, 
2022/10/29, 94, 
2022/10/30, 99, 
2022/10/31, 91, 
2022/11/1, 97, 
2022/11/2, 127, 
2022/11/3, 127, 
2022/11/4, 114, 
2022/11/5, 137, 
2022/11/6, 123, 
2022/11/7, 91, 
2022/11/8, 100, 
2022/11/9, 131, 
2022/11/10, 116, 
2022/11/11, 88, 
2022/11/12, 69, 
2022/11/13, 70, 
2022/11/14, 89, 
2022/11/15, 88, 
2022/11/16, 82, 
2022/11/17, 76, 
2022/11/18, 85, 
2022/11/19, 70, 
2022/11/20, 84, 
2022/11/21, 64, 
2022/11/22, 70, 
2022/11/23, 70, 
2022/11/24, 79, 
2022/11/25, 75, 
2022/11/26, 107, 
2022/11/27, 117, 
2022/11/28, 130, 
2022/11/29, 118, 
2022/11/30, 108, 
2022/12/1, 94, 
2022/12/2, 102, 
2022/12/3, 104, 
2022/12/4, 97, 
2022/12/5, 121, 
2022/12/6, 129, 
2022/12/7, 116, 
2022/12/8, 132, 
2022/12/9, 111, 
2022/12/10, 56, 
2022/12/11, 80, 
2022/12/12, 64, 
2022/12/13, 42, 12
2022/12/14, 40, 
2022/12/15, 41, 
2022/12/16, 58, 
2022/12/17, 79, 
2022/12/18, 122, 
2022/12/19, 126, 
2022/12/20, 128, 
2022/12/21, 96, 
2022/12/22, 93, 
2022/12/23, 56, 
2022/12/24, 53, 
2022/12/25, 103, 
2022/12/26, 59, 
2022/12/27, 79, 
2022/12/28, 47, 
2022/12/29, 57, 
2022/12/30, 54, 
2022/12/31, 75, 
2023/1/1, 75, 
2023/1/2, 57, 
2022/7/2, 142, 
2022/7/3, 160, 
2022/7/4, 125, 
2022/7/5, 77, 
2022/7/6, 106, 
2022/7/7, 89, 
2022/7/8, 113, 
2022/7/9, 108, 
2022/7/10, 98, 
2022/7/11, 110, 
2022/7/12, 140, 
2022/7/13, 135, 
2022/7/14, 127, 
2022/7/15, 108, 44
2022/7/16, 88, 
2022/7/17, 69, 
2022/7/18, 98, 
2022/7/19, 147, 
2022/7/20, 132, 
2022/7/21, 144, 58
2022/7/22, 137, 56
2022/7/23, 131, 49
2022/7/24, 90, 
2022/7/25, 106, 41
2022/7/26, 97, 52
2022/7/27, 112, 62
2022/7/28, 141, 71
2022/7/29, 139, 38
2022/7/30, 103, 
2022/7/31, 112, 
2022/8/1, 139, 
2022/8/2, 87, 
2022/8/3, 148, 
2022/8/4, 138, 
2022/8/5, 89, 
2022/8/6, 71, 
2022/8/7, 105, 
2022/8/8, 130, 
2022/8/9, 95, 
2022/8/10, 89, 
2022/8/11, 120, 
2022/8/12, 120, 
2022/8/13, 103, 
2022/8/14, 102, 
2022/8/15, 105, 
2022/8/16, 97, 
2022/8/17, 114, 
2022/8/18, 103, 
2022/8/19, 97, 
2022/8/20, 98, 
2022/8/21, 119, 
2022/8/22, 119, 
2022/8/23, 115, 
2022/8/24, 148, 
2022/8/25, 144, 
2022/8/26, 126, 
2022/8/27, 158, 
2022/8/28, 145, 
2022/8/29, 122, 
2022/8/30, 125, 
2022/8/31, 123, 
2022/9/1, 148, 
2022/9/2, 110, 
2022/9/3, 128, 
2022/9/4, 97, 
2022/9/5, 57, 
2022/9/6, 132, 
2022/9/7, 105, 
2022/9/8, 110, 
2022/9/9, 128, 
2022/9/10, 138, 
2022/9/11, 125, 
2022/9/12, 113, 
2022/9/13, 102, 
2022/9/14, 135, 
2022/9/15, 135, 
2022/9/16, 134, 
2022/9/17, 133, 
2022/9/18, 135, 
2022/9/19, 158, 
2022/9/20, 138, 
2022/9/21, 137, 
2022/9/22, 126, 
2022/9/23, 141, 
2022/9/24, 138, 
2022/9/25, 102, 
2022/9/26, 126, 
2022/9/27, 121, 
2022/9/28, 102, 
2022/9/29, 134, 
2022/9/30, 129, 
2022/10/1, 132, 
2022/4/2, 138, 62
2022/4/3, 85, 33
2022/4/4, 51, 17
2022/4/5, 91, 52
2022/4/6, 125, 38
2022/4/7, 94, 43
2022/4/8, 102, 27
