date, pm25, no2, so2, co
2023/4/2, 23, , , 
2023/4/3, 29, , , 
2023/4/4, 16, , , 
2023/4/5, 15, , , 
2023/4/6, 20, , , 
2023/4/7, 20, , , 
2023/4/8, 17, , , 
2023/4/9, 22, , , 
2023/4/10, 15, , , 
2023/4/11, 17, , , 
2023/4/12, 20, , , 
2023/1/3, 32, 8, 2, 
2023/1/4, 41, 9, 3, 
2023/1/5, 51, 4, , 
2023/1/6, 13, 5, , 
2023/1/7, 17, 4, , 
2023/1/8, 21, 5, , 
2023/1/9, 20, 2, , 
2023/1/10, 13, 4, , 
2023/1/11, 22, 6, , 
2023/1/12, 30, 6, , 
2023/1/13, 25, 4, , 
2023/1/14, 19, 3, , 
2023/1/15, 19, 3, , 
2023/1/16, 17, 5, , 
2023/1/17, 21, 2, , 
2023/1/18, 16, 7, 2, 
2023/1/19, 33, 8, 4, 
2023/1/20, 56, 3, , 
2023/1/21, 26, 4, 1, 
2023/1/22, 43, 7, 11, 
2023/1/23, 104, 7, 7, 
2023/1/24, 56, 3, , 
2023/1/25, 26, 5, , 
2023/1/26, 21, 5, , 
2023/1/27, 20, 2, , 
2023/1/28, 13, 8, , 
2023/1/29, 31, 3, , 
2023/1/30, 21, 4, , 
2023/1/31, 25, 10, 1, 
2023/2/1, 49, 6, 1, 
2023/2/2, 60, , 2, 
2023/2/3, 73, , 4, 
2023/2/4, 133, , 3, 
2023/2/5, 147, , 4, 
2023/2/6, 155, , 1, 
2023/2/7, 107, , , 
2023/2/8, 56, , , 
2023/2/9, 41, , , 
2023/2/10, 52, , 2, 
2023/2/11, 84, , 2, 
2023/2/12, 123, , 4, 
2023/2/13, 114, , 19, 
2023/2/14, 148, , , 
2023/2/15, 42, , 4, 
2023/2/16, 82, , 3, 
2023/2/17, 116, , , 
2023/2/18, 29, , , 
2023/2/19, 32, , 1, 
2023/2/20, 47, , , 
2023/2/21, 37, , 1, 
2023/2/22, 72, , , 
2023/2/24, 46, , 1, 
2023/2/25, 43, , , 
2023/2/26, 16, , , 
2023/2/27, 29, , , 
2023/2/28, 22, , , 
2023/3/1, 19, , , 
2023/3/2, 19, , , 
2023/3/3, 14, , , 
2023/3/4, 23, , , 
2023/3/5, 14, , , 
2023/3/6, 19, , 1, 
2023/3/7, 30, , , 
2023/3/8, 15, , 1, 
2023/3/9, 19, , , 
2023/3/10, 17, , 2, 
2023/3/11, 43, , , 
2023/3/12, 19, , , 
2023/3/13, 18, , , 
2023/3/14, 12, , , 
2023/3/15, 16, , , 
2023/3/16, 37, , , 
2023/3/18, 72, , 1, 
2023/3/19, 21, , , 
2023/3/20, 16, , , 
2023/3/21, 12, , , 
2023/3/22, 18, , , 
2023/3/23, 25, , 3, 
2023/3/24, 35, , , 
2023/3/25, 21, , , 
2023/3/26, 18, , , 
2023/3/27, 20, , , 
2023/3/28, 16, , , 
2023/3/29, 16, , , 
2023/3/30, 20, , , 
2023/3/31, 47, , , 
2023/4/1, 14, , , 
2022/10/2, 16, , , 
2022/10/3, 17, , , 
2022/10/4, 17, , , 
2022/10/5, 26, , , 
2022/10/6, 22, , , 
2022/10/7, 14, , , 
2022/10/8, 17, , , 
2022/10/9, 20, , , 
2022/10/10, 14, , , 
2022/10/11, 18, , , 
2022/10/12, 17, , , 
2022/10/13, 13, , , 
2022/10/14, 10, , , 
2022/10/15, 12, , , 
2022/10/16, 28, , 2, 
2022/10/17, 30, 1, 3, 
2022/10/18, 40, , , 
2022/10/19, 15, , , 
2022/10/20, 15, , , 
2022/10/21, 25, , , 
2022/10/22, 15, , , 
2022/10/23, 19, , , 
2022/10/24, 14, , , 
2022/10/25, 12, , , 
2022/10/26, 18, 1, , 
2022/10/27, 40, , , 
2022/10/28, 32, , , 
2022/10/29, 19, , , 
2022/10/30, 15, , , 
2022/10/31, 17, , , 
2022/11/1, 25, 1, , 
2022/11/2, 46, , , 
2022/11/3, 41, , , 
2022/11/4, 37, , , 
2022/11/5, 19, 8, , 
2022/11/6, 35, 7, , 
2022/11/7, 32, 4, , 
2022/11/8, 16, 6, , 
2022/11/9, 18, 10, , 
2022/11/10, 37, 6, , 
2022/11/11, 21, 6, , 
2022/11/12, 16, 5, , 
2022/11/13, 12, 5, , 
2022/11/14, 15, 5, , 
2022/11/15, 14, 7, , 
2022/11/16, 17, 3, , 
2022/11/17, 12, 4, , 
2022/11/18, 13, 6, , 
2022/11/19, 25, 9, , 
2022/11/20, 36, 6, , 
2022/11/21, 20, 4, , 
2022/11/22, 15, 12, , 
2022/11/23, 31, 3, , 
2022/11/24, 17, 4, , 
2022/11/25, 19, 6, , 
2022/11/26, 21, 3, , 
2022/11/27, 19, 4, , 
2022/11/28, 18, 5, 1, 
2022/11/29, 19, 4, , 
2022/11/30, 17, 5, , 
2022/12/1, 24, 6, , 
2022/12/2, 29, 4, , 
2022/12/3, 19, , , 
2022/12/6, 19, 5, , 
2022/12/7, 24, 4, , 
2022/12/8, 24, 3, , 
2022/12/9, 24, 3, , 
2022/12/10, 21, 2, , 
2022/12/11, 28, 3, , 
2022/12/12, 35, 9, 3, 
2022/12/13, 88, 10, 3, 
2022/12/14, 79, 10, , 
2022/12/15, 84, 9, , 
2022/12/16, 78, 4, , 
2022/12/17, 32, 5, , 
2022/12/18, 26, 6, , 
2022/12/19, 25, 4, , 
2022/12/20, 23, 9, , 
2022/12/21, 39, 5, , 
2022/12/22, 24, 3, , 
2022/12/23, 18, 7, , 
2022/12/24, 20, 14, 2, 
