date, pm25, no2, so2, co
2022/12/25, 47, 5, , 
2022/12/26, 16, 7, , 
2022/12/27, 18, 6, , 
2022/12/28, 18, 12, 4, 
2022/12/29, 50, 8, , 
2022/12/30, 25, 8, , 
2022/12/31, 38, 7, 3, 
2023/1/1, 48, 6, 3, 
2023/1/2, 59, 6, , 
2022/7/2, 18, 4, 1, 
2022/7/3, 19, 1, 1, 
2022/7/4, 11, 4, 2, 
2022/7/5, 16, 5, 2, 
2022/7/6, 34, 2, 2, 
2022/7/7, 20, 2, 2, 
2022/7/8, 12, 2, 1, 
2022/7/9, 24, 2, , 
2022/7/10, 15, 3, 1, 
2022/7/11, 24, 2, 1, 
2022/7/12, 19, 1, , 
2022/7/13, 15, 1, , 
2022/7/14, 13, 2, , 
2022/7/15, 17, 5, 1, 
2022/7/16, 16, 5, 1, 
2022/7/17, 25, 5, 2, 
2022/7/18, 41, 1, 1, 
2022/7/19, 10, , 1, 
2022/7/20, 15, 1, 1, 
2022/7/21, 9, 4, 2, 
2022/7/22, 23, 2, 3, 
2022/7/23, 19, 1, 3, 
2022/7/24, 13, , 2, 
2022/7/25, 21, , 3, 
2022/7/26, 8, , , 
2022/7/27, 8, , , 
2022/7/28, 13, 1, , 
2022/7/29, 34, , , 
2022/7/30, 21, , , 
2022/8/4, 19, , , 
2022/8/5, 16, , , 
2022/8/6, 10, , , 
2022/8/7, 15, , , 
2022/8/8, 27, , 1, 
2022/8/9, 49, 1, , 
2022/8/10, 29, , , 
2022/8/11, 24, , , 
2022/8/12, 28, , , 
2022/8/13, 32, , 1, 
2022/8/14, 38, , , 
2022/8/15, 26, , , 
2022/8/16, 15, 1, , 
2022/8/17, 12, , , 
2022/8/18, 14, , , 
2022/8/19, 14, , , 
2022/8/20, 16, , , 
2022/8/21, 21, , , 
2022/8/22, 20, , , 
2022/8/23, 14, , , 
2022/8/24, 13, , , 
2022/8/25, 18, , , 
2022/8/26, 19, , , 
2022/8/27, 21, , , 
2022/8/28, 19, , , 
2022/8/29, 12, , , 
2022/8/30, 14, 1, , 
2022/8/31, 22, , 1, 
2022/9/1, 19, , 1, 
2022/9/2, 26, , , 
2022/9/3, 28, , , 
2022/9/7, 21, , 1, 
2022/9/8, 36, , 1, 
2022/9/9, 18, , 1, 
2022/9/10, 19, , , 
2022/9/11, 27, , , 
2022/9/12, 32, , , 
2022/9/13, 19, 1, , 
2022/9/14, 15, , , 
2022/9/15, 25, , , 
2022/9/16, 20, , , 
2022/9/17, 18, , , 
2022/9/18, 21, , 2, 
2022/9/19, 39, , , 
2022/9/20, 24, 1, , 
2022/9/21, 18, , , 
2022/9/22, 20, , , 
2022/9/23, 22, , , 
2022/9/24, 17, , , 
2022/9/25, 15, , , 
2022/9/26, 18, , , 
2022/9/27, 13, , , 
2022/9/28, 17, , , 
2022/9/29, 13, , , 
2022/9/30, 17, , , 
2022/10/1, 16, , , 
2022/4/2, 15, 2, 1, 
2022/4/3, 9, 4, 3, 
2022/4/4, 20, 5, 3, 
2022/4/5, 22, 5, 2, 
2022/4/6, 15, 4, 2, 
2022/4/7, 19, 2, 2, 
2022/4/8, 14, , 2, 
2022/4/9, 20, , , 
2022/4/10, 12, , , 
2022/4/11, 9, , , 
2022/4/12, 9, 5, , 
2022/4/13, 13, 5, , 
2022/4/14, 26, 7, , 
2022/4/15, 16, 6, 1, 
2022/4/16, 23, 6, 1, 
2022/4/17, 30, 3, 1, 
2022/4/18, 54, 2, , 
2022/4/19, 45, 2, , 
2022/4/20, 12, 3, , 
2022/4/21, 13, 5, 1, 
2022/4/22, 36, 5, 1, 
2022/4/23, 23, 2, , 
2022/4/24, 8, 3, , 
2022/4/25, 9, 4, 1, 
2022/4/26, 17, 6, 1, 
2022/4/27, 20, 7, 2, 
2022/4/28, 31, 9, 2, 
2022/4/29, 41, 6, 2, 
2022/4/30, 36, 4, 3, 
2022/5/1, 32, 4, 2, 
2022/5/2, 51, 4, 3, 
2022/5/3, 29, 2, 1, 
2022/5/4, 16, 2, 1, 
2022/5/5, 10, 6, 4, 
2022/5/6, 25, 6, 4, 
2022/5/7, 19, 4, 3, 
2022/5/8, 81, 1, 1, 
2022/5/9, 21, 1, 2, 
2022/5/10, 29, 3, 3, 
2022/5/11, 37, 5, 3, 
2022/5/12, 44, 5, 3, 
2022/5/13, 53, 9, 4, 
2022/5/14, 56, 8, 3, 
2022/5/15, 51, 5, 3, 
2022/5/16, 44, 4, 2, 
2022/5/17, 27, 4, 2, 
2022/5/18, 21, 4, 2, 
2022/5/19, 23, 5, 6, 
2022/5/20, 57, 3, 3, 
2022/5/21, 26, 4, 2, 
2022/5/22, 27, 4, 4, 
2022/5/23, 33, 3, 2, 
2022/5/24, 52, 4, , 
2022/5/25, 32, 9, , 
2022/5/26, 45, 14, , 
2022/5/27, 34, 12, 1, 
2022/5/28, 73, 11, , 
2022/5/29, 29, 14, 2, 
2022/5/30, 33, 16, 1, 
2022/5/31, 20, 17, 1, 
2022/6/1, 8, 16, 1, 
2022/6/2, 33, 16, , 
2022/6/3, 8, 15, 1, 
2022/6/4, 9, 11, , 
2022/6/5, 22, 13, 1, 
2022/6/6, 17, 14, , 
2022/6/7, 10, 15, , 
2022/6/8, 16, 15, 1, 
2022/6/9, 22, 12, 2, 
2022/6/10, 28, 14, 2, 
2022/6/11, 30, 15, 3, 
2022/6/12, 41, 21, 3, 
2022/6/13, 24, 17, 3, 
2022/6/14, 50, 16, 4, 
2022/6/15, 45, 18, 6, 
2022/6/16, 45, 17, 4, 
2022/6/17, 24, 18, 2, 
2022/6/18, 17, 19, , 
2022/6/19, 19, 19, , 
2022/6/20, 21, 17, 1, 
2022/6/21, 23, 18, 1, 
2022/6/22, 34, , 2, 
2022/6/23, 27, , 1, 
2022/6/24, 26, 1, 1, 
2022/6/25, 12, 2, 1, 
2022/6/26, 16, 2, 1, 
2022/6/27, 25, 4, 2, 
2022/6/28, 26, 2, 1, 
2022/6/29, 21, 4, 1, 
2022/6/30, 20, 5, 3, 
2022/7/1, 37, 6, 1, 
2022/1/4, 18, 4, , 
2022/1/5, 21, 2, , 
2022/1/6, 11, 2, , 
2022/1/7, 20, 3, , 
2022/1/8, 32, 3, , 
2022/1/9, 53, 3, , 
2022/1/10, 29, 1, , 
2022/1/11, 12, 1, , 
2022/1/12, 11, 2, , 
2022/1/13, 14, 5, , 
2022/1/14, 59, 7, , 
2022/1/15, 73, 5, 1, 
2022/1/16, 79, 3, , 
2022/1/17, 29, 4, , 
2022/1/18, 30, 2, , 
2022/1/19, 15, 6, , 
2022/1/20, 47, 8, , 
2022/1/21, 67, 9, , 
2022/1/22, 84, 8, , 
2022/1/23, 105, 6, , 
2022/1/24, 70, 6, , 
2022/1/25, 64, 4, , 
2022/1/26, 32, 5, , 
2022/1/27, 41, 8, , 
2022/1/28, 65, 8, 1, 
2022/1/29, 95, 9, , 
2022/1/30, 91, 7, , 
2022/1/31, 67, 9, 1, 
2022/2/1, 89, 8, , 
2022/2/2, 59, 9, 2, 
2022/2/3, 85, 8, , 
2022/2/4, 74, 2, , 
2022/2/5, 29, 1, , 
2022/2/6, 13, 1, , 
2022/2/7, 14, 2, , 
2022/2/8, 14, 1, , 
2022/2/9, 18, 3, , 
2022/2/10, 38, 5, , 
2022/2/11, 70, 10, 1, 
2022/2/12, 108, 4, , 
2022/2/13, 61, 3, , 
2022/2/14, 49, 5, , 
2022/2/15, 54, 6, , 
2022/2/16, 51, 4, , 
2022/2/17, 46, 4, , 
2022/2/18, 36, 2, , 
2022/2/19, 21, 2, , 
2022/2/20, 22, 4, , 
2022/2/21, 28, 10, 1, 
2022/2/22, 60, 5, , 
2022/2/23, 27, 2, , 
2022/2/24, 17, 3, , 
2022/2/25, 23, 3, , 
2022/2/26, 20, , , 
2022/2/27, 12, , , 
2022/2/28, 9, 1, , 
2022/3/1, 15, 3, , 
2022/3/2, 20, , , 
2022/3/3, 16, , , 
2022/3/4, 7, 1, , 
2022/3/5, 14, , , 
2022/3/6, 18, 3, , 
2022/3/7, 40, 1, , 
2022/3/8, 16, , , 
2022/3/9, 17, , , 
2022/3/10, 10, 3, , 
2022/3/11, 30, 3, , 
2022/3/12, 29, 9, , 
2022/3/13, 39, 4, , 
2022/3/14, 41, 10, , 
2022/3/15, 48, 11, 2, 
2022/3/16, 56, 11, 1, 
2022/3/17, 75, 3, , 
2022/3/18, 15, 3, 1, 
2022/3/19, 14, , , 
2022/3/20, 10, , , 
2022/3/21, 14, 3, 1, 
2022/3/22, 13, 4, , 
2022/3/23, 16, 3, 1, 
2022/3/24, 13, 4, 1, 
2022/3/25, 14, 5, 1, 
2022/3/26, 13, 4, , 
2022/3/27, 12, 2, , 
2022/3/28, 8, 8, 1, 
2022/3/29, 18, 10, 5, 
2022/3/30, 46, 5, 2, 
2022/3/31, 24, 2, 1, 
2022/4/1, 8, 2, 1, 
2021/10/2, 15, 16, , 
2021/10/3, 17, 15, , 
2021/10/4, 15, 15, , 
2021/10/5, 28, 15, , 
2021/10/6, 18, 16, 2, 
2021/10/7, 24, 15, , 
2021/10/8, 9, 15, , 
2021/10/9, 7, 17, , 
2021/10/10, 17, 17, , 
2021/10/11, 16, 16, , 
2021/10/12, 8, 15, , 
2021/10/13, 12, 15, , 
2021/10/14, 8, 15, , 
2021/10/15, 20, 16, , 
2021/10/16, 36, 18, , 
2021/10/17, 33, 18, 3, 
2021/10/18, 53, 18, , 
2021/10/19, 29, 16, , 
2021/10/20, 30, 19, 1, 
2021/10/21, 40, 20, 1, 
2021/10/22, 23, 21, , 
2021/10/23, 19, 17, , 
2021/10/24, 15, 18, , 
2021/10/25, 10, 17, , 
2021/10/26, 15, 19, , 
2021/10/27, 19, 17, , 
2021/10/28, 13, 15, , 
2021/10/29, 10, 17, , 
2021/10/30, 27, 17, , 
2021/10/31, 10, 15, , 
2021/11/1, 24, 14, , 
2021/11/2, 11, 14, , 
2021/11/3, 15, 11, , 
2021/11/4, 9, 12, , 
2021/11/5, 11, 13, , 
2021/11/6, 9, 15, , 
2021/11/7, 8, 15, , 
2021/11/8, 7, 15, , 
2021/11/9, 8, 15, , 
2021/11/10, 17, 16, , 
2021/11/11, 12, 17, , 
2021/11/12, 10, 15, , 
2021/11/13, 8, 16, , 
2021/11/14, 19, 17, , 
2021/11/15, 15, 18, , 
2021/11/16, 23, 14, , 
2021/11/17, 26, 15, , 
2021/11/18, 29, 15, , 
2021/11/19, 24, 13, , 
2021/11/20, 22, 13, , 
2021/11/21, 14, 15, , 
2021/11/22, 26, 17, , 
2021/11/23, 20, 17, , 
2021/11/24, 8, 10, , 
2021/11/25, 10, 4, , 
2021/11/26, 25, 1, , 
2021/11/27, 16, 1, , 
2021/11/28, 11, 1, , 
2021/11/29, 8, 1, , 
2021/11/30, 12, 1, , 
2021/12/1, 9, 2, , 
2021/12/2, 12, 2, , 
2021/12/3, 12, 1, , 
2021/12/4, 6, 1, , 
2021/12/5, 9, 1, , 
2021/12/6, 11, 1, , 
2021/12/7, 8, 2, , 
2021/12/8, 10, 1, , 
2021/12/9, 10, 1, , 
2021/12/10, 13, 1, , 
2021/12/11, 11, 2, , 
2021/12/12, 23, , , 
2021/12/14, 21, 4, , 
2021/12/15, 40, 5, , 
2021/12/16, 70, 2, , 
2021/12/17, 12, 2, , 
2021/12/18, 18, 1, , 
2021/12/19, 8, , , 
2021/12/20, 15, 2, , 
2021/12/21, 22, 2, , 
2021/12/22, 34, , , 
2021/12/24, 32, 3, , 
2021/12/25, 33, 6, , 
2021/12/26, 92, 7, , 
2021/12/27, 97, 4, , 
2021/12/28, 50, 8, , 
2021/12/29, 86, 6, , 
2021/12/30, 35, 2, , 
2021/12/31, 17, 1, , 
2022/1/1, 12, 1, , 
2022/1/2, 11, 1, , 
2022/1/3, 11, 1, , 
2021/7/2, 13, 5, 5, 
2021/7/3, 21, 7, 7, 
2021/7/4, 33, 6, 13, 
2021/7/5, 36, 7, 20, 
2021/7/6, 53, 7, 22, 
2021/7/7, 55, 5, 19, 
2021/7/8, 25, 5, 12, 
2021/7/9, 10, 6, 17, 
2021/7/10, 12, 7, 22, 
2021/7/11, 30, 7, 32, 
2021/7/12, 24, 11, 18, 
2021/7/13, 43, 14, , 
2021/7/14, 24, 13, 2, 
2021/7/15, 33, 14, 1, 
2021/7/16, 31, 14, 1, 
2021/7/17, 19, 14, 1, 
2021/7/18, 16, 15, 1, 
2021/7/19, 17, 15, 2, 
2021/7/20, 21, 14, 2, 
2021/7/21, 14, 15, 4, 
2021/7/22, 20, 14, 3, 
2021/7/23, 17, 15, 4, 
2021/7/24, 20, 15, , 
2021/7/25, 20, 16, 1, 
2021/7/26, 27, 16, 4, 
2021/7/27, 45, 14, 1, 
2021/7/28, 21, 12, , 
2021/7/29, 8, 15, , 
2021/7/30, 15, 15, 2, 
2021/7/31, 28, 16, 1, 
2021/8/1, 19, 16, 2, 
2021/8/2, 31, 17, 1, 
2021/8/3, 24, 16, 1, 
2021/8/4, 24, 16, 3, 
2021/8/5, 34, 16, 1, 
2021/8/6, 18, 15, 1, 
2021/8/7, 30, 15, 1, 
2021/8/8, 184, 17, 3, 
2021/8/9, 174, 17, 4, 
2021/8/10, 157, 16, 3, 
2021/8/11, 137, 16, 2, 
2021/8/12, 119, 15, , 
2021/8/13, 34, 16, 1, 
2021/8/14, 49, 13, , 
2021/8/15, 15, 14, , 
2021/8/16, 19, 15, , 
2021/8/17, 23, 10, , 
2021/8/18, 20, 3, , 
2021/8/19, 13, 3, , 
2021/8/20, 25, 1, , 
2021/8/21, 9, 1, , 
2021/8/22, 9, 1, , 
2021/8/23, 9, 3, , 
2021/8/24, 14, 3, 1, 
2021/8/25, 30, 3, 1, 
2021/8/26, 25, 3, 1, 
2021/8/27, 28, 1, 1, 
2021/8/28, 23, 2, 1, 
2021/8/29, 26, 2, , 
2021/8/30, 19, 2, 1, 
2021/8/31, 21, 2, 1, 
2021/9/1, 12, 3, 1, 
2021/9/2, 28, 1, , 
2021/9/3, 10, 2, 1, 
2021/9/4, 22, 2, 1, 
2021/9/5, 27, 1, , 
2021/9/6, 15, 2, , 
2021/9/7, 18, 3, 4, 
2021/9/8, 50, 2, 1, 
2021/9/9, 35, 4, 1, 
2021/9/10, 21, 10, , 
2021/9/11, 15, 12, 2, 
2021/9/12, 24, 13, , 
2021/9/13, 18, 12, , 
2021/9/14, 10, 13, , 
2021/9/15, 13, 13, , 
2021/9/16, 12, 13, , 
2021/9/17, 19, 12, 1, 
2021/9/18, 20, 14, 5, 
2021/9/19, 36, 15, , 
2021/9/20, 23, 13, , 
2021/9/21, 14, 12, , 
2021/9/22, 9, 12, , 
2021/9/23, 8, 13, , 
2021/9/24, 11, 13, , 
2021/9/25, 13, 15, , 
2021/9/26, 17, 16, , 
2021/9/27, 26, 15, , 
2021/9/28, 10, 15, , 
2021/9/29, 12, 15, , 
2021/9/30, 21, 17, 1, 
2021/10/1, 22, 16, , 
2021/4/2, 13, 1, , 
2021/4/3, 12, 1, , 
2021/4/4, 13, 1, , 
2021/4/5, 21, 2, , 
2021/4/6, 39, 3, 1, 
2021/4/7, 23, 2, 1, 
2021/4/8, 16, 3, 1, 
2021/4/9, 17, 2, 1, 
2021/4/10, 15, 1, , 
2021/4/11, 14, 3, 1, 
2021/4/12, 25, 2, 1, 
2021/4/13, 13, 1, 1, 
2021/4/14, 10, 1, 1, 
2021/4/15, 7, 2, 1, 
2021/4/16, 9, 1, 1, 
2021/4/17, 20, 1, 1, 
2021/4/18, 8, 3, 1, 
2021/4/19, 17, 3, 1, 
2021/4/20, 13, , , 
2021/4/21, 8, 2, 1, 
2021/4/22, 11, 1, 1, 
2021/4/23, 14, 1, 1, 
2021/4/24, 20, 1, 2, 
2021/4/25, 21, 1, 2, 
2021/4/26, 18, 2, 2, 
2021/4/27, 20, 5, 1, 
2021/4/28, 43, 5, 2, 
2021/4/29, 44, 2, 1, 
2021/4/30, 29, 3, 2, 
2021/5/1, 25, 1, , 
2021/5/2, 18, 1, , 
2021/5/3, 17, 1, , 
2021/5/4, 12, 1, , 
2021/5/5, 13, 2, , 
2021/5/6, 10, 2, , 
2021/5/7, 21, 2, , 
2021/5/8, 35, 1, , 
2021/5/9, 15, 1, , 
2021/5/10, 7, 2, , 
2021/5/11, 13, 4, 1, 
2021/5/12, 28, 2, , 
2021/5/13, 30, 2, 1, 
2021/5/14, 26, 3, , 
2021/5/15, 21, 1, , 
2021/5/16, 8, , , 
2021/5/18, 10, 2, , 
2021/5/19, 16, 1, , 
2021/5/20, 13, 1, , 
2021/5/21, 22, 1, 1, 
2021/5/22, 12, , , 
2021/5/24, 7, 1, 1, 
2021/5/25, 18, 1, 1, 
2021/5/26, 11, 1, 1, 
2021/5/27, 8, 3, 2, 
2021/5/28, 39, 10, 2, 
2021/5/29, 8, 17, 2, 
2021/5/30, 10, 23, 3, 
2021/5/31, 10, 29, 7, 
2021/6/1, 26, 32, 7, 
2021/6/2, 19, 31, 7, 
2021/6/3, 33, 34, 6, 
2021/6/4, 32, 32, 7, 
2021/6/5, 38, 28, 5, 
2021/6/6, 13, 30, 6, 
2021/6/7, 12, 29, 4, 
2021/6/8, 12, 32, 8, 
2021/6/9, 32, 31, 7, 
2021/6/10, 16, 29, 12, 
2021/6/11, 10, 33, 12, 
2021/6/12, 15, 35, , 
2021/6/13, 15, 36, , 
2021/6/14, 11, 33, , 
2021/6/15, 11, 31, , 
2021/6/16, 11, 34, 2, 
2021/6/17, 25, 32, , 
2021/6/18, 20, 36, 1, 
2021/6/19, 23, 34, 1, 
2021/6/20, 26, 36, 2, 
2021/6/21, 31, 29, 1, 
2021/6/22, 10, 33, 2, 
2021/6/23, 21, 22, 1, 
2021/6/24, 14, 9, 2, 
2021/6/25, 13, 7, 1, 
2021/6/26, 13, 3, 1, 
2021/6/27, 10, 3, 1, 
2021/6/28, 9, 4, 2, 
2021/6/29, 12, 4, 2, 
2021/6/30, 13, 5, 2, 
2021/7/1, 15, 4, 3, 
2021/1/12, 29, 4, 2, 
2021/1/13, 40, 5, 1, 
2021/1/14, 115, 16, 3, 
2021/1/15, 28, 5, 1, 
2021/1/16, 10, 2, , 
2021/1/17, 23, 6, 1, 
2021/1/18, 17, 6, 1, 
2021/1/19, 20, 4, 1, 
2021/1/20, 21, 3, 1, 
2021/1/21, 14, 4, 2, 
2021/1/22, 89, 13, 1, 
2021/1/23, 111, 15, 2, 
2021/1/24, 41, 7, 1, 
2021/1/25, 36, 5, 1, 
2021/1/26, 31, 5, , 
2021/1/27, 39, 11, 1, 
2021/1/28, 36, 9, 1, 
2021/1/29, 27, 3, , 
2021/1/30, 34, 6, , 
2021/1/31, 31, 3, , 
2021/2/1, 42, 4, 1, 
2021/2/2, 51, 5, 1, 
2021/2/3, 98, 13, 3, 
2021/2/4, 30, 5, 1, 
2021/2/5, 23, 3, 1, 
2021/2/6, 18, 4, 1, 
2021/2/7, 50, 9, 1, 
2021/2/8, 18, 7, 1, 
2021/2/9, 16, 6, 1, 
2021/2/10, 12, 3, 1, 
2021/2/11, 14, 3, 1, 
2021/2/12, 24, 3, 1, 
2021/2/13, 29, 6, 2, 
2021/2/14, 36, 7, 2, 
2021/2/15, 48, 8, 2, 
2021/2/16, 52, 6, 1, 
2021/2/17, 49, 8, 1, 
2021/2/18, 19, 7, 1, 
2021/2/19, 21, 7, 1, 
2021/2/20, 46, 11, 1, 
2021/2/21, 22, 5, 1, 
2021/2/22, 35, 7, 2, 
2021/2/23, 52, 13, 2, 
2021/2/24, 26, 5, 3, 
2021/2/25, 66, 11, 4, 
2021/2/26, 36, 9, 1, 
2021/2/27, 25, 4, 1, 
2021/2/28, 20, 4, 1, 
2021/3/1, 30, 8, 1, 
2021/3/2, 90, 16, 3, 
2021/3/3, 27, 6, 2, 
2021/3/5, 63, 15, 3, 
2021/3/6, 17, 10, 2, 
2021/3/7, 8, 7, 1, 
2021/3/8, 9, 8, 1, 
2021/3/9, 22, 10, 2, 
2021/3/10, 8, 8, 1, 
2021/3/11, 45, 16, 3, 
2021/3/12, 28, 11, 3, 
2021/3/13, 27, 11, 2, 
2021/3/14, 17, 7, 1, 
2021/3/15, 20, 6, 2, 
2021/3/16, 59, 17, 3, 
2021/3/17, 21, 8, 3, 
2021/3/18, 26, 7, 2, 
2021/3/19, 20, 3, , 
2021/3/20, 26, 2, , 
2021/3/21, 15, 1, , 
2021/3/22, 11, 1, , 
2021/3/23, 12, 1, , 
2021/3/24, 22, 3, , 
2021/3/25, 28, 4, , 
2021/3/26, 18, 2, , 
2021/3/27, 29, 3, , 
2021/3/28, 20, 2, , 
2021/3/29, 32, 7, , 
2021/3/30, 22, 3, , 
2021/3/31, 11, 1, , 
2021/4/1, 12, 1, , 
2020/10/2, 11, , , 
2020/10/3, 10, , , 
2020/10/4, 9, , 1, 
2020/10/5, 11, , 2, 
2020/10/6, 15, , 1, 
2020/10/7, 12, , 2, 
2020/10/8, 12, , 2, 
2020/10/9, 10, , 2, 
2020/10/10, 7, , , 
2020/10/11, 8, , , 
2020/10/12, 7, , 1, 
2020/10/13, 25, , 1, 
2020/10/14, 23, , , 
2020/10/15, 10, , 1, 
2020/10/16, 8, , , 
2020/10/17, 15, , 1, 
2020/10/18, 18, , 1, 
2020/10/19, 16, , 1, 
2020/10/20, 7, , 1, 
2020/10/21, 12, , , 
2020/10/22, 20, , , 
2020/10/23, 13, , , 
2020/10/24, 17, , 1, 
2020/10/25, 14, , , 
2020/10/26, 16, , 1, 
2020/10/27, 18, 11, , 
2020/10/28, 16, 6, 1, 
2020/10/29, 24, 1, 1, 
2020/10/30, 8, 5, 1, 
2020/10/31, 11, 2, , 
2020/11/1, 16, 6, , 
2020/11/2, 26, 2, 1, 
2020/11/3, 10, 2, 1, 
2020/11/4, 7, 2, 1, 
2020/11/5, 8, 2, 1, 
2020/11/6, 8, 3, 1, 
2020/11/7, 10, 4, , 
2020/11/8, 18, 3, 1, 
2020/11/9, 15, 4, 1, 
2020/11/10, 12, 3, 1, 
2020/11/11, 6, 5, 1, 
2020/11/12, 10, 3, 1, 
2020/11/13, 10, 3, , 
2020/11/14, 11, 8, , 
2020/11/15, 27, 12, 2, 
2020/11/16, 94, 10, 5, 
2020/11/17, 70, 5, 1, 
2020/11/18, 27, 3, 2, 
