date, pm25, pm10, no2, co
2022/2/12, 94, 28, 24, 7
2022/2/13, 86, 19, 18, 5
2022/2/14, 61, 24, 27, 9
2022/2/15, 70, 18, 17, 5
2022/2/16, 48, 21, 24, 10
2022/2/17, 55, 34, 31, 12
2022/2/18, 86, 23, 25, 9
2022/2/19, 61, 22, 23, 10
2022/2/20, 60, 30, 24, 7
2022/2/21, 83, 23, 18, 6
2022/2/22, 45, 12, 14, 3
2022/2/23, 40, 12, 14, 3
2022/2/24, 40, 17, 27, 8
2022/2/25, 54, 24, 29, 11
2022/2/26, 69, 16, 22, 5
2022/2/27, 48, 11, 12, 2
2022/2/28, 42, 13, 10, 2
2022/3/1, 45, 12, 9, 1
2022/3/2, 42, 19, 20, 4
2022/3/3, 53, 26, 30, 9
2022/3/4, 67, 33, 33, 9
2022/3/5, 78, 11, 11, 2
2022/3/6, 43, 22, 17, 3
2022/3/7, 70, 20, 17, 4
2022/3/8, 65, 17, 14, 2
2022/3/9, 56, 22, 22, 4
2022/3/10, 63, 25, 25, 6
2022/3/11, 64, 20, 13, 3
2022/3/12, 59, 16, 10, 3
2022/3/13, 52, 20, 17, 4
2022/3/14, 60, 34, 31, 8
2022/3/15, 82, 33, 31, 10
2022/3/16, 77, 33, 29, 10
2022/3/17, 80, 38, 24, 7
2022/3/18, 83, 32, 9, 4
2022/3/19, 68, 19, 11, 4
2022/3/20, 56, 17, 6, 3
2022/3/21, 54, 17, 9, 3
2022/3/22, 54, 22, 11, 4
2022/3/23, 61, 29, 21, 5
2022/3/24, 76, 42, 39, 11
2022/3/25, 100, 44, 34, 11
2022/3/26, 109, 48, 42, 12
2022/3/27, 114, 32, 21, 4
2022/3/28, 80, 22, 18, 4
2022/3/29, 55, 30, 25, 8
2022/3/30, 63, 37, 32, 9
2022/3/31, 73, , , 
2021/10/2, 64, 28, 24, 6
2021/10/3, 66, 22, 20, 5
2021/10/4, 57, 23, 19, 6
2021/10/5, 56, 21, 24, 6
2021/10/6, 53, 18, 21, 8
2021/10/7, 39, 15, 22, 5
2021/10/8, 35, 13, 17, 4
2021/10/9, 33, 10, 8, 2
2021/10/10, 27, 8, 9, 2
2021/10/11, 24, 13, 17, 5
2021/10/12, 37, 17, 17, 4
2021/10/13, 45, 20, 10, 2
2021/10/14, 52, 13, 5, 1
2021/10/15, 30, 16, 15, 4
2021/10/16, 38, 19, 25, 7
2021/10/17, 48, 17, 15, 5
2021/10/18, 47, 26, 24, 9
2021/10/19, 61, 23, 24, 8
2021/10/20, 58, 29, 31, 10
2021/10/21, 65, 25, 25, 8
2021/10/22, 61, 26, 24, 9
2021/10/23, 58, 40, 25, 13
2021/10/24, 75, 12, 5, 3
2021/10/25, 36, 16, 10, 3
2021/10/26, 39, 21, 16, 5
2021/10/27, 50, 18, 14, 4
2021/10/28, 51, 27, 26, 6
2021/10/29, 63, 28, 24, 5
2021/10/30, 68, 30, 29, 7
2021/10/31, 75, 31, 27, 8
2021/11/1, 78, 16, 22, 4
2021/11/2, 49, 29, 22, 10
2021/11/3, 44, 25, 14, 3
2021/11/4, 36, 22, 22, 7
2021/11/5, 44, 25, 24, 7
2021/11/6, 50, 18, 16, 4
2021/11/7, 41, 25, 18, 4
2021/11/8, 51, 20, 18, 5
2021/11/9, 47, 19, 19, 7
2021/11/10, 51, 24, 16, 4
2021/11/11, 59, 29, 18, 5
2021/11/12, 66, 43, 27, 8
2021/11/13, 83, 29, 24, 7
2021/11/14, 73, 22, 26, 6
2021/11/15, 60, 24, 25, 8
2021/11/16, 61, 22, 25, 6
2021/11/17, 57, 27, 27, 9
2021/11/18, 67, 18, 19, 5
2021/11/19, 49, 19, 18, 4
2021/11/20, 51, 27, 32, 10
2021/11/21, 69, 45, 33, 16
2021/11/22, 103, 22, 33, 9
2021/11/23, 64, 21, 24, 6
2021/11/24, 59, 13, 11, 3
2021/11/25, 44, 17, 22, 6
2021/11/26, 61, 20, 22, 7
2021/11/27, 49, 18, 18, 5
2021/11/28, 52, 16, 13, 4
2021/11/29, 35, 24, 26, 7
2021/11/30, 69, 23, 26, 11
2021/12/1, 67, 24, 26, 12
2021/12/2, 53, 22, 7, 2
