date, pm25, pm10, no2, co
2020/8/13, 72, 26, 25, 5
2020/8/14, 67, 27, 19, 5
2020/8/15, 64, 32, 11, 3
2020/8/16, 69, 26, 12, 3
2020/8/17, 59, 25, 14, 3
2020/8/18, 60, 23, 9, 3
2020/8/19, 52, 20, 11, 3
2020/8/20, 46, 18, 15, 3
2020/8/21, 48, 27, 20, 4
2020/8/22, 87, 19, 22, 4
2020/8/23, 48, 22, 16, 4
2020/8/24, 61, 24, 8, 3
2020/8/25, 44, 22, 8, 2
2020/8/26, 52, 23, 15, 4
2020/8/27, 52, 18, 10, 4
2020/8/28, 40, 18, 15, 4
2020/8/29, 47, 23, 17, 4
2020/8/30, 56, 27, 19, 5
2020/8/31, 58, 36, 12, 3
2020/9/1, 59, , 19, 4
2020/9/3, 47, 19, 19, 5
2020/9/4, 47, 19, 16, 3
2020/9/5, 49, 23, 25, 5
2020/9/6, 60, 22, 26, 6
2020/9/7, 57, 21, 24, 5
2020/9/8, 52, 35, 19, 5
2020/9/9, 79, 33, 24, 6
2020/9/10, 74, 40, 30, 8
2020/9/11, 80, 39, 21, 6
2020/9/12, 80, 29, 19, 5
2020/9/13, 67, 34, 14, 3
2020/9/14, 85, 36, 15, 3
2020/9/15, 81, 38, 23, 5
2020/9/16, 77, 40, 25, 7
2020/9/17, 90, 39, 26, 7
2020/9/18, 86, 39, 23, 6
2020/9/19, 83, 34, 21, 6
2020/9/20, 75, 34, 19, 5
2020/9/21, 77, 33, 22, 7
2020/9/22, 71, 26, 19, 6
2020/9/23, 55, 21, 20, 5
2020/9/24, 49, 21, 20, 8
2020/9/25, 50, 28, 14, 5
2020/9/26, 51, 18, 15, 5
2020/9/27, 29, 17, 12, 4
2020/9/28, 30, 14, 23, 7
2020/9/29, 34, 35, 31, 8
2020/9/30, 81, 24, 31, 9
2020/10/1, 51, 24, 29, 8
2020/4/24, 42, 14, 4, 3
2020/4/25, 46, 16, 8, 3
2020/4/26, 49, 11, 6, 3
2020/4/27, 39, 15, 5, 2
2020/4/28, 47, 14, 10, 3
2020/4/29, 42, 18, 5, 3
2020/4/30, 40, 19, 4, 3
2020/5/1, 34, 13, 5, 3
2020/5/2, 25, 21, 2, 2
2020/5/3, 37, 18, 5, 3
2020/5/4, 31, 9, 1, 2
2020/5/5, 27, 18, 5, 2
2020/5/6, 43, 15, 13, 4
2020/5/7, 43, 17, 9, 4
2020/5/8, 46, 14, 2, 2
2020/5/9, 41, 18, 12, 4
2020/5/10, 54, 20, 16, 5
2020/5/11, 57, 28, 16, 5
2020/5/12, 59, 22, 11, 5
2020/5/13, 40, 27, 6, 4
2020/5/14, 54, 52, 13, 4
2020/5/15, 87, 41, 14, 6
2020/5/16, 64, 42, 15, 6
2020/5/17, 81, 47, 20, 6
2020/5/18, 85, 39, 13, 5
2020/5/19, 79, 33, 13, 5
2020/5/20, 53, 19, 8, 5
2020/5/21, 48, 12, 12, 5
2020/5/22, 37, 15, 6, 3
2020/5/23, 43, 20, 8, 2
2020/5/24, 52, 14, 16, 5
2020/5/25, 43, 12, 11, 4
2020/5/26, 41, , 5, 2
2020/6/1, 28, 14, 8, 1
2020/6/2, 44, 13, 11, 1
2020/6/3, 45, 19, 10, 1
2020/6/4, 56, 18, 14, 2
2020/6/5, 48, 20, 8, 1
2020/6/6, 34, 20, 10, 3
2020/6/7, 40, 15, 12, 3
2020/6/8, 26, 20, 8, 2
2020/6/9, 35, 18, 7, 4
2020/6/10, 41, 20, 9, 3
2020/6/11, 46, 17, 12, 4
2020/6/12, 40, 19, 15, 5
2020/6/13, 43, 22, 18, 5
2020/6/14, 51, 15, 19, 6
2020/6/15, 39, 25, 12, 5
2020/6/16, 44, 28, 11, 5
2020/6/17, 51, 26, 12, 5
2020/6/18, 52, 19, 12, 6
2020/6/19, 43, 22, 12, 6
2020/6/20, 49, 24, 19, 5
2020/6/21, 56, 16, 15, 5
2020/6/22, 45, 11, 15, 5
2020/6/23, 34, 20, 12, 4
2020/6/24, 54, 21, 11, 2
2020/6/25, 56, 29, 20, 4
2020/6/26, 66, 27, 26, 6
2020/6/27, 66, 32, 24, 5
2020/6/28, 70, 31, 30, 6
2020/6/29, 75, 29, 29, 6
2020/6/30, 67, 22, 24, 5
2020/7/1, 56, 24, 16, 4
2020/1/2, 196, 24, 16, 4
2020/1/3, 59, 52, 40, 17
2020/1/4, 123, 60, 36, 18
2020/1/5, 141, 31, 14, 5
2020/1/6, 85, 10, 8, 1
2020/1/7, 29, 27, 27, 7
2020/1/8, 61, 25, 19, 3
2020/1/9, 66, 38, 32, 11
2020/1/10, 90, 48, 38, 17
2020/1/11, 113, 46, 34, 11
2020/1/12, 115, 28, 18, 2
2020/1/13, 81, 30, 29, 9
2020/1/14, 71, 52, 41, 18
2020/1/15, 121, 50, 38, 13
2020/1/16, 123, 41, 35, 12
2020/1/17, 101, 50, 39, 16
2020/1/18, 116, 39, 29, 8
2020/1/19, 97, 19, 18, 4
2020/1/20, 55, 13, 11, 1
2020/1/21, 42, 22, 18, 3
2020/1/22, 66, 37, 30, 11
2020/1/23, 92, 53, 39, 19
2020/1/24, 131, 46, 34, 15
2020/1/25, 109, 40, 31, 14
2020/1/26, 94, 43, 29, 12
2020/1/27, 100, 39, 30, 15
2020/1/28, 87, 30, 18, 8
2020/1/29, 45, 35, 22, 10
2020/1/30, 48, 34, 31, 15
2020/1/31, 71, 31, 27, 12
2020/2/1, 61, 37, 27, 10
2020/2/2, 86, 21, 21, 7
2020/2/3, 57, 15, 14, 7
2020/2/4, 32, 38, 16, 7
2020/2/5, 65, 8, 7, 1
2020/2/6, 26, 12, 9, 2
2020/2/7, 36, 26, 29, 10
2020/2/8, 67, 40, 37, 13
2020/2/9, 92, 33, 32, 10
2020/2/10, 83, 30, 24, 10
2020/2/11, 57, 36, 17, 9
2020/2/12, 49, 38, 20, 11
2020/2/13, 53, 31, 23, 11
2020/2/14, 51, 16, 18, 7
2020/2/15, 39, 12, 19, 5
2020/2/16, 40, 22, 30, 8
2020/2/17, 61, 32, 35, 13
2020/2/18, 76, 31, 36, 16
2020/2/19, 72, 28, 24, 9
2020/2/20, 60, 21, 23, 7
2020/2/21, 53, 32, 31, 11
2020/2/22, 75, 21, 20, 6
2020/2/23, 57, 32, 31, 10
2020/2/24, 74, 22, 20, 8
2020/2/25, 50, 19, 14, 6
2020/2/26, 45, 30, 15, 7
2020/2/27, 48, 16, 19, 7
2020/2/28, 32, 21, 13, 5
2020/2/29, 41, 19, 19, 6
2020/3/1, 44, 26, 14, 5
2020/3/2, 45, 32, 15, 7
2020/3/3, 50, 27, 30, 12
2020/3/4, 51, 21, 24, 10
2020/3/5, 50, 16, 19, 8
2020/3/6, 47, 19, 16, 8
2020/3/7, 32, 15, 18, 6
2020/3/8, 46, 13, 16, 5
2020/3/9, 46, 21, 24, 8
2020/3/10, 60, 18, 16, 5
2020/3/11, 54, 32, 27, 8
2020/3/12, 74, 24, 20, 6
2020/3/13, 61, 25, 12, 7
2020/3/14, 67, 25, 6, 5
2020/3/15, 64, 16, 2, 3
2020/3/16, 47, 19, 12, 5
2020/3/17, 57, 22, 17, 5
2020/3/18, 61, 25, 20, 5
2020/3/19, 69, 30, 26, 7
2020/3/20, 78, 33, 24, 6
2020/3/21, 90, 31, 21, 5
2020/3/22, 84, 30, 9, 4
2020/3/23, 84, 23, 4, 1
2020/3/24, 53, 10, 5, 2
2020/3/25, 35, 10, 6, 2
2020/3/26, 35, 7, 7, 3
2020/3/27, 22, 11, 13, 4
2020/3/28, 34, 10, 9, 4
2020/3/29, 38, , 12, 4
2019/10/2, 54, 23, 20, 7
2019/10/3, 49, 15, 17, 5
2019/10/4, 37, 13, 10, 5
2019/10/5, 36, 20, 23, 9
2019/10/6, 50, 20, 18, 7
2019/10/7, 48, 13, 11, 5
2019/10/8, 37, 10, 9, 4
2019/10/9, 34, 16, 25, 10
2019/10/10, 41, 22, 26, 12
2019/10/11, 268, 33, 31, 10
2019/10/12, 524, 31, 28, 9
2019/10/13, 710, 28, 28, 8
2019/10/14, 630, 33, 32, 10
2019/10/15, 519, 26, 24, 8
2019/10/16, 60, 18, 20, 8
2019/10/17, 47, 19, 26, 7
2019/10/18, 98, 22, 33, 9
2019/10/19, 232, 22, 31, 9
2019/10/20, 365, 23, 31, 8
2019/10/21, 530, 32, 35, 13
2019/10/22, 344, 45, 37, 15
2019/10/23, 96, 43, 41, 14
2019/10/24, 141, 41, 35, 11
2019/10/25, 115, 35, 25, 6
2019/10/26, 83, 31, 27, 7
2019/10/27, 72, 34, 31, 8
2019/10/28, 77, 43, 36, 12
2019/10/29, 91, 44, 31, 11
2019/10/30, 96, 33, 29, 10
2019/10/31, 82, 32, 27, 9
2019/11/1, 77, 22, 20, 6
2019/11/2, 58, 18, 19, 6
2019/11/3, 54, 23, 7, 3
2019/11/4, 41, 26, 18, 7
2019/11/5, 42, 29, 8, 4
2019/11/6, 40, 23, 17, 9
2019/11/7, 35, 24, 30, 13
2019/11/8, 56, 24, 22, 7
2019/11/9, 52, 17, 23, 5
2019/11/10, 40, 14, 23, 5
2019/11/11, 44, 20, 26, 8
2019/11/12, 47, 21, 17, 5
2019/11/13, 50, 28, 23, 10
2019/11/14, 44, 29, 30, 13
2019/11/15, 59, 29, 19, 7
2019/11/16, 59, 41, 15, 3
2019/11/17, 56, 39, 8, 3
2019/11/18, 55, 18, 22, 6
2019/11/19, 35, 18, 22, 5
2019/11/20, 41, 19, 28, 10
2019/11/21, 61, 23, 30, 9
2019/11/22, 45, 35, 29, 12
2019/11/23, 69, 33, 24, 11
2019/11/24, 61, 15, 18, 5
2019/11/25, 40, 14, 21, 8
2019/11/26, 47, 30, 25, 15
2019/11/27, 70, 20, 18, 10
2019/11/28, 53, 23, 20, 9
2019/11/29, 48, 29, 21, 13
2019/11/30, 50, 28, 27, 12
2019/12/1, 54, 24, 21, 7
2019/12/2, 52, 30, 24, 15
2019/12/3, 70, 17, 15, 5
2019/12/4, 43, 13, 12, 2
2019/12/5, 37, 24, 22, 6
2019/12/6, 61, 43, 27, 18
2019/12/7, 99, 30, 26, 13
2019/12/8, 69, 27, 25, 12
2019/12/9, 70, 34, 28, 20
2019/12/10, 79, 19, 17, 5
2019/12/11, 50, 20, 16, 5
2019/12/12, 48, 78, 32, 18
2019/12/13, 148, 27, 21, 9
2019/12/14, 59, 27, 26, 17
2019/12/15, 69, 37, 28, 16
2019/12/16, 77, 52, 34, 28
2019/12/17, 109, 39, 33, 20
2019/12/18, 81, 36, 33, 17
2019/12/19, 72, 25, 26, 7
2019/12/20, 59, 31, 21, 8
2019/12/21, 60, 29, 8, 4
2019/12/22, 34, 33, 9, 4
2019/12/23, 40, 24, 19, 9
2019/12/24, 41, 32, 29, 14
2019/12/25, 73, 36, 27, 12
2019/12/26, 87, 23, 20, 7
2019/12/27, 64, 26, 29, 12
2019/12/28, 66, , 11, 4
2019/7/2, 68, 33, 33, 7
2019/7/3, 70, 33, 38, 7
2019/7/4, 70, 33, 26, 7
2019/7/5, 67, 32, 30, 7
2019/7/6, 66, 29, 23, 5
2019/7/7, 65, 27, 18, 5
2019/7/8, 63, 33, 16, 6
2019/7/9, 61, 41, 16, 6
2019/7/10, 66, 46, 23, 6
2019/7/11, 81, 27, 14, 3
2019/7/12, 64, 20, 18, 5
2019/7/13, 39, 21, 14, 5
2019/7/14, 38, 11, 7, 2
2019/7/15, 29, 15, 16, 3
2019/7/16, 36, 18, 8, 2
2019/7/17, 53, 23, 23, 4
2019/7/18, 56, 26, 24, 6
2019/7/19, 54, 26, 23, 6
2019/7/20, 54, 26, 24, 5
2019/7/21, 54, 24, 27, 5
2019/7/22, 50, 32, 34, 7
2019/7/23, 59, 32, 30, 6
2019/7/24, 63, 28, 25, 5
2019/7/25, 56, 28, 31, 7
2019/7/26, 55, 28, 27, 9
2019/7/27, 56, 26, 11, 6
2019/7/29, 64, 27, 17, 6
2019/7/30, 67, 30, 17, 6
2019/7/31, 52, 32, 21, 7
2019/8/1, 55, 33, 20, 6
2019/8/2, 58, 35, 33, 7
2019/8/3, 67, 32, 21, 6
2019/8/4, 62, 26, 13, 3
2019/8/5, 59, 27, 27, 6
2019/8/6, 61, 30, 28, 7
2019/8/7, 67, 31, 32, 7
2019/8/8, 71, 40, 28, 6
2019/8/9, 72, 45, 26, 6
2019/8/10, 74, 42, 26, 6
2019/8/11, 70, 35, 28, 6
2019/8/12, 64, 35, 28, 7
2019/8/13, 65, 32, 13, 5
2019/8/14, 58, 29, 11, 3
2019/8/15, 44, 22, 7, 2
2019/8/16, 39, 22, 15, 3
2019/8/17, 41, 23, 10, 3
2019/8/18, 44, 22, 16, 3
2019/8/19, 44, 26, 23, 4
2019/8/20, 48, 24, 24, 4
2019/8/21, 53, 26, 21, 4
2019/8/22, 57, 29, 21, 4
2019/8/23, 132, 35, 14, 3
2019/8/24, 98, 29, 14, 4
2019/8/25, 144, 30, 14, 3
2019/8/26, 137, 31, 20, 4
2019/8/27, 94, 34, 20, 5
2019/8/28, 93, 33, 20, 5
2019/8/29, 81, 40, 29, 5
2019/8/30, 72, 35, 20, 5
2019/8/31, 65, 34, 22, 5
2019/9/1, 64, 32, 22, 5
2019/9/2, 65, 35, 21, 5
2019/9/3, 69, 26, 15, 4
2019/9/4, 53, 20, 8, 2
2019/9/5, 39, 25, 22, 5
2019/9/6, 52, 28, 21, 6
2019/9/7, 55, 32, 20, 5
2019/9/8, 54, 29, 19, 4
2019/9/9, 55, 22, 18, 5
2019/9/10, 30, 27, 27, 6
2019/9/11, 42, 25, 18, 4
2019/9/12, 43, 23, 20, 5
2019/9/13, 48, 26, 13, 3
2019/9/14, 60, 24, 12, 3
2019/9/15, 55, 20, 20, 4
2019/9/16, 46, 28, 29, 7
2019/9/17, 56, 27, 23, 7
2019/9/18, 53, 27, 25, 8
2019/9/19, 60, 25, 24, 6
2019/9/20, 60, 23, 9, 2
2019/9/21, 45, 21, 24, 5
2019/9/22, 39, 27, 33, 6
2019/9/23, 57, 31, 22, 10
2019/9/24, 55, 30, 16, 6
2019/9/25, 56, 26, 21, 9
2019/9/26, 50, 24, 19, 8
2019/9/27, 52, 27, 222, 9
2019/9/28, 55, 27, 500, 9
2019/9/29, 57, 18, 500, 6
2019/9/30, 47, 25, 268, 8
2019/10/1, 49, 28, 23, 9
2019/4/2, 87, 34, 35, 9
2019/4/3, 75, 23, 28, 6
2019/4/4, 57, 29, 34, 6
2019/4/5, 67, 20, 23, 6
2019/4/6, 41, 22, 37, 7
2019/4/7, 46, 17, 16, 5
2019/4/8, 40, 19, 24, 6
2019/4/9, 35, 23, 22, 7
2019/4/10, 38, 19, 25, 7
2019/4/11, 35, 15, 21, 6
2019/4/12, 28, 16, 24, 6
2019/4/13, 34, 15, 21, 6
2019/4/14, 39, 25, 26, 7
2019/4/15, 61, 16, 16, 4
2019/4/16, 47, 21, 28, 7
2019/4/17, 58, 27, 31, 8
2019/4/18, 66, 31, 34, 6
2019/4/19, 67, 23, 24, 5
2019/4/20, 56, 19, 28, 6
2019/4/21, 51, 21, 21, 4
2019/4/22, 56, 34, 20, 4
2019/4/23, 62, 61, 24, 6
2019/4/24, 71, 74, 37, 8
2019/4/25, 97, 68, 43, 7
2019/4/26, 98, 89, 33, 8
2019/4/27, 126, 53, 17, 4
2019/4/28, 64, 26, 15, 4
2019/4/29, 37, 28, 17, 5
2019/4/30, 46, 20, 25, 6
2019/5/1, 41, 16, 26, 5
2019/5/2, 37, 20, 27, 7
2019/5/3, 45, 23, 22, 6
2019/5/4, 46, 19, 22, 5
2019/5/5, 54, 19, 18, 4
2019/5/6, 40, 15, 21, 5
2019/5/7, 29, 13, 21, 4
2019/5/8, 36, 19, 30, 6
2019/5/9, 52, 33, 28, 7
2019/5/10, 61, 35, 23, 6
2019/5/11, 62, 28, 26, 7
2019/5/12, 56, 24, 17, 5
2019/5/13, 53, 16, 18, 4
2019/5/14, 38, 11, 10, 3
2019/5/15, 28, 13, 20, 5
2019/5/16, 34, 12, 12, 3
2019/5/17, 34, 16, 24, 7
2019/5/18, 44, 23, 24, 5
2019/5/19, 48, 21, 17, 5
2019/5/20, 39, 15, 15, 4
2019/5/21, 25, 19, 18, 6
2019/5/22, 37, 19, 18, 7
2019/5/23, 40, 22, 26, 7
2019/5/24, 50, 26, 25, 7
2019/5/25, 59, 27, 26, 7
2019/5/26, 62, 20, 22, 5
2019/5/27, 55, 22, 34, 6
2019/5/28, 45, 17, 18, 8
2019/5/29, 37, 23, 16, 6
2019/5/30, 43, 29, 27, 6
2019/5/31, 52, 23, 27, 6
2019/6/1, 52, 18, 21, 4
2019/6/2, 47, 16, 20, 5
2019/6/3, 48, 23, 21, 7
2019/6/4, 58, 25, 21, 8
2019/6/5, 57, 28, 23, 9
2019/6/6, 61, 31, 31, 8
2019/6/7, 71, 40, 38, 10
2019/6/8, 76, 46, 39, 9
2019/6/9, 82, 48, 41, 8
2019/6/10, 81, 59, 53, 11
2019/6/11, 96, 58, 37, 8
2019/6/12, 93, 60, 29, 8
2019/6/13, 95, 56, 28, 7
2019/6/14, 88, 54, 43, 8
2019/6/15, 85, 52, 25, 6
2019/6/16, 82, 48, 18, 4
2019/6/17, 71, 34, 24, 5
2019/6/18, 61, 33, 30, 6
2019/6/19, 64, 31, 27, 6
2019/6/20, 64, 30, 26, 7
2019/6/21, 60, 32, 33, 7
2019/6/22, 66, 37, 32, 7
2019/6/23, 73, 42, 18, 5
2019/6/24, 72, 41, 26, 7
2019/6/25, 76, 23, 11, 3
2019/6/26, 54, 22, 12, 3
2019/6/27, 59, 30, 22, 5
2019/6/28, 66, 39, 48, 7
2019/6/29, 76, 30, 10, 2
2019/6/30, 66, 23, 19, 3
2019/7/1, 56, 32, 40, 6
2019/2/6, 37, 16, 12, 3
2019/2/7, 40, 27, 11, 11
2019/2/8, 58, 42, 26, 13
2019/2/9, 91, 43, 43, 10
2019/2/10, 98, , 40, 6
2019/2/12, 64, 13, 25, 3
2019/2/13, 37, 9, 18, 1
2019/2/14, 26, 17, 9, 6
2019/2/15, 39, 15, 23, 3
2019/2/16, 36, 17, 20, 5
2019/2/17, 45, 29, 17, 8
2019/2/18, 67, 36, 37, 10
2019/2/19, 76, 36, 44, 9
2019/2/20, 86, 49, 39, 11
2019/2/21, 114, 66, 42, 16
2019/2/22, 142, 61, 51, 13
2019/2/23, 137, 23, 43, 1
2019/2/24, 40, 19, 11, 1
2019/2/25, 34, 14, 11, 3
2019/2/26, 33, 24, 14, 11
2019/2/27, 55, 43, 30, 12
2019/2/28, 91, 28, 29, 
2019/3/1, 58, 29, 30, 
2019/3/2, 59, 29, 25, 6
2019/3/3, 67, 37, 31, 9
2019/3/4, 84, 35, 42, 8
2019/3/5, 71, 31, 27, 7
2019/3/6, 51, 33, 20, 11
2019/3/7, 63, 61, 35, 13
2019/3/8, 84, 44, 35, 10
2019/3/9, 64, 38, 29, 7
2019/3/10, 65, 23, 27, 5
2019/3/11, 41, 31, 18, 7
2019/3/12, 40, 24, 18, 2
2019/3/13, 30, 16, 11, 6
2019/3/14, 36, 17, 24, 6
2019/3/15, 34, 36, 20, 9
2019/3/16, 49, 29, 28, 6
2019/3/17, 48, 29, 20, 6
2019/3/18, 54, 21, 24, 7
2019/3/19, 40, 24, 18, 5
2019/3/20, 42, 16, 21, 3
2019/3/21, 32, 18, 13, 3
2019/3/22, 47, 22, 11, 3
2019/3/23, 57, 24, 13, 4
2019/3/24, 63, 30, 21, 7
2019/3/25, 72, 29, 37, 7
2019/3/26, 72, 26, 21, 4
2019/3/27, 64, 16, 16, 3
2019/3/28, 44, 15, 11, 2
2019/3/29, 39, 17, 10, 2
2019/3/30, 46, 21, 17, 5
2019/3/31, 55, 31, 31, 7
2019/4/1, 69, 45, 36, 9
2018/10/3, 49, 15, 28, 3
2018/10/4, 33, 16, 9, 3
2018/10/5, 37, 18, 9, 5
2018/10/6, 42, 18, 20, 5
2018/10/7, 38, 17, 21, 5
2018/10/8, 39, 25, 20, 8
2018/10/9, 52, 27, 27, 10
2018/10/10, 54, 27, 33, 10
2018/10/11, 58, 35, 31, 11
2018/10/12, 75, 33, 35, 7
2018/10/13, 70, 32, 25, 7
2018/10/14, 77, 36, 27, 6
2018/10/15, 83, 23, 26, 5
2018/10/16, 56, 26, 17, 8
2018/10/17, 49, 30, 23, 10
2018/10/18, 59, 23, 31, 4
2018/10/19, 52, 41, 15, 8
2018/10/20, 74, 39, 26, 6
2018/10/21, 71, 30, 23, 4
2018/10/22, 69, 9, 19, 4
2018/10/23, 28, 15, 12, 3
2018/10/24, 49, 30, 8, 13
2018/10/25, 64, 30, 31, 12
2018/10/26, 63, 29, 28, 8
2018/10/27, 49, 23, 22, 4
2018/10/28, 43, 31, 17, 3
2018/10/29, 40, 62, 12, 4
2018/10/30, 70, 37, 10, 6
2018/10/31, 51, 30, 15, 9
2018/11/1, 52, 33, 30, 6
2018/11/2, 60, 24, 26, 8
2018/11/3, 69, 24, 26, 5
2018/11/4, 56, 19, 17, 4
2018/11/5, 48, 29, 18, 13
2018/11/6, 59, 36, 30, 12
2018/11/7, 64, 24, 28, 11
2018/11/8, 51, 25, 26, 8
2018/11/9, 48, 32, 27, 12
2018/11/10, 64, 29, 31, 9
2018/11/11, 63, 35, 29, 8
2018/11/12, 79, , 32, 
2018/11/14, 78, 50, 31, 13
2018/11/15, 108, 24, 37, 5
2018/11/16, 60, 15, 21, 2
2018/11/17, 37, 13, 9, 2
2018/11/18, 34, 12, 8, 2
2018/11/19, 38, 30, 8, 5
2018/11/20, 60, 32, 18, 8
2018/11/21, 48, 26, 16, 11
2018/11/22, 61, 32, 26, 17
2018/11/23, 70, 40, 33, 13
2018/11/24, 72, 28, 33, 8
2018/11/25, 62, 16, 22, 4
2018/11/26, 37, 20, 14, 7
2018/11/27, 38, 18, 20, 6
2018/11/28, 43, 12, 20, 4
2018/11/29, 38, 17, 15, 4
2018/11/30, 46, 35, 15, 9
2018/12/1, 77, 27, 31, 6
2018/12/2, 71, 21, 24, 9
2018/12/3, 55, 34, 24, 15
2018/12/4, 78, 23, 34, 10
2018/12/5, 53, 23, 25, 
2018/12/6, 58, , 29, 
2018/12/11, 62, 26, 23, 
2018/12/12, 56, 28, 27, 
2018/12/13, 62, 37, 26, 
2018/12/14, 67, 37, 31, 
2018/12/15, 68, , 21, 
2018/8/19, 58, , 13, 
2018/9/7, 56, 31, 19, 8
2018/9/8, 61, 28, 22, 7
2018/9/9, 53, 28, 17, 6
2018/9/10, 60, 32, 16, 8
2018/9/11, 63, 21, 23, 6
2018/9/12, 50, 23, 18, 6
2018/9/13, 45, 32, 18, 8
2018/9/14, 60, 30, 23, 8
2018/9/15, 55, 28, 23, 7
2018/9/16, 58, 25, 19, 6
2018/9/17, 54, 38, 17, 8
2018/9/18, 62, 35, 21, 9
2018/9/19, 65, 28, 24, 7
2018/9/20, 56, 33, 18, 8
2018/9/21, 65, 33, 22, 9
2018/9/22, 66, 39, 26, 9
2018/9/23, 78, 32, 28, 8
2018/9/24, 72, 27, 26, 8
2018/9/25, 52, 37, 18, 2
2018/9/26, 60, 28, 7, 2
2018/9/27, 54, 14, 6, 3
2018/9/28, 35, 24, 8, 4
2018/9/29, 43, , 19, 
2018/4/2, 33, 29, 13, 
2018/4/3, 39, 29, 28, 
2018/4/4, 48, 32, 36, 
2018/4/5, 60, 40, 27, 
2018/4/6, 71, 33, 24, 
2018/4/7, 63, 23, 26, 
2018/4/8, 47, 27, 27, 
2018/4/9, 57, 25, 16, 
2018/4/10, 51, 24, 11, 
2018/4/11, 39, 32, 26, 
2018/4/12, 63, 43, 26, 
2018/4/13, 75, , , 
2018/4/18, 77, 49, 10, 
2018/4/19, 59, 25, 15, 
2018/4/20, 55, 25, 21, 
2018/4/21, 64, 33, 27, 
2018/4/22, 68, 37, 18, 
2018/4/23, 76, 34, 18, 
2018/4/24, 77, 35, 22, 
2018/4/25, 66, 43, 26, 
2018/4/26, 77, 34, 32, 
2018/4/27, 67, 38, 37, 
2018/4/28, 64, 46, 29, 
2018/4/29, 74, 44, 18, 
2018/4/30, 77, 34, 17, 
2018/5/1, 61, 25, 15, 
2018/5/2, 38, 35, 16, 
2018/5/3, 59, 39, 15, 
2018/5/4, 58, 19, 21, 
2018/5/5, 37, 20, 15, 
2018/5/6, 37, 19, 16, 
2018/5/7, 39, 19, 18, 
2018/5/8, 47, 20, 24, 
2018/5/9, 55, 17, 16, 
2018/5/10, 51, 18, 14, 
2018/5/11, 48, 24, 16, 
2018/5/12, 55, 27, 20, 
2018/5/13, 57, 23, 14, 
2018/5/14, 53, 19, 16, 
2018/5/15, 41, 17, 19, 
2018/5/16, 29, 16, 23, 
2018/5/17, 38, 16, 20, 
2018/5/18, 39, 21, 24, 
2018/5/19, 54, 19, 19, 
2018/5/20, 51, 18, 13, 
2018/5/21, 50, 16, 20, 
2018/5/22, 39, , 17, 
2018/6/6, 61, 21, 15, 
2018/6/7, 62, , 21, 
2018/3/31, 56, 32, 24, 
2018/4/1, 53, 25, 10, 
2023/4/3, , 21, 3, 
2023/4/6, , 20, 24, 
2023/2/27, , 18, , 
2023/3/16, , 11, , 
2023/3/19, , 22, , 
2023/3/26, , 18, , 
2022/7/11, , 18, 17, 3
2022/4/4, , 20, 21, 5
2022/4/10, , 15, 10, 2
2022/5/1, , 23, 27, 5
2022/6/27, , 61, 33, 9
2022/1/31, , 31, 25, 11
2020/11/16, , 20, 23, 5
2020/7/6, , 38, 9, 1
2020/9/2, , 19, 18, 5
2020/4/23, , 12, 13, 5
2020/5/31, , 9, , 
2020/1/1, , 117, 23, 6
2019/7/28, , 25, 10, 4
2019/2/5, , 16, 15, 3
2019/2/11, , 30, 23, 8
2018/10/2, , 25, 23, 8
2018/11/13, , 35, 39, 11
2018/12/10, , 31, 25, 
2018/8/18, , 26, 13, 
2018/9/6, , 25, 17, 7
2018/4/17, , 65, 18, 
2018/6/5, , 29, 12, 
2018/3/30, , 31, 13, 
2023/2/8, , , 5, 
2023/2/9, , , 11, 
2023/2/11, , , 14, 
2023/3/4, , , 21, 
2022/6/26, , , 25, 6
2022/1/30, , , 28, 10
2020/11/14, , , 21, 7
2020/11/15, , , 19, 5
2020/4/2, , , 7, 2
2020/4/3, , , 9, 3
2020/4/4, , , 4, 1
2020/4/5, , , 4, 2
2020/4/6, , , 4, 2
2020/4/7, , , 7, 3
2020/4/8, , , 9, 2
2020/4/9, , , 11, 3
2020/4/10, , , 21, 4
2020/4/11, , , 21, 5
2020/4/12, , , 14, 5
2020/4/13, , , 7, 4
2020/4/14, , , 8, 4
2020/4/15, , , 11, 4
2020/4/16, , , 4, 1
2020/4/17, , , 12, 2
2020/4/18, , , 16, 4
2020/4/19, , , 10, 4
2020/4/20, , , 8, 3
2020/4/21, , , 11, 4
2020/4/22, , , 9, 4
2020/3/30, , , 13, 5
2020/3/31, , , 12, 4
2020/4/1, , , 3, 1
2019/12/29, , , 7, 1
2019/1/2, , , 16, 
2019/1/3, , , 14, 
2019/1/4, , , 13, 
2019/1/5, , , 21, 
2019/1/6, , , 41, 
2019/1/7, , , 51, 
2019/1/8, , , 32, 
2019/1/9, , , 47, 
2019/1/10, , , 32, 
2019/1/11, , , 31, 
2019/1/12, , , 27, 
2019/1/13, , , 36, 
2019/1/14, , , 40, 
2019/1/15, , , 40, 
2019/1/16, , , 26, 
2019/1/17, , , 49, 
2019/1/18, , , 31, 
2019/1/19, , , 25, 
2019/1/20, , , 41, 
2019/1/21, , , 33, 
2019/1/22, , , 33, 
2019/1/23, , , 30, 
2019/1/24, , , 30, 
2019/1/25, , , 25, 
2019/1/26, , , 21, 
2019/1/27, , , 23, 
2019/1/28, , , 22, 
2019/1/29, , , 20, 
