date, pm25, pm10, o3, no2, so2
2022/11/11, 19, 7, 24, 6, 
2022/11/12, 21, 10, 23, 5, 
2022/11/13, 28, 16, 20, 4, 
2022/11/14, 44, 15, 22, 9, 
2022/11/15, 39, 11, 28, 16, 1
2022/11/16, 24, 15, 17, 19, 1
2022/11/17, 38, 12, 11, 27, 
2022/11/18, 39, 10, 24, 16, 
2022/11/19, 28, 10, 23, 12, 1
2022/11/20, 26, 9, 20, 10, 
2022/11/21, 31, 13, 20, 11, 
2022/11/22, 38, 10, 21, 16, 1
2022/11/23, 26, 10, 22, 9, 
2022/11/24, 27, 11, 26, 6, 
2022/11/25, 29, 13, 19, 13, 
2022/11/26, 34, 14, 27, 4, 
2022/11/27, 36, 14, 27, 6, 
2022/11/28, 36, 15, 21, 20, 1
2022/11/29, 36, 20, 6, 19, 
2022/11/30, 58, 18, 18, 15, 1
2022/12/1, 53, 11, 18, 14, 
2022/12/2, 31, 17, 6, 22, 1
2022/12/3, 47, 17, 10, 13, 
2022/12/4, 52, 10, 17, 6, 
2022/12/5, 29, 8, 17, 6, 
2022/12/6, 17, 9, 17, 17, 1
2022/12/7, 21, 10, 21, 13, 
2022/12/8, 21, 10, 23, 17, 1
2022/12/9, 27, 21, 5, 18, 1
2022/12/10, 60, 16, 11, 14, 1
2022/12/11, 53, 11, 13, 17, 1
2022/12/12, 42, 27, 2, 27, 4
2022/12/13, 76, 29, 2, 24, 3
2022/12/14, 77, 18, 16, 17, 1
2022/12/15, 53, 15, 19, 18, 1
2022/12/16, 40, 19, 12, 18, 
2022/12/17, 53, 15, 20, 15, 1
2022/12/18, 51, 28, 23, 12, 3
2022/12/19, 79, 9, 24, 7, 
2022/12/20, 26, 14, 26, 8, 
2022/12/21, 30, 14, 27, 9, 
2022/12/22, 32, 14, 17, 14, 
2022/12/23, 38, 13, 15, 16, 1
2022/12/24, 47, 14, 23, 12, 
2022/12/25, 44, 9, 29, 6, 
2022/12/26, 29, 7, 28, 3, 
2022/12/27, 17, 9, 19, 13, 
2022/12/28, 28, 12, 26, 9, 
2022/12/29, 34, 8, 28, 8, 
2022/12/30, 19, 7, 25, 9, 
2022/12/31, 21, 10, 20, 17, 1
2023/1/1, 32, 9, 21, 8, 
2023/1/2, 33, 10, 16, 16, 1
2022/7/2, 21, 7, 18, 4, 
2022/7/3, 13, 5, 20, 1, 
2022/7/4, 10, 6, 20, 2, 
2022/7/5, 12, 8, 17, 5, 
2022/7/6, 15, 9, 16, 3, 
2022/7/8, 15, 8, 14, 3, 
2022/7/9, 18, 5, 15, 5, 
2022/7/10, 11, 7, 9, 12, 1
2022/7/11, 17, 9, 30, 7, 1
2022/7/12, 27, 16, 24, 6, 1
2022/7/13, 45, 10, 17, 4, 1
2022/7/14, 25, 10, 15, 5, 10
2022/7/15, 24, 8, 18, 3, 1
2022/7/16, 19, 8, 21, 4, 
2022/7/17, 22, 11, 34, 5, 1
2022/7/18, 34, 15, 46, 6, 1
2022/7/19, 39, 17, 36, 15, 1
2022/7/20, 36, 8, 18, 2, 1
2022/7/21, 17, 9, 18, 2, 1
2022/7/22, 18, 9, 13, 10, 1
2022/7/23, 19, 10, 15, 5, 1
2022/7/24, 23, 8, 17, 3, 1
2022/7/25, 21, 7, 15, 1, 1
2022/7/26, 17, 8, 17, 6, 1
2022/7/27, 13, , , , 
2022/7/29, 19, 13, 24, 8, 1
2022/7/30, 30, 8, 14, 5, 1
2022/7/31, 18, 5, 22, 2, 1
2022/8/1, 13, 7, 18, 5, 1
2022/8/2, 15, 6, 19, 4, 1
2022/8/3, 12, 9, 20, 4, 1
2022/8/4, 18, 8, 20, 2, 1
2022/8/5, 13, 10, 17, 4, 1
2022/8/6, 20, 11, 21, 3, 1
2022/8/7, 25, 10, 16, 3, 1
2022/8/8, 24, 16, 22, 4, 1
2022/8/9, 36, 12, 24, 6, 1
2022/8/10, 23, 13, 19, 6, 1
2022/8/12, 27, 14, 20, 18, 
2022/8/13, 25, 15, 34, 17, 
2022/8/14, 34, 17, 24, 19, 
2022/8/15, 42, 12, 24, 7, 
2022/8/16, 36, 10, 21, 1, 
2022/8/17, 24, 11, 17, 6, 
2022/8/18, 21, 10, 17, 5, 
2022/8/19, 23, 11, 17, 6, 
2022/8/20, 23, 10, 17, 4, 
2022/8/21, 21, 9, 20, 3, 
2022/8/22, 17, 6, 20, 9, 
2022/8/23, 15, 7, 18, 9, 
2022/8/24, 13, 9, 18, 6, 
2022/8/25, 16, 12, 19, 5, 
2022/8/26, 23, 12, 15, 7, 
2022/8/27, 23, , , , 
2022/8/31, 19, 9, 20, 9, 
2022/9/1, 17, 10, 20, 11, 
2022/9/2, 19, 13, 26, 11, 
2022/9/3, 29, 14, 29, 6, 
2022/9/4, 40, 9, 30, 2, 
2022/9/5, 24, 10, 24, 5, 
2022/9/6, 21, 13, 25, 5, 1
2022/9/7, 27, 11, 23, 7, 1
2022/9/8, 23, 10, 17, 10, 1
2022/9/9, 21, 9, 19, 11, 1
2022/9/10, 19, 10, 20, 8, 1
2022/9/11, 21, 8, 18, 8, 1
2022/9/12, 22, 6, 24, 5, 1
2022/9/13, 16, 10, 24, 2, 1
2022/9/14, 24, 8, 23, 3, 1
2022/9/15, 16, 8, 22, 4, 1
2022/9/16, 15, 8, 23, 3, 1
2022/9/17, 13, 7, 20, 4, 1
2022/9/19, 9, 6, 23, 6, 1
2022/9/20, 18, 13, 21, 10, 1
2022/9/21, 36, 16, 23, 7, 1
2022/9/22, 36, 11, 22, 7, 2
2022/9/23, 25, , , , 
2022/9/25, 15, 8, 22, 5, 1
2022/9/26, 18, 14, 24, 3, 1
2022/9/27, 29, 17, 22, 4, 1
2022/9/28, 31, 11, 18, 7, 
2022/9/29, 18, 7, 18, 9, 1
2022/9/30, 20, 9, 22, 5, 
2022/10/1, 23, 9, 18, 5, 
2022/4/2, 15, 6, 27, 10, 2
2022/4/3, 21, 11, 29, 9, 1
2022/4/4, 37, 5, 26, 3, 
2022/4/5, 18, 4, 30, 2, 
2022/4/6, 13, 8, 26, 7, 1
2022/4/7, 17, 8, 28, 4, 
2022/4/8, 14, 10, 28, 6, 
2022/4/9, 22, 9, 27, 8, 1
2022/4/10, 19, 11, 27, 16, 1
2022/4/11, 31, 16, 26, 11, 1
2022/4/12, 37, 23, 23, 15, 1
2022/4/13, 57, 18, 21, 12, 1
2022/4/14, 58, 15, 24, 15, 1
2022/4/15, 44, 10, 25, 11, 1
2022/4/16, 32, 10, 29, 10, 1
2022/4/17, 34, 10, 30, 10, 
2022/4/18, 35, 9, 31, 11, 1
2022/4/19, 28, 8, 30, 14, 
2022/4/20, 22, 12, 33, 18, 
2022/4/21, 34, 16, 32, 16, 2
2022/4/22, 43, 19, 27, 17, 1
2022/4/23, 46, 20, 29, 15, 2
2022/4/24, 42, 17, 27, 14, 1
2022/4/25, 40, 11, 26, 12, 1
2022/4/26, 27, 13, 30, 6, 1
2022/4/27, 30, 11, 29, 4, 1
2022/4/28, 23, 18, 28, 9, 1
2022/4/29, 45, 22, 33, 8, 1
2022/4/30, 58, 24, 28, 6, 
2022/5/1, 66, 11, 26, 4, 1
2022/5/2, 38, 6, 21, 10, 2
2022/5/3, 19, 12, 16, 6, 1
2022/5/4, 39, 10, 26, 2, 1
2022/5/5, 34, 10, 21, 5, 1
2022/5/6, 19, 8, 18, 6, 1
2022/5/7, 18, 9, 19, 7, 2
2022/5/8, 28, 13, 29, 4, 1
2022/5/9, 39, 10, 24, 3, 1
2022/5/10, 31, 11, 27, 3, 1
2022/5/11, 23, 10, 25, 3, 1
2022/5/12, 19, 10, 26, 4, 1
2022/5/13, 21, 18, 31, 4, 1
2022/5/14, 36, 25, 31, 4, 1
2022/5/15, 56, 19, 30, 8, 2
2022/5/16, 51, 18, 31, 4, 1
2022/5/17, 52, 15, 29, 4, 1
2022/5/18, 42, 11, 34, 2, 1
2022/5/19, 27, 13, 31, 3, 1
2022/5/20, 27, 10, 29, 6, 
2022/5/21, 21, 10, 24, 5, 
2022/5/22, 23, 9, 25, 3, 
2022/5/23, 21, 6, 24, 5, 1
2022/5/24, 12, 6, 25, 3, 
2022/5/25, 11, 7, 26, 3, 
2022/5/26, 13, 9, 30, 3, 
2022/5/27, 17, 13, 29, 2, 
2022/5/28, 26, 11, 24, 4, 2
2022/5/29, 21, 8, 25, 4, 
2022/5/30, 19, 9, 26, 4, 1
2022/5/31, 17, 7, 20, 6, 
2022/6/1, 13, 6, 28, 7, 1
2022/6/2, 17, 10, 28, 9, 
2022/6/3, 28, 11, 26, 10, 1
2022/6/4, 32, 12, 24, 10, 2
2022/6/6, 30, 10, 25, 12, 3
2022/6/7, 27, 10, 30, 9, 1
2022/6/8, 27, 10, 27, 5, 1
2022/6/9, 21, 10, 19, 5, 1
2022/6/10, 22, 16, 22, 4, 1
2022/6/11, 37, 13, 26, 2, 1
2022/6/12, 28, 11, 26, 1, 1
2022/6/13, 25, 9, 24, 4, 1
2022/6/14, 20, 12, 24, 7, 1
2022/6/15, 23, 11, 27, 7, 1
2022/6/17, 28, 10, 23, 7, 
2022/6/18, 23, 13, 23, 2, 1
2022/6/19, 25, 13, 23, 1, 1
2022/6/20, 27, 13, 21, 6, 2
2022/6/21, 27, 12, 14, 9, 2
2022/6/22, 21, 10, 13, 10, 2
2022/6/23, 23, 13, 20, 7, 1
2022/6/24, 30, 12, 29, 5, 1
2022/6/25, 32, 10, 26, 2, 
2022/6/26, 23, 6, 26, 3, 
2022/6/27, 18, 7, 21, 4, 
2022/6/28, 15, 10, 21, 3, 
2022/6/29, 24, 11, 14, 6, 
2022/6/30, 25, 9, 10, 11, 
2022/7/1, 23, 9, 19, 5, 
2022/1/4, 31, 9, 24, 6, 2
2022/1/5, 22, 10, 25, 14, 
2022/1/6, 27, 11, 23, 10, 1
2022/1/7, 33, 6, 26, 9, 
2022/1/8, 17, 11, 26, 6, 1
2022/1/9, 35, 9, 26, 7, 1
2022/1/10, 25, 12, 19, 14, 1
2022/1/11, 35, 14, 21, 16, 1
2022/1/12, 34, 16, 19, 12, 
2022/1/13, 46, 20, 13, 14, 
2022/1/14, 48, 17, 13, 17, 1
2022/1/15, 52, 24, 2, 26, 2
2022/1/16, 69, 23, 27, 5, 1
2022/1/17, 65, 17, 18, 24, 1
2022/1/18, 44, 29, 13, 20, 1
2022/1/19, 73, 15, 23, 7, 1
2022/1/20, 41, 15, 25, 14, 
2022/1/21, 36, 13, 21, 12, 
2022/1/22, 29, 10, 18, 13, 
2022/1/23, 32, 11, 23, 7, 
2022/1/24, 37, 23, 17, 14, 
2022/1/25, 50, 42, 14, 14, 
2022/1/26, 76, 28, 18, 11, 1
2022/1/27, 62, 12, 27, 8, 
2022/1/28, 29, 17, 14, 15, 1
2022/1/29, 37, , , , 
2022/2/1, 32, 9, 30, 3, 1
2022/2/2, 21, 11, 26, 11, 1
2022/2/3, 24, 14, 25, 8, 1
2022/2/4, 29, 10, 29, 5, 2
2022/2/5, 21, 8, 27, 5, 1
2022/2/6, 23, 7, 30, 3, 1
2022/2/7, 19, 11, 24, 11, 1
2022/2/8, 27, 9, 28, 10, 1
2022/2/9, 21, 12, 25, 7, 1
2022/2/10, 27, 11, 24, 7, 1
2022/2/11, 24, 12, 26, 12, 1
2022/2/12, 29, 9, 29, 7, 1
2022/2/13, 22, 9, 26, 5, 2
2022/2/14, 26, 5, 29, 6, 2
2022/2/15, 13, 11, 27, 8, 2
2022/2/16, 26, 13, 31, 5, 2
2022/2/17, 34, 13, 30, 9, 1
2022/2/18, 27, 10, 28, 7, 
2022/2/19, 23, 9, 27, 13, 
2022/2/20, 22, 8, 32, 3, 
2022/2/21, 23, 16, 30, 5, 
2022/2/22, 35, 20, 29, 6, 1
2022/2/23, 36, 14, 26, 7, 1
2022/2/24, 27, 8, 24, 8, 1
2022/2/25, 20, 9, 28, 10, 
2022/2/26, 22, 12, 30, 4, 1
2022/2/27, 23, 20, 30, 3, 1
2022/2/28, 37, 17, 28, 13, 1
2022/3/1, 38, 18, 17, 22, 1
2022/3/2, 43, 14, 21, 11, 
2022/3/3, 39, 10, 28, 14, 1
2022/3/4, 27, 13, 24, 9, 
2022/3/5, 29, 10, 27, 11, 1
2022/3/6, 23, 20, 26, 21, 2
2022/3/7, 55, 24, 26, 18, 1
2022/3/8, 64, 22, 27, 6, 
2022/3/9, 53, 20, 32, 9, 1
2022/3/10, 51, 10, 30, 14, 
2022/3/11, 26, 13, 30, 9, 
2022/3/12, 34, 10, 27, 9, 
2022/3/13, 29, 11, 32, 3, 
2022/3/14, 26, 10, 26, 9, 
2022/3/15, 23, 13, 24, 10, 1
2022/3/16, 30, 10, 25, 8, 
2022/3/17, 23, 12, 26, 11, 1
2022/3/18, 32, 24, 25, 19, 1
2022/3/19, 57, 20, 29, 9, 1
2022/3/20, 55, 21, 25, 6, 1
2022/3/21, 57, 29, 24, 14, 
2022/3/22, 74, 44, 22, 20, 1
2022/3/23, 99, 50, 33, 19, 1
2022/3/24, 112, 38, 22, 19, 2
2022/3/25, 85, 44, 11, 29, 3
2022/3/26, 90, 50, 17, 31, 2
2022/3/27, 109, 47, 27, 21, 1
2022/3/28, 105, 29, 17, 23, 3
2022/3/29, 71, 29, 14, 25, 2
2022/3/30, 70, 25, 24, 11, 1
2022/3/31, 59, 11, 28, 8, 
2022/4/1, 18, 9, 24, 7, 
2021/10/2, 17, 8, 19, 11, 
2021/10/3, 21, 7, 21, 4, 
2021/10/4, 17, 8, 17, 11, 
2021/10/5, 17, 8, 21, 5, 
2021/10/6, 15, 8, 17, 10, 1
2021/10/7, 17, 7, 7, 4, 
2021/10/8, 19, 8, 15, 6, 1
2021/10/9, 19, 10, 16, 6, 
2021/10/10, 25, 10, 19, 3, 
2021/10/11, 27, 14, 18, 6, 1
2021/10/12, 31, 10, 19, 3, 1
2021/10/13, 19, 9, 18, 9, 1
2021/10/14, 22, 14, 20, 6, 1
2021/10/15, 37, 10, 23, 9, 1
2021/10/16, 24, 11, 20, 11, 1
2021/10/17, 29, 8, 22, 5, 1
2021/10/18, 22, 7, 23, 6, 1
2021/10/19, 21, 8, 18, 6, 1
2021/10/20, 21, 12, 22, 6, 
2021/10/21, 24, 12, 25, 4, 
2021/10/22, 21, 10, 28, 10, 
2021/10/23, 19, 8, 26, 5, 
2021/10/24, 16, 6, 26, 5, 
2021/10/25, 15, 9, 20, 15, 
2021/10/26, 23, 11, 21, 4, 
2021/10/27, 27, , , , 
2021/10/30, 32, 10, 20, 12, 4
2021/10/31, 26, 12, 22, 9, 
2021/11/1, 38, 9, 26, 9, 
2021/11/2, 22, 9, 15, 10, 
2021/11/3, 22, 9, 21, 7, 
2021/11/4, 15, 9, 23, 8, 
2021/11/5, 15, 10, 18, 11, 
2021/11/6, 22, 9, 24, 4, 
2021/11/7, 22, 14, 25, 6, 
2021/11/8, 33, 15, 15, 14, 
2021/11/9, 39, 8, 21, 12, 1
2021/11/10, 20, 15, 13, 17, 1
2021/11/11, 33, 15, 27, 11, 1
2021/11/12, 39, 9, 26, 5, 1
2021/11/13, 21, 6, 21, 9, 1
2021/11/14, 17, 10, 13, 9, 1
2021/11/15, 36, 8, 19, 12, 1
2021/11/16, 27, 10, 19, 10, 1
2021/11/17, 26, 15, 20, 11, 1
2021/11/18, 36, 12, 21, 10, 1
2021/11/19, 25, 10, 19, 11, 1
2021/11/20, 22, 7, 19, 7, 1
2021/11/21, 19, 9, 22, 5, 1
2021/11/22, 19, 12, 13, 15, 1
2021/11/23, 22, 10, 22, 10, 1
2021/11/24, 21, 10, 16, 10, 1
2021/11/25, 25, 13, 22, 8, 1
2021/11/26, 27, 11, 26, 4, 1
2021/11/27, 27, 10, 27, 4, 1
2021/11/28, 21, 9, 19, 10, 1
2021/11/29, 22, 11, 22, 12, 1
2021/11/30, 34, 6, 25, 9, 
2021/12/1, 18, 7, 26, 6, 1
2021/12/2, 18, 12, 22, 13, 
2021/12/3, 26, 13, 19, 15, 1
2021/12/4, 33, 11, 28, 4, 1
2021/12/5, 29, 9, 25, 13, 2
