date, pm25, o3, no2, so2, co
2023/4/2, 57, , 14, 19, 12
2023/4/3, 47, , 14, 15, 23
2023/4/4, 34, , 14, 17, 34
2023/4/5, 45, , 14, 18, 29
2023/4/6, 49, , 15, 18, 27
2023/4/7, 62, , , 17, 28
2023/4/8, 60, , 14, 16, 24
2023/4/9, 62, , 14, 18, 21
2023/4/10, 64, , 15, 23, 25
2023/4/11, 65, , , , 
2023/1/3, 105, , 15, 22, 21
2023/1/4, 89, , 15, 25, 25
2023/1/5, 107, , 15, 36, 26
2023/1/6, 82, , 15, 24, 22
2023/1/7, 54, , 15, 21, 13
2023/1/8, 60, , 15, 20, 19
2023/1/9, 58, , 15, 21, 25
2023/1/10, 70, , 14, 21, 35
2023/1/11, 136, , 15, 22, 20
2023/1/12, 65, , 15, 18, 16
2023/1/13, 52, , 15, 20, 22
2023/1/14, 61, , 15, 17, 23
2023/1/15, 86, , 15, 17, 25
2023/1/16, 115, , 15, 19, 16
2023/1/17, 79, , 15, 17, 30
2023/1/18, 58, , 14, 17, 36
2023/1/19, 42, , 14, 20, 21
2023/1/20, 67, , 14, 23, 19
2023/1/21, 80, , 15, 22, 24
2023/1/22, 70, , 15, 21, 26
2023/1/23, 81, , 15, 20, 20
2023/1/24, 80, , 15, 40, 25
2023/1/25, 80, , 15, 43, 25
2023/1/26, 87, , 14, 16, 23
2023/1/27, 70, , 14, 14, 21
2023/1/28, 63, , 14, 17, 18
2023/1/29, 53, , 14, 24, 29
2023/1/30, 65, , 14, 21, 40
2023/1/31, 61, , 15, 26, 26
2023/2/1, 59, , 14, 21, 47
2023/2/2, 51, , 14, 18, 34
2023/2/3, 68, , 15, 22, 15
2023/2/4, 59, , 14, 17, 20
2023/2/5, 64, , 14, 19, 20
2023/2/6, 65, , 15, 20, 28
2023/2/7, 64, , 15, 20, 39
2023/2/8, 66, , 15, 43, 29
2023/2/9, 83, , 14, 44, 22
2023/2/10, 61, , 14, 18, 26
2023/2/11, 53, , 14, 22, 29
2023/2/12, 62, , 15, 23, 32
2023/2/13, 76, , 14, 23, 26
2023/2/14, 94, , 14, 22, 17
2023/2/15, 82, , 14, 21, 19
2023/2/16, 61, , 14, 22, 23
2023/2/17, 90, , 14, 19, 23
2023/2/18, 76, , 15, 16, 21
2023/2/19, 47, , 15, 20, 34
2023/2/20, 51, , 14, 23, 29
2023/2/21, 44, , 14, 26, 31
2023/2/22, 61, , 15, 23, 31
2023/2/23, 85, , 15, 21, 26
2023/2/24, 85, , 15, 19, 27
2023/2/25, 85, , 15, 27, 24
2023/2/26, 81, , 15, 26, 29
2023/2/27, 80, , 14, 21, 31
2023/2/28, 64, , 14, 18, 23
2023/3/1, 57, , 14, 19, 19
2023/3/2, 54, , 15, 20, 23
2023/3/3, 63, , 15, 19, 29
2023/3/4, 61, , 15, 22, 27
2023/3/5, 68, , 14, 22, 34
2023/3/6, 68, , 14, 22, 28
2023/3/7, 67, , 15, 22, 32
2023/3/8, 69, , , 22, 27
2023/3/9, 83, , 14, 19, 23
2023/3/10, 77, , 14, 17, 22
2023/3/11, 61, , , 20, 24
2023/3/12, 51, , 15, 22, 22
2023/3/13, 47, , , , 
2023/3/20, 42, , 15, 23, 36
2023/3/21, 50, , 15, 21, 38
2023/3/22, 49, , 14, 15, 30
2023/3/23, 55, , 14, 15, 28
2023/3/24, 48, , 15, 15, 22
2023/3/25, 54, , 15, 15, 23
2023/3/26, 55, , 15, 19, 24
2023/3/27, 63, , 15, 22, 29
2023/3/28, 71, , 15, 18, 17
2023/3/29, 69, , 14, 15, 21
2023/3/30, 65, , 14, 14, 36
2023/3/31, 58, , 15, 14, 30
2023/4/1, 49, , 15, 15, 34
2022/10/12, 95, , 14, 23, 31
2022/10/13, 92, , , , 
2022/11/30, 72, , , 33, 32
2022/12/1, 76, , , 26, 26
2022/12/2, 68, , , 23, 23
2022/12/3, 61, , , 28, 20
2022/12/4, 71, , , 22, 23
2022/12/5, 66, , , 42, 21
2022/12/6, 67, , , 23, 23
2022/12/7, 54, , , 16, 41
2022/12/8, 39, , , 18, 30
2022/12/9, 71, , , 27, 14
2022/12/10, 103, , , , 
2022/12/13, 116, , , 25, 24
2022/12/14, 107, , 15, 28, 24
2022/12/15, 92, , , , 
2022/12/17, 72, , 15, 21, 19
2022/12/18, 59, , 15, 24, 21
2022/12/19, 59, , 15, 25, 22
2022/12/20, 73, , 15, 26, 22
2022/12/21, 77, , 15, 27, 25
2022/12/22, 78, , 15, 24, 26
2022/12/23, 79, , 15, 22, 24
2022/12/24, 97, , 15, 21, 37
2022/12/25, 88, , 15, 23, 32
2022/12/26, 70, , 15, 20, 15
2022/12/27, 72, , 14, 20, 23
2022/12/28, 93, , 15, 16, 22
2022/12/29, 72, , 15, 19, 16
2022/12/30, 51, , 15, 24, 27
2022/12/31, 92, , 15, 24, 24
2023/1/1, 117, , 15, 23, 18
2023/1/2, 106, , 15, 26, 19
2022/7/2, 118, , 15, 20, 28
2022/7/3, 127, , 15, 20, 33
2022/7/4, 151, , 15, 19, 32
2022/7/5, 137, , 15, 19, 31
2022/7/6, 164, , 15, 19, 32
2022/7/7, 171, , 15, 22, 30
2022/7/8, 155, , 15, 18, 29
2022/7/9, 123, , 15, 17, 26
2022/7/10, 143, , 15, 18, 29
2022/7/11, 206, , 15, 18, 29
2022/7/12, 162, , 15, 19, 32
2022/7/13, 179, , 15, 19, 34
2022/7/14, 174, , 15, 17, 35
2022/7/15, 64, , 15, 27, 42
2022/7/16, 48, , 15, 19, 32
2022/7/17, 54, , 15, 30, 45
2022/7/18, 59, , 15, 38, 40
2022/7/19, 68, , 15, 19, 33
2022/7/20, 72, , 15, 27, 46
2022/7/21, 62, , 15, 20, 33
2022/7/22, 107, , 15, 19, 29
2022/7/23, 126, , 15, 19, 28
2022/7/24, 133, , 15, 21, 32
2022/7/25, 126, , 15, 20, 32
2022/7/26, 101, , 15, 21, 33
2022/7/27, 69, , 15, 21, 32
2022/7/28, 81, , 15, 16, 26
2022/7/29, 88, , 15, 42, 28
2022/7/30, 77, , 15, 15, 28
2022/7/31, 57, , , 16, 30
2022/8/1, 53, , 15, 15, 35
2022/8/2, 63, , 15, 15, 38
2022/8/3, 59, , 15, 17, 40
2022/8/4, 58, , 15, 26, 56
2022/8/5, 58, , , , 
2022/8/8, 66, , 15, 18, 37
2022/8/9, 72, , 15, 24, 30
2022/8/10, 78, , 15, 27, 35
2022/8/11, 66, , 15, 24, 37
2022/8/12, 64, , 15, 19, 36
2022/8/13, 61, , 15, 24, 31
2022/8/14, 40, , 15, 24, 37
2022/8/15, 38, , 15, 23, 44
2022/8/16, 50, , 15, 29, 43
2022/8/17, 46, , 15, 28, 43
2022/8/18, 46, , 15, 25, 38
2022/8/19, 46, , 15, 22, 43
2022/8/20, 54, , 15, 22, 36
2022/8/21, 72, , 15, 23, 34
2022/8/22, 70, , 15, 25, 33
2022/8/23, 68, , 15, 26, 36
2022/8/24, 67, , 15, 23, 37
2022/8/25, 64, , 14, 21, 34
2022/8/26, 63, , 14, 18, 37
2022/8/27, 60, , 15, 25, 39
2022/8/28, 41, , 15, 25, 43
2022/8/29, 40, , 15, 29, 52
2022/8/30, 44, , 15, 31, 55
2022/8/31, 54, , 15, 22, 38
2022/9/1, 70, , 15, 20, 35
2022/9/2, 80, , 15, 21, 39
2022/9/3, 76, , 15, 30, 49
2022/9/4, 62, , 15, 31, 52
2022/9/5, 65, , 15, 33, 37
2022/9/6, 81, , 15, 38, 33
2022/9/7, 106, , 15, 22, 32
2022/9/8, 123, , 15, 20, 31
2022/9/9, 125, , 15, 20, 33
2022/9/10, 102, , 15, 19, 29
2022/9/11, 84, , 15, 20, 31
2022/9/12, 88, , 15, 21, 34
2022/9/13, 89, , 15, 21, 35
2022/9/14, 91, , 15, 21, 33
2022/9/15, 94, , 15, 20, 35
2022/9/16, 89, , 15, 19, 30
2022/9/17, 74, , 15, 16, 26
2022/9/18, 66, , , 20, 29
2022/9/19, 75, , , 21, 35
2022/9/20, 84, , , 20, 33
2022/9/21, 77, , , 21, 33
2022/9/22, 78, , , , 34
2022/9/23, 77, , , , 
2022/4/2, 83, , 14, 14, 20
2022/4/3, 84, , 14, 14, 29
2022/4/4, 80, , 14, 15, 32
2022/4/5, 79, , 14, 15, 28
2022/4/6, 82, , 14, 15, 30
2022/4/7, 84, , 14, 14, 29
2022/4/8, 76, , 14, 14, 25
2022/4/9, 97, , 14, 15, 28
2022/4/10, 118, , 14, 15, 31
2022/4/11, 107, , 14, 15, 28
2022/4/12, 93, , 14, 14, 29
2022/4/13, 91, , 14, 14, 29
2022/4/14, 105, , 14, 16, 32
2022/4/15, 88, , 15, 16, 34
2022/4/16, 81, , 14, 18, 34
2022/4/17, 87, , 14, 18, 33
2022/4/18, 104, , 14, 16, 31
2022/4/19, 70, , 14, 19, 32
2022/4/20, 55, , 15, 20, 34
2022/4/21, 62, , 15, 19, 34
2022/4/22, 79, , 15, 19, 31
2022/4/23, 96, , 15, 15, 29
2022/4/24, 105, , 15, 19, 33
2022/4/25, 73, , 14, 19, 34
2022/4/26, 96, , 14, 18, 32
2022/4/27, 129, , 14, 16, 33
2022/4/28, 81, , 14, 17, 37
2022/4/29, 96, , 14, 16, 32
2022/4/30, 112, , 14, 15, 26
2022/5/1, 78, , 14, 15, 30
2022/5/2, 61, , 14, 16, 34
2022/5/3, 92, , 14, 15, 27
2022/5/4, 144, , 14, 14, 25
2022/5/5, 110, , 14, 16, 28
2022/5/6, 123, , 14, 28, 31
2022/5/7, 91, , 15, 36, 30
2022/5/8, 87, , 14, 17, 35
2022/5/9, 90, , 15, 17, 32
2022/5/10, 89, , 14, 16, 33
2022/5/11, 56, , 15, 16, 30
2022/5/12, 75, , 15, 17, 35
2022/5/13, 92, , 14, 16, 34
2022/5/14, 69, , 14, 14, 26
2022/5/15, 94, , 14, 36, 30
2022/5/16, 94, , 15, 33, 51
2022/5/17, 55, , 14, 20, 32
2022/5/18, 80, , 14, 19, 29
2022/5/19, 110, , 14, 19, 34
2022/5/20, 107, , 14, 15, 28
2022/5/21, 86, , 14, 18, 26
2022/5/22, 68, , 14, 43, 32
2022/5/23, 76, , 15, 21, 40
2022/5/24, 67, , 15, 19, 34
2022/5/25, 105, , 15, 45, 32
2022/5/26, 125, , 15, 31, 35
2022/5/27, 96, , 15, 15, 30
2022/5/28, 124, , 15, 17, 28
2022/5/29, 84, , 15, 18, 32
2022/5/30, 69, , 15, 18, 31
2022/5/31, 61, , 15, 20, 35
2022/6/1, 59, , 15, 23, 44
2022/6/2, 55, , 15, 24, 42
2022/6/3, 56, , 15, 21, 43
2022/6/4, 59, , , 18, 37
2022/6/5, 61, , 15, 17, 29
