date, pm25, pm10, no2
2022/10/28, 28, 11, 10
2022/10/29, 30, 6, 5
2022/10/30, 12, 8, 14
2022/10/31, 14, 11, 13
2022/11/1, 29, 11, 14
2022/11/2, 27, 14, 10
2022/11/3, 36, 12, 12
2022/11/4, 29, 9, 4
2022/11/5, 23, 7, 4
2022/11/6, 21, 5, 3
2022/11/7, 15, 9, 6
2022/11/8, 24, 5, 10
2022/11/9, 13, 13, 9
2022/11/10, 33, 11, 11
2022/11/11, 26, 7, 7
2022/11/12, 17, 11, 8
2022/11/13, 25, 13, 12
2022/11/14, 27, 9, 11
2022/11/15, 22, 6, 7
2022/11/16, 11, 6, 10
2022/11/17, 11, 5, 10
2022/11/18, 12, 6, 9
2022/11/19, 11, 7, 5
2022/11/20, 17, 4, 5
2022/11/21, 13, 9, 8
2022/11/22, 29, 13, 12
2022/11/23, 38, 6, 10
2022/11/24, 18, 7, 11
2022/11/25, 21, 8, 11
2022/11/26, 24, 10, 9
2022/11/27, 30, 10, 9
2022/11/28, 33, 11, 8
2022/11/29, 34, 8, 7
2022/11/30, 26, 11, 16
2022/12/1, 33, 9, 13
2022/12/2, 28, 15, 11
2022/12/3, 42, 29, 7
2022/12/4, 39, 16, 7
2022/12/5, 36, 17, 13
2022/12/6, 40, 17, 14
2022/12/7, 34, 15, 15
2022/12/8, 33, 13, 16
2022/12/9, 31, 14, 19
2022/12/10, 40, 7, 7
2022/12/11, 24, 8, 7
2022/12/12, 27, 7, 7
2022/12/13, 21, 9, 7
2022/12/14, 22, 9, 15
2022/12/15, 26, 11, 20
2022/12/16, 32, 15, 19
2022/12/17, 42, 9, 8
2022/12/18, 26, 11, 6
2022/12/19, 32, 13, 9
2022/12/20, 38, 12, 10
2022/12/21, 34, 8, 11
2022/12/22, 20, 7, 11
2022/12/23, 21, 6, 9
2022/12/24, 16, 10, 9
2022/12/25, 25, 12, 6
2022/12/26, 32, 9, 2
2022/12/27, 29, 4, 7
2022/12/28, 10, 10, 15
2022/12/29, 23, 4, 6
2022/12/30, 14, 5, 8
2022/12/31, 14, 8, 3
2023/1/1, 21, 10, 12
2023/1/2, 24, 7, 11
2022/7/2, 43, 15, 6
2022/7/3, 33, 11, 7
2022/7/4, 16, 10, 9
2022/7/5, 19, 9, 7
2022/7/6, 13, 11, 9
2022/7/7, 15, 8, 13
2022/7/8, 15, 10, 11
2022/7/9, 16, 7, 5
2022/7/10, 10, 5, 5
2022/7/11, 6, 10, 10
2022/7/12, 14, 9, 9
2022/7/13, 12, 12, 9
2022/7/14, 18, 7, 7
2022/7/15, 9, 4, 5
2022/7/16, 6, 3, 3
2022/7/17, 4, 3, 3
2022/7/18, 4, 11, 9
2022/7/19, 18, 11, 8
2022/7/20, 24, 10, 7
2022/7/21, 21, 20, 13
2022/7/22, 32, 25, 17
2022/7/23, 53, 9, 5
2022/7/24, 21, 7, 5
2022/7/25, 12, 14, 7
2022/7/26, 27, 11, 6
2022/7/27, 24, 8, 8
2022/7/28, 13, 7, 6
2022/7/29, 8, 6, 9
2022/7/30, 8, 7, 8
2022/7/31, 11, 6, 5
2022/8/1, 8, 9, 7
2022/8/2, 12, 8, 7
2022/8/3, 14, 11, 5
2022/8/4, 17, 14, 7
2022/8/5, 25, 20, 11
2022/8/6, 46, 7, 5
2022/8/7, 13, 7, 6
2022/8/8, 13, 10, 9
2022/8/9, 20, 11, 10
2022/8/10, 18, 12, 8
2022/8/11, 18, 11, 11
2022/8/12, 17, 12, 13
2022/8/13, 20, 10, 4
2022/8/14, 17, 12, 5
2022/8/15, 19, 21, 11
2022/8/16, 39, , 
