date, pm25, pm10, no2
2020/12/4, 45, 9, 5
2020/12/5, 28, 22, 5
2020/12/6, 62, 23, 3
2020/12/7, 62, 13, 3
2020/12/8, 38, 16, 3
2020/12/9, 41, 12, 5
2020/12/10, 39, 21, 6
2020/12/11, 51, 20, 7
2020/12/12, 50, 15, 4
2020/12/13, 50, 19, 3
2020/12/14, 56, , 
2020/7/2, 13, 14, 9
2020/7/3, 17, 13, 9
2020/7/4, 13, 8, 7
2020/7/5, 11, 7, 6
2020/7/6, 14, 10, 5
2020/7/7, 12, 5, 7
2020/7/8, 7, 5, 14
2020/7/9, 9, 7, 10
2020/7/10, 9, 8, 7
2020/7/11, 14, 5, 6
2020/7/12, 11, 5, 7
2020/7/13, 9, 6, 8
2020/7/14, 11, 10, 9
2020/7/15, 18, 10, 6
2020/7/16, 22, 12, 12
2020/7/17, 22, 13, 12
2020/7/18, 16, 10, 6
2020/7/19, 16, 12, 6
2020/7/20, 24, 14, 7
2020/7/21, 27, 8, 7
2020/7/22, 9, 8, 6
2020/7/23, 6, 7, 6
2020/7/24, 6, 6, 8
2020/7/25, 6, 5, 6
2020/7/26, 8, 6, 4
2020/7/27, 12, 9, 8
2020/7/28, 18, 11, 3
2020/7/29, 26, 9, 8
2020/7/30, 18, 6, 8
2020/7/31, 10, 8, 8
2020/8/1, 18, 12, 7
2020/8/2, 26, 10, 4
2020/8/3, 23, 9, 8
2020/8/4, 16, 6, 9
2020/8/5, 8, 9, 7
2020/8/6, 13, 9, 11
2020/8/7, 16, 14, 12
2020/8/8, 22, 14, 6
2020/8/9, 19, 14, 8
2020/8/10, 27, 8, 9
2020/8/11, 12, 9, 11
2020/8/12, 13, 16, 14
2020/8/13, 17, 16, 11
2020/8/14, 26, 16, 11
2020/8/15, 31, 18, 13
2020/8/16, 32, 14, 8
2020/8/17, 29, 10, 8
2020/8/18, 19, 19, 13
2020/8/19, 28, 17, 10
2020/8/20, 28, 16, 12
2020/8/21, 21, 15, 8
2020/8/22, 28, 11, 7
2020/8/23, 25, 8, 5
2020/8/24, 16, 8, 11
2020/8/25, 14, 8, 13
2020/8/26, 8, 11, 15
2020/8/27, 11, 10, 12
2020/8/28, 10, 17, 15
2020/8/29, 14, 8, 12
2020/8/30, 15, 6, 10
2020/8/31, 14, 4, 7
2020/9/1, 8, 8, 12
2020/9/2, 16, 9, 14
2020/9/3, 19, 12, 10
2020/9/4, 31, 15, 12
2020/9/5, 30, 9, 6
2020/9/6, 16, 5, 8
2020/9/7, 11, 6, 15
2020/9/8, 10, 6, 10
2020/9/9, 9, 7, 8
2020/9/10, 17, 5, 8
2020/9/11, 6, 10, 15
2020/9/12, 11, 8, 6
2020/9/13, 20, 7, 5
2020/9/14, 16, 7, 13
2020/9/15, 16, 13, 11
2020/9/16, 33, 10, 9
2020/9/17, 20, 7, 6
2020/9/18, 6, 10, 13
2020/9/19, 14, 9, 14
2020/9/20, 15, 7, 9
2020/9/21, 17, 10, 9
2020/9/22, 19, 12, 13
2020/9/23, 23, 28, 14
2020/9/24, 53, 38, 14
2020/9/25, 74, 18, 17
2020/9/26, 38, 32, 12
2020/9/27, 66, 37, 9
2020/9/28, 66, 39, 12
2020/9/29, 64, 18, 12
2020/9/30, 42, 16, 12
2020/10/1, 39, 20, 12
2020/4/2, 19, 41, 9
2020/4/3, 23, 14, 6
2020/4/4, 11, 22, 9
2020/4/5, 16, 19, 10
2020/4/6, 24, 31, 10
2020/4/7, 50, 34, 14
2020/4/8, 57, 28, 12
2020/4/9, 30, 32, 9
2020/4/10, 23, 13, 6
2020/4/11, 11, 12, 7
2020/4/12, 13, 11, 3
2020/4/13, 22, 8, 2
2020/4/14, 8, 13, 5
2020/4/15, 11, 15, 9
2020/4/16, 12, 20, 5
2020/4/17, 14, 13, 8
2020/4/18, 10, 11, 5
2020/4/19, 13, 13, 7
2020/4/20, 13, 27, 14
2020/4/21, 20, 20, 12
2020/4/22, 15, 21, 11
2020/4/23, 15, 24, 11
2020/4/24, 17, 14, 11
2020/4/25, 12, 10, 7
2020/4/26, 9, 10, 4
2020/4/27, 12, 12, 7
2020/4/28, 16, 3, 13
2020/4/29, 9, 14, 16
2020/4/30, 19, 13, 9
2020/5/1, 29, 11, 2
2020/5/2, 29, 11, 6
2020/5/3, 20, 8, 9
2020/5/4, 15, 7, 11
2020/5/5, 14, 14, 14
2020/5/6, 16, 29, 17
2020/5/7, 20, 23, 11
2020/5/8, 14, 21, 10
2020/5/9, 28, 11, 5
2020/5/10, 13, 16, 3
2020/5/11, 24, 6, 6
2020/5/12, 7, 10, 11
2020/5/13, 10, 4, 11
2020/5/14, 7, 16, 15
2020/5/15, 15, 13, 10
2020/5/16, 12, 10, 6
2020/5/17, 10, 9, 5
2020/5/18, 9, 9, 12
2020/5/19, 10, 12, 12
2020/5/20, 12, 12, 11
2020/5/21, 13, 10, 7
2020/5/22, 12, 15, 9
2020/5/23, 20, 8, 4
2020/5/24, 17, 12, 4
2020/5/25, 28, 15, 12
2020/5/26, 26, 21, 14
2020/5/27, 25, 17, 11
2020/5/28, 23, 12, 9
2020/5/29, 13, 14, 12
2020/5/30, 16, 12, 6
2020/5/31, 13, 9, 5
2020/6/1, 8, 19, 12
2020/6/2, 14, 19, 6
2020/6/3, 18, 19, 9
2020/6/4, 21, 24, 12
2020/6/5, 35, 17, 8
2020/6/6, 34, 6, 5
2020/6/7, 17, 8, 3
2020/6/8, 12, 14, 12
2020/6/9, 19, 16, 14
2020/6/10, 22, 12, 11
2020/6/11, 12, 14, 9
2020/6/12, 12, 15, 10
2020/6/13, 20, 13, 7
2020/6/14, 19, 12, 8
2020/6/15, 17, 19, 13
2020/6/16, 22, 13, 15
2020/6/17, 27, 13, 15
2020/6/18, 30, 18, 15
2020/6/19, 36, 14, 8
2020/6/20, 31, 14, 4
2020/6/21, 33, 10, 6
2020/6/22, 20, 13, 9
2020/6/23, 20, 16, 12
2020/6/24, 21, 23, 13
2020/6/25, 28, 24, 13
2020/6/26, 29, 19, 10
2020/6/27, 27, 20, 8
2020/6/28, 33, 20, 8
2020/6/29, 40, 29, 12
2020/6/30, 39, 22, 12
2020/7/1, 22, 10, 10
2020/1/2, 17, 15, 9
2020/1/3, 38, 14, 8
2020/1/4, 20, 14, 5
2020/1/5, 13, 18, 9
2020/1/6, 14, 5, 13
2020/1/7, 12, 9, 12
2020/1/8, 22, 15, 10
2020/1/9, 22, 17, 25
2020/1/10, 33, 17, 28
2020/1/11, 40, 13, 11
2020/1/12, 28, 4, 9
2020/1/13, 10, 9, 22
2020/1/14, 21, 10, 8
2020/1/15, 29, 7, 10
2020/1/16, 14, 19, 14
2020/1/17, 25, 16, 10
2020/1/18, 42, 19, 8
2020/1/19, 47, 14, 12
2020/1/20, 12, 14, 15
2020/1/21, 16, 18, 19
2020/1/22, 17, 32, 13
2020/1/23, 18, 35, 26
2020/1/24, 24, 5, 24
2020/1/25, 12, 25, 17
2020/1/26, 21, 6, 10
2020/1/27, 13, 15, 13
2020/1/28, 39, 12, 7
2020/1/29, 39, 6, 10
2020/1/30, 20, 8, 20
2020/1/31, 24, 6, 15
2020/2/1, 17, 4, 8
2020/2/2, 13, 6, 5
2020/2/3, 7, 20, 20
2020/2/4, 18, 22, 24
2020/2/5, 30, 12, 14
2020/2/6, 11, 26, 20
2020/2/7, 22, 14, 23
2020/2/8, 26, 5, 8
2020/2/9, 17, 13, 4
2020/2/10, 40, 6, 7
2020/2/11, 15, 19, 13
2020/2/12, 22, 13, 13
2020/2/13, 17, 24, 20
2020/2/14, 16, 37, 30
2020/2/15, 29, 8, 9
2020/2/16, 24, 6, 5
2020/2/17, 19, 11, 8
2020/2/18, 15, 16, 8
2020/2/19, 20, 21, 16
2020/2/20, 20, 11, 14
2020/2/21, 17, 17, 10
2020/2/22, 23, 6, 4
2020/2/23, 8, 16, 6
2020/2/24, 15, 39, 20
2020/2/25, 23, 19, 19
2020/2/26, 21, 18, 10
2020/2/27, 15, 8, 13
2020/2/28, 16, 23, 22
2020/2/29, 19, 9, 15
2020/3/1, 23, 7, 4
2020/3/2, 21, 12, 14
2020/3/3, 22, 13, 19
2020/3/4, 40, 5, 13
2020/3/5, 16, 4, 15
2020/3/6, 11, 16, 21
2020/3/7, 18, 23, 15
2020/3/8, 45, 25, 6
2020/3/9, 53, 26, 11
2020/3/10, 45, 12, 13
2020/3/11, 34, 10, 10
2020/3/12, 18, 15, 14
2020/3/13, 18, 30, 10
2020/3/14, 16, 32, 8
2020/3/15, 16, 22, 3
2020/3/16, 22, 20, 13
2020/3/17, 23, 31, 11
2020/3/18, 24, 13, 13
2020/3/19, 18, 37, 12
2020/3/20, 22, 27, 10
2020/3/21, 21, 23, 7
2020/3/22, 17, 18, 11
2020/3/23, 16, 34, 11
2020/3/24, 20, 37, 11
2020/3/25, 30, 55, 9
2020/3/26, 49, 52, 13
2020/3/27, 57, 41, 15
2020/3/28, 61, 29, 7
2020/3/29, 44, 13, 5
2020/3/30, 12, 20, 7
2020/3/31, 13, 39, 13
2020/4/1, 21, 30, 13
2019/10/2, 13, 6, 17
2019/10/3, 10, 4, 11
2019/10/4, 10, 6, 18
2019/10/5, 13, 5, 13
2019/10/6, 11, 5, 13
2019/10/7, 10, 11, 21
2019/10/8, 14, 14, 29
2019/10/9, 23, 10, 25
2019/10/10, 21, 11, 21
2019/10/11, 28, 9, 16
2019/10/12, 21, 9, 11
2019/10/13, 20, 9, 15
2019/10/14, 17, 7, 17
2019/10/15, 16, 7, 16
2019/10/16, 19, 10, 16
2019/10/17, 27, 8, 14
2019/10/18, 22, 11, 14
2019/10/19, 29, 10, 8
2019/10/20, 27, 11, 15
2019/10/21, 30, 8, 14
2019/10/22, 21, 11, 12
2019/10/23, 26, 13, 20
2019/10/24, 23, 17, 14
2019/10/25, 40, 23, 9
2019/10/26, 57, 8, 15
2019/10/27, 18, 5, 13
2019/10/28, 16, 7, 16
2019/10/29, 11, 10, 16
2019/10/30, 11, 18, 26
2019/10/31, 20, 23, 22
2019/11/1, 21, 17, 25
2019/11/2, 29, 23, 17
2019/11/3, 57, 20, 11
2019/11/4, 53, 16, 19
2019/11/5, 16, 14, 14
2019/11/6, 15, 18, 19
2019/11/7, 18, 16, 25
2019/11/8, 29, 13, 17
2019/11/9, 33, 14, 11
2019/11/10, 42, 4, 7
2019/11/11, 12, 6, 13
2019/11/12, 17, 11, 8
2019/11/13, 36, 14, 25
2019/11/14, 43, 9, 17
2019/11/15, 29, 21, 22
2019/11/16, 52, 20, 10
2019/11/17, 50, 15, 8
2019/11/18, 40, 19, 14
2019/11/19, 47, 19, 8
2019/11/20, 52, 9, 9
2019/11/21, 25, , 
2019/11/23, 49, , 
2019/11/25, 51, 32, 17
2019/11/26, 61, 23, 13
2019/11/27, 53, 20, 14
2019/11/28, 52, 14, 11
2019/11/29, 44, 6, 17
2019/11/30, 15, 18, 15
2019/12/1, 15, 9, 18
2019/12/2, 14, 17, 27
2019/12/3, 12, 5, 25
2019/12/4, 12, 6, 21
2019/12/5, 17, 13, 13
2019/12/6, 26, 6, 18
2019/12/7, 15, 3, 11
2019/12/8, 7, 4, 8
2019/12/9, 13, 8, 15
2019/12/10, 15, 6, 25
2019/12/11, 15, 7, 11
2019/12/12, 16, 15, 12
2019/12/13, 38, 18, 11
2019/12/14, 53, 9, 4
2019/12/15, 29, 6, 11
2019/12/16, 18, 6, 20
2019/12/17, 17, 13, 25
2019/12/18, 32, 6, 17
2019/12/19, 14, 11, 24
2019/12/20, 28, 20, 8
2019/12/21, 52, 36, 6
2019/12/22, 81, 12, 19
2019/12/23, 37, 25, 30
2019/12/24, 36, 24, 25
2019/12/25, 46, 13, 14
2019/12/26, 36, 6, 10
2019/12/27, 17, 8, 9
2019/12/28, 17, 7, 17
2019/12/29, 18, 11, 8
2019/12/30, 34, , 
2019/7/2, 23, 13, 14
2019/7/3, 15, 12, 17
2019/7/4, 12, 18, 22
2019/7/5, 12, 8, 11
2019/7/6, 9, 5, 11
2019/7/7, 9, 7, 9
2019/7/8, 17, 7, 10
2019/7/9, 13, 9, 9
2019/7/10, 19, 10, 13
2019/7/11, 18, 12, 12
2019/7/12, 22, 13, 18
2019/7/13, 28, 12, 15
2019/7/14, 28, 9, 16
2019/7/15, 15, 11, 20
2019/7/16, 23, 9, 15
2019/7/17, 12, 10, 21
2019/7/18, 19, 23, 21
2019/7/19, 29, 21, 23
2019/7/20, 26, 11, 9
2019/7/21, 20, 10, 9
2019/7/22, 21, 15, 17
2019/7/23, 37, 11, 16
2019/7/24, 18, 9, 16
2019/7/25, 13, 13, 18
2019/7/26, 16, 14, 19
2019/7/27, 23, 16, 18
2019/7/28, 36, 18, 16
2019/7/29, 40, 18, 16
2019/7/30, 30, 9, 9
2019/7/31, 16, 8, 14
2019/8/1, 13, 12, 10
2019/8/2, 20, 20, 16
2019/8/3, 26, 12, 10
2019/8/4, 21, 8, 13
2019/8/5, 17, 12, 16
2019/8/6, 23, 19, 22
2019/8/7, 37, 16, 18
2019/8/8, 29, 27, 23
2019/8/9, 36, 15, 24
2019/8/10, 32, 12, 9
2019/8/11, 33, 10, 9
2019/8/12, 25, 13, 15
2019/8/13, 24, 12, 15
2019/8/14, 20, 12, 19
2019/8/15, 17, 10, 20
2019/8/16, 16, 12, 11
2019/8/17, 30, 11, 7
2019/8/18, 25, 11, 8
2019/8/19, 29, 10, 20
2019/8/20, 20, 15, 18
2019/8/21, 22, 18, 21
2019/8/22, 25, 15, 20
2019/8/23, 21, 11, 21
2019/8/24, 23, 13, 13
2019/8/25, 32, 13, 9
2019/8/26, 32, 17, 27
2019/8/27, 34, 24, 24
2019/8/28, 44, 22, 12
2019/8/29, 46, 22, 14
2019/8/30, 50, 17, 19
2019/8/31, 40, 12, 13
2019/9/1, 22, 15, 8
2019/9/2, 39, 12, 20
2019/9/3, 28, 10, 18
2019/9/4, 14, 8, 17
2019/9/5, 11, 8, 14
2019/9/6, 16, 7, 15
2019/9/7, 13, 6, 9
2019/9/8, 11, 8, 16
2019/9/9, 20, 7, 15
2019/9/10, 18, 17, 14
2019/9/11, 42, 18, 16
2019/9/12, 39, 9, 11
2019/9/13, 17, 7, 12
2019/9/14, 12, 6, 9
2019/9/15, 8, 5, 11
2019/9/16, 9, 5, 10
2019/9/17, 6, 6, 19
2019/9/18, 8, 7, 14
2019/9/19, 9, 5, 20
2019/9/20, 8, 9, 24
2019/9/21, 15, 6, 14
2019/9/22, 11, 8, 15
2019/9/23, 15, 5, 16
2019/9/24, 12, 6, 17
2019/9/25, 10, 9, 24
2019/9/26, 15, 11, 20
2019/9/27, 22, 11, 15
2019/9/28, 24, 21, 13
2019/9/29, 51, 16, 14
2019/9/30, 46, 13, 21
2019/10/1, 36, 7, 16
2019/4/2, 23, 64, 13
2019/4/3, 32, 54, 8
2019/4/4, 44, 57, 10
2019/4/5, 61, 59, 25
2019/4/6, 67, 51, 10
2019/4/7, 67, 47, 12
2019/4/8, 70, 26, 13
2019/4/9, 35, 29, 13
2019/4/10, 21, 24, 17
2019/4/11, 22, 45, 23
2019/4/12, 35, 47, 27
2019/4/13, 34, 31, 17
2019/4/14, 25, 29, 18
2019/4/15, 25, 49, 31
2019/4/16, 38, 47, 27
2019/4/17, 33, 52, 33
2019/4/18, 39, 70, 44
2019/4/19, 60, 57, 30
2019/4/20, 50, 54, 25
2019/4/21, 51, 42, 9
2019/4/22, 44, 36, 10
2019/4/23, 39, 51, 23
2019/4/24, 60, 60, 18
2019/4/25, 78, 66, 20
2019/4/26, 100, 59, 27
2019/4/27, 90, 53, 19
2019/4/28, 79, 42, 13
2019/4/29, 65, 40, 24
2019/4/30, 41, 47, 28
2019/5/1, 43, 33, 15
2019/5/2, 45, 13, 20
2019/5/3, 30, 13, 18
2019/5/4, 17, 18, 18
2019/5/5, 20, 18, 14
2019/5/6, 20, 24, 12
2019/5/7, 25, 25, 20
2019/5/8, 19, 30, 18
2019/5/9, 20, 27, 9
2019/5/10, 26, 36, 25
2019/5/11, 41, 28, 20
2019/5/12, 46, 20, 16
2019/5/13, 30, 18, 19
2019/5/14, 19, 29, 25
2019/5/15, 21, 39, 28
2019/5/16, 26, 42, 32
2019/5/17, 33, 28, 23
2019/5/18, 24, 27, 18
2019/5/19, 27, 24, 21
2019/5/20, 41, 29, 22
2019/5/21, 52, 36, 26
2019/5/22, 55, 38, 29
2019/5/23, 59, 29, 25
2019/5/24, 51, 26, 21
2019/5/25, 40, 16, 12
2019/5/26, 23, 9, 13
2019/5/27, 14, 8, 12
2019/5/28, 13, 16, 17
2019/5/29, 20, 22, 20
2019/5/30, 20, 20, 10
2019/5/31, 15, 13, 16
2019/6/1, 15, 11, 13
2019/6/2, 14, 10, 10
2019/6/3, 19, 13, 8
2019/6/4, 21, 26, 21
2019/6/5, 34, 25, 21
2019/6/6, 46, 29, 17
2019/6/7, 58, 30, 12
2019/6/8, 61, 20, 10
2019/6/9, 47, 15, 10
2019/6/10, 21, 16, 18
2019/6/11, 18, 23, 30
2019/6/12, 33, 16, 14
2019/6/13, 18, 20, 17
2019/6/14, 43, 19, 17
2019/6/15, 45, 14, 18
2019/6/16, 25, 12, 18
2019/6/17, 18, 15, 22
2019/6/18, 19, 17, 17
2019/6/19, 25, 20, 21
2019/6/20, 30, 20, 12
2019/6/21, 35, 18, 10
2019/6/22, 38, 8, 7
2019/6/23, 12, 8, 9
2019/6/24, 11, 12, 19
2019/6/25, 14, 12, 10
2019/6/26, 13, 13, 25
2019/6/27, 32, 15, 15
2019/6/28, 35, 12, 16
2019/6/29, 12, 12, 14
2019/6/30, 17, 13, 13
2019/7/1, 21, 18, 13
2019/1/2, 15, 8, 7
2019/1/3, 9, 4, 22
2019/1/4, 10, 5, 17
2019/1/5, 11, 5, 14
2019/1/6, 15, 9, 14
2019/1/7, 27, 7, 24
2019/1/8, 20, 6, 20
2019/1/9, 18, 3, 13
2019/1/10, 9, 5, 23
2019/1/11, 13, 11, 17
2019/1/12, 15, 18, 18
2019/1/13, 16, 18, 23
2019/1/14, 28, 7, 15
2019/1/15, 18, 27, 22
2019/1/16, 19, 31, 25
2019/1/17, 24, 7, 18
2019/1/18, 15, 4, 27
2019/1/19, 10, 4, 18
2019/1/20, 11, 4, 18
2019/1/21, 11, 9, 34
2019/1/22, 23, 12, 17
2019/1/23, 33, 18, 24
2019/1/24, 49, 27, 36
2019/1/25, 62, 28, 33
2019/1/26, 65, 14, 22
2019/1/27, 44, 14, 16
2019/1/28, 47, 16, 17
2019/1/29, 47, 19, 19
2019/1/30, 51, 15, 22
2019/1/31, 43, 19, 28
2019/2/1, 52, 13, 18
2019/2/2, 38, 13, 16
2019/2/3, 39, 9, 9
2019/2/4, 29, 10, 20
2019/2/5, 28, 11, 20
2019/2/6, 32, 9, 23
2019/2/7, 26, 10, 21
2019/2/8, 27, 12, 14
2019/2/9, 37, 9, 9
2019/2/10, 30, 9, 8
2019/2/11, 23, 12, 15
2019/2/12, 30, 48, 22
2019/2/13, 31, 48, 23
2019/2/14, 23, 10, 25
2019/2/15, 23, 11, 23
2019/2/16, 30, 30, 13
2019/2/17, 47, 62, 24
2019/2/18, 59, 49, 14
2019/2/19, 47, 27, 19
2019/2/20, 64, 36, 16
2019/2/21, 35, 71, 22
2019/2/22, 37, 113, 32
2019/2/23, 57, 65, 11
2019/2/24, 40, 17, 10
2019/2/25, 41, 60, 20
2019/2/26, 44, 81, 24
2019/2/27, 40, 65, 23
2019/2/28, 44, 67, 13
2019/3/1, 38, 67, 25
2019/3/2, 32, 59, 15
2019/3/3, 29, 25, 17
2019/3/4, 24, 6, 14
2019/3/5, 15, 20, 15
2019/3/6, 19, 30, 23
2019/3/7, 23, 16, 13
2019/3/8, 38, 11, 15
2019/3/9, 33, 7, 16
2019/3/10, 19, 24, 13
2019/3/11, 23, 68, 18
2019/3/12, 32, 86, 24
2019/3/13, 46, 54, 9
2019/3/14, 34, 12, 15
2019/3/15, 30, 11, 15
2019/3/16, 25, 7, 17
2019/3/17, 17, 6, 8
2019/3/18, 16, 4, 19
2019/3/19, 10, 20, 19
2019/3/20, 14, 35, 25
2019/3/21, 24, 18, 21
2019/3/22, 21, 26, 26
2019/3/23, 21, 41, 8
2019/3/24, 27, 39, 11
2019/3/25, 24, 44, 15
2019/3/26, 24, 52, 21
2019/3/27, 23, 61, 31
2019/3/28, 33, 72, 34
2019/3/29, 42, 61, 15
2019/3/30, 35, 48, 12
2019/3/31, 38, 29, 9
2019/4/1, 31, 43, 23
2018/10/2, 22, 12, 20
2018/10/3, 27, 8, 18
2018/10/4, 14, 11, 27
2018/10/5, 16, 8, 16
2018/10/6, 13, 8, 16
2018/10/7, 15, 8, 18
2018/10/8, 14, 8, 11
2018/10/9, 15, 8, 12
2018/10/10, 17, 16, 20
2018/10/11, 27, 15, 13
2018/10/12, 34, 30, 13
2018/10/13, 65, 37, 10
2018/10/14, 77, 39, 9
2018/10/15, 81, 38, 15
2018/10/16, 75, 33, 25
2018/10/17, 65, 29, 21
2018/10/18, 63, 32, 23
2018/10/19, 67, 23, 33
2018/10/20, 47, , 26
2018/10/30, 14, 8, 5
2018/10/31, 19, 16, 7
2018/11/1, 39, 14, 16
2018/11/2, 31, 29, 9
2018/11/3, 64, 19, 10
2018/11/4, 41, 11, 11
2018/11/5, 18, 10, 11
2018/11/6, 26, 17, 6
2018/11/7, 47, 25, 13
2018/11/8, 64, 26, 20
2018/11/9, 66, 21, 14
2018/11/10, 56, 15, 6
2018/11/11, 42, 22, 6
2018/11/12, 57, 17, 12
2018/11/13, 53, 15, 26
2018/11/14, 41, 13, 24
2018/11/15, 32, 14, 15
2018/11/16, 32, 19, 13
2018/11/17, 43, 25, 14
2018/11/18, 54, 18, 9
2018/11/19, 37, 20, 22
2018/11/20, 24, 26, 28
2018/11/21, 36, 23, 20
2018/11/22, 33, 18, 21
2018/11/23, 26, 16, 22
2018/11/24, 39, 16, 18
2018/11/25, 39, 9, 19
2018/11/26, 25, 18, 27
2018/11/27, 24, 24, 27
2018/11/28, 50, 17, 32
2018/11/29, 39, 14, 7
2018/11/30, 33, 16, 7
2018/12/1, 47, 19, 7
2018/12/2, 57, 22, 8
2018/12/3, 59, 18, 7
2018/12/4, 54, 9, 18
2018/12/5, 28, 16, 20
2018/12/6, 13, 17, 23
2018/12/7, 32, 13, 15
2018/12/8, 35, 7, 9
2018/12/9, 22, 4, 9
2018/12/10, 10, 5, 18
2018/12/11, 12, 9, 15
2018/12/12, 28, 8, 18
2018/12/13, 25, 7, 18
2018/12/14, 20, 9, 24
2018/12/15, 28, 17, 18
2018/12/16, 39, 12, 14
2018/12/17, 35, 9, 27
2018/12/18, 23, 18, 21
2018/12/19, 43, 19, 18
2018/12/20, 53, 16, 6
2018/12/21, 49, 14, 15
2018/12/22, 37, 11, 15
2018/12/23, 33, 8, 10
2018/12/24, 26, 7, 10
2018/12/25, 24, 6, 13
2018/12/26, 18, 4, 13
2018/12/27, 11, 6, 18
2018/12/28, 17, 7, 22
2018/12/29, 22, 7, 14
2018/12/30, 24, 11, 13
2018/12/31, 32, , 
2018/7/2, 9, 13, 14
2018/7/3, 16, 19, 20
2018/7/4, 24, 18, 19
2018/7/5, 21, 17, 21
2018/7/6, 19, 20, 20
2018/7/7, 23, 16, 10
2018/7/8, 28, 13, 10
2018/7/9, 21, 14, 18
2018/7/10, 20, 18, 18
2018/7/11, 25, 18, 19
2018/7/12, 30, 19, 16
2018/7/13, 35, 25, 25
2018/7/14, 42, 18, 17
2018/7/15, 32, 15, 13
2018/7/16, 33, 20, 23
2018/7/17, 40, 24, 25
2018/7/18, 47, 26, 22
2018/7/19, 53, 24, 22
2018/7/20, 47, 25, 24
2018/7/21, 41, 21, 14
2018/7/22, 49, 16, 12
2018/7/23, 33, 16, 19
2018/7/24, 25, 17, 16
2018/7/25, 25, 16, 12
2018/7/26, 25, 18, 19
2018/7/27, 29, 22, 24
2018/7/28, 44, 23, 19
2018/7/29, 49, 27, 8
2018/7/30, 55, 22, 13
2018/7/31, 49, 22, 12
2018/8/1, 48, 26, 9
2018/8/2, 50, 32, 18
2018/8/3, 59, 20, 21
2018/8/4, 33, 11, 14
2018/8/5, 17, 10, 13
2018/8/6, 16, 13, 17
2018/8/7, 12, 13, 19
2018/8/8, 13, 18, 11
2018/8/9, 20, 25, 24
2018/8/10, 41, 24, 8
2018/8/11, 48, 13, 10
2018/8/12, 19, 7, 17
2018/8/13, 12, 9, 16
2018/8/14, 11, 13, 22
2018/8/15, 17, 9, 26
2018/8/16, 14, 14, 16
2018/8/17, 17, 16, 14
2018/8/18, 32, 13, 9
2018/8/19, 24, 10, 9
2018/8/20, 16, 15, 21
2018/8/21, 19, 11, 15
2018/8/22, 13, 16, 16
2018/8/23, 15, 17, 20
2018/8/24, 23, 20, 15
2018/8/25, 35, 11, 12
2018/8/26, 22, 8, 21
2018/8/27, 16, 9, 18
2018/8/28, 17, 10, 15
2018/8/29, 19, 16, 18
2018/8/30, 36, 11, 15
2018/8/31, 25, 11, 23
2018/9/1, 28, 13, 13
2018/9/2, 31, 13, 19
2018/9/3, 31, 18, 26
2018/9/4, 34, 23, 32
2018/9/5, 37, 20, 27
2018/9/6, 44, 20, 21
2018/9/7, 41, 24, 19
2018/9/8, 53, 33, 13
2018/9/9, 61, 15, 16
2018/9/10, 32, 11, 9
2018/9/11, 22, 14, 14
2018/9/12, 31, 12, 11
2018/9/13, 17, 11, 19
2018/9/14, 13, 11, 15
2018/9/15, 14, 8, 11
2018/9/16, 13, 6, 12
2018/9/17, 9, 7, 18
2018/9/18, 13, 14, 16
2018/9/19, 22, 18, 14
2018/9/20, 34, 14, 20
2018/9/21, 23, 11, 16
2018/9/22, 19, , 13
2018/9/29, 8, 5, 14
2018/9/30, 8, 6, 13
2018/10/1, 11, 12, 21
2018/4/2, 41, 45, 9
2018/4/3, 40, 78, 36
2018/4/4, 43, 42, 13
2018/4/5, 42, 19, 16
2018/4/6, 46, 21, 26
2018/4/7, 27, 43, 18
2018/4/8, 23, 60, 18
2018/4/9, 46, 61, 28
2018/4/10, 74, 50, 22
2018/4/11, 38, 61, 25
2018/4/12, 33, 60, 23
2018/4/13, 40, 67, 30
2018/4/14, 46, 62, 25
2018/4/15, 53, 67, 22
2018/4/16, 70, 64, 31
2018/4/17, 71, 67, 25
2018/4/18, 60, 51, 27
2018/4/19, 52, 58, 29
2018/4/20, 44, 63, 30
2018/4/21, 55, 58, 14
2018/4/22, 53, 44, 14
2018/4/23, 21, 33, 8
2018/4/24, 17, 28, 20
2018/4/25, 26, 30, 25
2018/4/26, 23, 34, 25
2018/4/27, 24, 41, 28
2018/4/28, 28, 37, 24
2018/4/29, 29, 28, 27
2018/4/30, 38, 30, 21
2018/5/1, 37, 15, 9
2018/5/2, 18, 36, 19
2018/5/3, 31, 22, 8
2018/5/4, 37, 49, 24
2018/5/5, 37, 50, 15
2018/5/6, 35, 41, 13
2018/5/7, 41, 66, 26
2018/5/8, 44, 55, 30
2018/5/9, 46, 37, 9
2018/5/10, 29, 32, 7
2018/5/11, 33, 40, 7
2018/5/12, 48, 41, 4
2018/5/13, 49, 42, 20
2018/5/14, 50, 70, 34
2018/5/15, 56, 76, 40
2018/5/16, 66, 75, 51
2018/5/17, 62, 70, 16
2018/5/18, 54, 51, 16
2018/5/19, 28, 36, 20
2018/5/20, 22, 29, 13
2018/5/21, 20, 44, 27
2018/5/22, 37, 44, 25
2018/5/23, 41, 51, 26
2018/5/24, 40, 43, 26
2018/5/25, 26, 37, 21
2018/5/26, 25, 34, 25
2018/5/27, 36, 32, 16
2018/5/28, 33, 36, 19
2018/5/29, 25, 45, 38
2018/5/30, 41, 45, 23
2018/5/31, 47, 34, 17
2018/6/1, 27, 35, 26
