date, pm25, pm10, o3, no2, so2
2023/4/2, 46, 48, 34, 5, 
2023/4/3, 36, 48, 29, 5, 
2023/4/4, 34, 40, 30, 8, 
2023/4/5, 30, 24, 29, 9, 
2023/4/6, 24, 13, 24, 6, 
2023/4/7, 26, 24, 33, 7, 
2023/4/8, 29, 43, 31, 14, 3
2023/4/9, 41, 33, 33, 11, 
2023/4/10, 34, 46, 30, 16, 1
2023/4/11, 50, 53, 40, 18, 1
2023/4/12, 54, , , , 
2023/1/3, 16, 5, 26, 11, 
2023/1/4, 13, 6, 21, 12, 
2023/1/5, 18, 11, 20, 13, 
2023/1/6, 29, 6, 24, 11, 
2023/1/7, 18, 8, 28, 3, 
2023/1/8, 19, 8, 21, 3, 
2023/1/9, 30, 13, 14, 5, 
2023/1/10, 45, 12, 16, 7, 
2023/1/11, 42, 9, 21, 7, 
2023/1/12, 29, 7, 14, 7, 
2023/1/13, 21, 7, 18, 9, 
2023/1/14, 22, 7, 27, 4, 
2023/1/15, 24, 6, 25, 4, 
2023/1/16, 16, 9, 25, 7, 7
2023/1/17, 20, 16, 20, 8, 1
2023/1/18, 30, 16, 14, 7, 
2023/1/19, 37, 6, 14, 8, 
2023/1/20, 19, 9, 15, 18, 
2023/1/21, 22, 12, 15, 19, 
2023/1/22, 41, 8, 23, 11, 4
2023/1/23, 25, 3, 26, 6, 3
2023/1/24, 9, 5, 21, 5, 
2023/1/25, 18, 2, 19, 3, 
2023/1/26, 9, 6, 25, 7, 
2023/1/27, 11, 20, 23, 12, 
2023/1/28, 19, 8, 24, 4, 5
2023/1/29, 12, 5, 22, 5, 4
2023/1/30, 13, 5, 24, 5, 10
2023/1/31, 11, 11, 26, 4, 
2023/2/1, 11, 24, 21, 8, 
2023/2/2, 27, 34, 20, 11, 
2023/2/3, 32, 36, 21, 8, 
2023/2/4, 29, 51, 23, 5, 
2023/2/5, 37, 24, 25, 5, 
2023/2/6, 21, 7, 22, 10, 
2023/2/7, 17, 7, 24, 5, 1
2023/2/8, 19, 10, 21, 5, 
2023/2/9, 35, 18, 24, 5, 12
2023/2/10, 53, 9, 29, 4, 1
2023/2/11, 22, 6, 27, 7, 
2023/2/12, 12, 4, 25, 5, 
2023/2/13, 12, 3, 32, 4, 
2023/2/14, 7, 26, 28, 10, 
2023/2/15, 24, 10, 22, 11, 
2023/2/16, 23, 9, 19, 6, 
2023/2/17, 29, 14, 20, 8, 
2023/2/18, 44, 8, 20, 7, 
2023/2/19, 30, 10, 17, 10, 
2023/2/20, 38, 15, 24, 12, 
2023/2/21, 45, 17, 26, 13, 
2023/2/22, 52, 24, 24, 19, 
2023/2/23, 62, 13, 26, 12, 1
2023/2/24, 43, 9, 24, 15, 
2023/2/25, 25, 5, 28, 7, 
2023/2/26, 18, 6, 25, 4, 
2023/2/27, 20, 7, 26, 10, 
2023/2/28, 19, 5, 29, 7, 
2023/3/1, 9, 5, 28, 6, 
2023/3/2, 12, 7, 31, 5, 
2023/3/3, 13, 9, 29, 4, 
2023/3/4, 12, 3, 25, 5, 
2023/3/5, 7, 6, 26, 5, 
2023/3/6, 10, 31, 26, 9, 
2023/3/7, 30, 46, 27, 13, 
2023/3/8, 43, 9, 28, 10, 
2023/3/9, 22, 18, 29, 10, 
2023/3/10, 21, 13, 29, 8, 
2023/3/11, 20, 25, 29, 7, 
2023/3/12, 34, 4, 30, 5, 
2023/3/13, 9, 7, 35, 6, 
2023/3/14, 13, 9, 24, 9, 16
2023/3/15, 28, 7, 28, 4, 2
2023/3/16, 14, 19, 27, 8, 
2023/3/17, 16, 35, 24, 14, 
2023/3/18, 35, 22, 29, 5, 
2023/3/19, 29, 18, 24, 8, 
2023/3/20, 40, 13, 19, 9, 1
2023/3/21, 38, 10, 27, 7, 
2023/3/22, 11, 9, 29, 7, 5
2023/3/23, 23, 13, 29, 5, 3
2023/3/24, 33, 9, 30, 9, 1
2023/3/25, 26, 12, 28, 4, 3
2023/3/26, 19, 8, 27, 4, 
2023/3/27, 20, 7, 27, 9, 
2023/3/28, 14, 6, 28, 7, 
2023/3/29, 12, 26, 30, 7, 
2023/3/30, 23, 49, 32, 10, 1
2023/3/31, 42, 50, 35, 11, 
2023/4/1, 47, 61, 35, 7, 
2022/10/2, 20, 10, 20, 5, 
2022/10/3, 23, 15, 18, 8, 
2022/10/4, 26, 12, 25, 6, 
2022/10/5, 17, 14, 18, 11, 
2022/10/6, 30, 9, 24, 5, 
2022/10/7, 27, 11, 23, 5, 
2022/10/8, 26, 9, 27, 3, 1
2022/10/9, 23, 5, 21, 3, 
2022/10/10, 13, 6, 21, 4, 1
2022/10/11, 15, 6, 21, 4, 
2022/10/12, 16, 5, 23, 6, 
2022/10/13, 12, 14, 17, 12, 
2022/10/14, 23, 13, 20, 8, 
2022/10/15, 37, 21, 16, 6, 
2022/10/16, 60, 17, 19, 5, 
2022/10/17, 54, 6, 28, 4, 
2022/10/18, 15, 4, 23, 5, 
2022/10/19, 9, 10, 19, 8, 
2022/10/20, 13, 9, 20, 7, 
2022/10/21, 14, 11, 19, 8, 
2022/10/22, 16, 16, 22, 8, 
2022/10/23, 28, 10, 22, 3, 
2022/10/24, 25, 20, 16, 14, 
2022/10/25, 23, 15, 16, 11, 
2022/10/26, 24, 8, 12, 6, 
2022/10/27, 23, 8, 16, 5, 
2022/10/28, 17, 14, 19, 6, 1
2022/10/29, 36, 7, 28, 4, 2
2022/10/30, 20, 7, 25, 2, 
2022/10/31, 13, 14, 19, 9, 
2022/11/1, 21, 10, 13, 7, 
2022/11/2, 21, 20, 18, 9, 2
2022/11/3, 28, 8, 17, 6, 
2022/11/4, 18, 22, 17, 9, 
