date, pm25, pm10, o3, no2, so2
2023/4/2, 13, 8, 30, 2, 
2023/4/3, 30, 9, 34, 3, 
2023/4/4, 32, 7, 35, 4, 
2023/4/5, 22, 15, 34, 8, 
2023/4/6, 51, 24, 35, 11, 
2023/4/7, 67, 27, 36, 9, 
2023/4/8, 72, 12, 21, 5, 
2023/4/9, 44, 24, 30, 7, 
2023/4/10, 70, 15, 36, 4, 
2023/4/11, 57, 14, 23, 9, 
2023/4/12, 38, , , , 
2023/1/3, 49, 12, 21, 7, 
2023/1/4, 40, 7, 24, 2, 
2023/1/5, 27, 3, 24, 2, 
2023/1/6, 14, 8, 23, 2, 
2023/1/7, 23, 6, 24, 3, 
2023/1/8, 21, 9, 16, 1, 
2023/1/9, 37, 11, 21, 4, 
2023/1/10, 41, 9, 22, 4, 
2023/1/11, 30, 9, 20, 3, 
2023/1/12, 29, 5, 26, 1, 
2023/1/13, 16, 5, 26, 1, 
2023/1/14, 21, 6, 28, 1, 
2023/1/15, 21, 4, 30, 1, 
2023/1/16, 23, 4, 26, 3, 
2023/1/17, 9, 8, 25, 7, 
2023/1/18, 40, 16, 12, 7, 
2023/1/19, 65, 13, 19, 6, 
2023/1/20, 44, 22, 17, 10, 
2023/1/21, 70, 9, 18, 5, 
2023/1/22, 38, 14, 11, 9, 
2023/1/23, 50, 19, 6, 11, 
2023/1/24, 44, 16, 8, 11, 
2023/1/25, 36, 23, 18, 10, 
2023/1/26, 46, 17, 16, 7, 
2023/1/27, 37, 11, 6, 8, 
2023/1/28, 28, 12, 27, 4, 
2023/1/29, 30, 9, 24, 2, 
2023/1/30, 19, 8, 28, 3, 
2023/1/31, 14, 6, 27, 2, 
2023/2/1, 10, 4, 29, 2, 
2023/2/2, 10, 7, 26, 3, 
2023/2/3, 21, 4, 31, 2, 
2023/2/4, 20, 5, 26, 2, 
2023/2/5, 17, 9, 23, 6, 
2023/2/6, 32, 32, 12, 14, 
2023/2/7, 48, 49, 10, 20, 
2023/2/8, 74, 43, 25, 13, 
2023/2/9, 71, 20, 24, 12, 
2023/2/10, 50, 36, 15, 9, 
2023/2/11, 52, 24, 21, 7, 
2023/2/12, 30, 17, 14, 8, 
2023/2/13, 25, 21, 24, 8, 
2023/2/14, 35, 22, 18, 7, 
2023/2/15, 43, 23, 19, 7, 
2023/2/16, 45, 24, 23, 7, 
2023/2/17, 51, 13, 23, 5, 
2023/2/18, 19, 4, 27, 2, 
2023/2/19, 15, 5, 25, 3, 
2023/2/20, 7, 8, 30, 4, 
2023/2/21, 16, 6, 27, 4, 
2023/2/22, 10, 16, 21, 8, 
2023/2/23, 20, 22, 21, 7, 
2023/2/24, 37, 15, 29, 4, 
2023/2/25, 36, 4, 28, 2, 
2023/2/27, 18, 8, 27, 6, 
2023/2/28, 39, 16, 21, 7, 
2023/3/1, 35, 30, 30, 12, 
2023/3/2, 57, 37, 28, 17, 1
2023/3/3, 75, 34, 23, 12, 
2023/3/4, 37, 20, 24, 8, 
2023/3/5, 30, 8, 33, 2, 
2023/3/6, 19, 9, 28, 4, 
2023/3/7, 29, 11, 30, 3, 
2023/3/8, 19, 11, 29, 4, 
2023/3/9, 16, 6, 30, 3, 1
2023/3/10, 12, 4, 33, 2, 1
2023/3/12, 21, 10, 34, 2, 
2023/3/13, 37, 5, 24, 2, 
2023/3/15, 48, 10, 31, 4, 
2023/3/16, 33, 11, 31, 5, 
2023/3/17, 32, 15, 33, 6, 
2023/3/18, 43, 20, 35, 8, 
2023/3/19, 38, 44, 32, 13, 2
2023/3/20, 64, 19, 29, 5, 
2023/3/21, 57, 9, 28, 5, 
2023/3/22, 25, 13, 35, 4, 1
2023/3/23, 34, 11, 33, 3, 
2023/3/24, 24, 7, 31, 2, 
2023/3/25, 26, 4, 35, 1, 
2023/3/26, 26, 4, 33, 1, 
2023/3/27, 21, 9, 34, 3, 
2023/3/28, 32, 7, 34, 2, 
2023/3/29, 42, 11, 31, 3, 
2023/3/30, 32, 10, 35, 3, 
2023/3/31, 30, 3, 31, 2, 1
2023/4/1, 13, 4, 29, 1, 
2022/10/2, 46, 6, 19, 2, 2
2022/10/3, 18, 8, 21, 2, 2
2022/10/4, 16, 9, 20, 4, 2
2022/10/5, 25, 14, 16, 4, 2
2022/10/6, 43, 15, 19, 7, 2
2022/10/7, 43, 21, 14, 11, 1
2022/10/8, 62, 19, 20, 4, 2
2022/10/9, 55, 10, 22, 4, 1
2022/10/10, 24, 14, 16, 7, 2
2022/10/11, 37, 22, 13, 8, 2
2022/10/12, 52, 24, 12, 15, 2
2022/10/13, 61, 24, 17, 6, 2
2022/10/14, 59, 19, 13, 5, 3
2022/10/15, 49, 11, 13, 2, 3
2022/10/16, 32, 12, 11, 4, 2
2022/10/17, 31, 25, 18, 5, 1
2022/10/18, 66, 22, 6, 7, 1
2022/10/19, 62, 10, 22, 7, 2
2022/10/20, 26, 15, 16, 7, 2
2022/10/21, 36, 20, 10, 6, 2
2022/10/22, 56, 17, 19, 4, 2
2022/10/23, 49, 15, 11, 5, 2
2022/10/24, 42, 16, 19, 4, 2
2022/10/25, 40, 9, 22, 3, 2
2022/10/26, 23, 15, 9, 5, 2
2022/10/27, 36, 20, 15, 7, 1
2022/10/28, 55, 19, 10, 5, 1
2022/10/29, 51, 27, 5, 8, 2
2022/10/30, 68, 31, 3, 9, 2
2022/10/31, 84, 28, 1, 11, 2
2022/11/1, 72, 19, 3, 7, 2
2022/11/2, 49, 14, 20, 5, 1
2022/11/3, 38, 17, 9, 10, 2
2022/11/4, 43, 15, 20, 6, 3
2022/11/5, 48, 10, 18, 4, 2
2022/11/6, 36, 17, 9, 5, 2
2022/11/7, 46, 11, 19, 5, 2
2022/11/8, 40, 14, 17, 5, 3
2022/11/9, 41, 13, 9, 3, 2
2022/11/10, 53, 16, 19, 5, 2
2022/11/11, 48, 16, 9, 7, 1
2022/11/12, 44, 25, 4, 8, 1
2022/11/13, 68, 17, 8, 9, 1
2022/11/14, 57, 24, 12, 11, 2
2022/11/15, 69, 18, 3, 8, 2
2022/11/16, 51, 13, 1, 10, 2
2022/11/17, 44, 11, 2, 6, 
2022/11/18, 39, 16, 12, 6, 
2022/11/19, 52, 18, 11, 7, 
2022/11/20, 58, 38, 6, 11, 
2022/11/21, 114, 10, 18, 8, 
2022/11/22, 37, 18, 4, 9, 
2022/11/23, 60, 27, 2, 8, 
2022/11/24, 78, 19, 9, 8, 
2022/11/25, 62, 14, 10, 8, 
2022/11/26, 42, 15, 16, 6, 
2022/11/27, 44, 16, 6, 4, 
2022/11/28, 50, 21, 4, 12, 
2022/11/29, 66, 24, 16, 8, 
2022/11/30, 76, 25, 12, 13, 
2022/12/1, 78, 38, 5, 13, 
2022/12/2, 99, 27, 7, 7, 
2022/12/3, 85, 24, 2, 8, 
2022/12/4, 78, 21, 12, 5, 1
2022/12/5, 66, 13, 9, 5, 
2022/12/6, 46, 9, 4, 7, 
2022/12/7, 33, 7, 13, 6, 
2022/12/8, 24, 9, 18, 5, 
2022/12/9, 32, 27, 7, 11, 
2022/12/10, 80, 27, 6, 10, 
2022/12/11, 84, 13, 18, 5, 
2022/12/12, 50, 16, 14, 9, 
2022/12/13, 59, 26, 12, 10, 
2022/12/14, 74, 35, 6, 16, 1
2022/12/15, 99, 50, 5, 18, 
2022/12/16, 139, 42, 7, 17, 2
2022/12/17, 118, 32, 18, 16, 
2022/12/18, 92, 41, 15, 14, 
2022/12/19, 111, 34, 14, 11, 
2022/12/20, 102, 28, 13, 8, 
2022/12/21, 83, 22, 6, 9, 
2022/12/22, 73, 10, 20, 6, 
2022/12/23, 37, 5, 18, 4, 
2022/12/24, 16, 8, 25, 3, 
2022/12/25, 28, 10, 18, 2, 
2022/12/26, 28, 7, 28, 2, 
2022/12/27, 26, 8, 25, 2, 
2022/12/28, 20, 5, 21, 1, 
2022/12/29, 24, 5, 25, 1, 
2022/12/30, 12, 5, 26, 1, 
2022/12/31, 21, 5, 23, , 
2023/1/1, 16, 12, 22, 1, 
2023/1/2, 43, 15, 15, 2, 
2022/7/2, 55, 10, 41, 3, 
2022/7/3, 22, 10, 40, 3, 
2022/7/4, 33, 18, 49, 5, 
2022/7/5, 55, 13, 46, 3, 2
2022/7/6, 40, 15, 42, 4, 
2022/7/7, 37, 10, 28, 5, 
2022/7/8, 33, 10, 26, 2, 
2022/7/9, 33, 8, 24, 3, 
2022/7/10, 15, 7, 25, 2, 
2022/7/11, 18, 9, 32, 2, 
2022/7/12, 20, 11, 34, 4, 
2022/7/13, 29, 13, 39, 4, 
2022/7/14, 33, 14, 48, 4, 1
2022/7/15, 40, 13, 31, 3, 
2022/7/16, 33, 11, 34, 3, 
2022/7/17, 41, 10, 42, 3, 
2022/7/18, 30, 15, 54, 6, 
